 v-sweep         i(viout)        v(vout)        
 0.00000000e+00  4.39398303e-07  0.00000000e+00 
 1.00000000e-02  4.38561855e-07  1.00000000e-02 
 2.00000000e-02  4.37728253e-07  2.00000000e-02 
 3.00000000e-02  4.36895382e-07  3.00000000e-02 
 4.00000000e-02  4.36063944e-07  4.00000000e-02 
 5.00000000e-02  4.35233919e-07  5.00000000e-02 
 6.00000000e-02  4.34405290e-07  6.00000000e-02 
 7.00000000e-02  4.33578083e-07  7.00000000e-02 
 8.00000000e-02  4.32752325e-07  8.00000000e-02 
 9.00000000e-02  4.31927907e-07  9.00000000e-02 
 1.00000000e-01  4.31104908e-07  1.00000000e-01 
 1.10000000e-01  4.30283288e-07  1.10000000e-01 
 1.20000000e-01  4.29463035e-07  1.20000000e-01 
 1.30000000e-01  4.28644175e-07  1.30000000e-01 
 1.40000000e-01  4.27826686e-07  1.40000000e-01 
 1.50000000e-01  4.27010599e-07  1.50000000e-01 
 1.60000000e-01  4.26195821e-07  1.60000000e-01 
 1.70000000e-01  4.25382418e-07  1.70000000e-01 
 1.80000000e-01  4.24570386e-07  1.80000000e-01 
 1.90000000e-01  4.23759675e-07  1.90000000e-01 
 2.00000000e-01  4.22950311e-07  2.00000000e-01 
 2.10000000e-01  4.22142297e-07  2.10000000e-01 
 2.20000000e-01  4.21335589e-07  2.20000000e-01 
 2.30000000e-01  4.20530230e-07  2.30000000e-01 
 2.40000000e-01  4.19726194e-07  2.40000000e-01 
 2.50000000e-01  4.18923464e-07  2.50000000e-01 
 2.60000000e-01  4.18122031e-07  2.60000000e-01 
 2.70000000e-01  4.17321923e-07  2.70000000e-01 
 2.80000000e-01  4.16523090e-07  2.80000000e-01 
 2.90000000e-01  4.15725588e-07  2.90000000e-01 
 3.00000000e-01  4.14929353e-07  3.00000000e-01 
 3.10000000e-01  4.14134408e-07  3.10000000e-01 
 3.20000000e-01  4.13340723e-07  3.20000000e-01 
 3.30000000e-01  4.12548332e-07  3.30000000e-01 
 3.40000000e-01  4.11757204e-07  3.40000000e-01 
 3.50000000e-01  4.10967331e-07  3.50000000e-01 
 3.60000000e-01  4.10178711e-07  3.60000000e-01 
 3.70000000e-01  4.09391329e-07  3.70000000e-01 
