 v-sweep         i(viout)        v(vout)        
 0.00000000e+00  2.12864517e-07  0.00000000e+00 
 1.00000000e-02  2.12400713e-07  1.00000000e-02 
 2.00000000e-02  2.11940708e-07  2.00000000e-02 
 3.00000000e-02  2.11481595e-07  3.00000000e-02 
 4.00000000e-02  2.11024259e-07  4.00000000e-02 
 5.00000000e-02  2.10568702e-07  5.00000000e-02 
 6.00000000e-02  2.10114856e-07  6.00000000e-02 
 7.00000000e-02  2.09662711e-07  7.00000000e-02 
 8.00000000e-02  2.09212234e-07  8.00000000e-02 
 9.00000000e-02  2.08763408e-07  9.00000000e-02 
 1.00000000e-01  2.08316183e-07  1.00000000e-01 
 1.10000000e-01  2.07870539e-07  1.10000000e-01 
 1.20000000e-01  2.07426468e-07  1.20000000e-01 
 1.30000000e-01  2.06983908e-07  1.30000000e-01 
 1.40000000e-01  2.06542871e-07  1.40000000e-01 
 1.50000000e-01  2.06103306e-07  1.50000000e-01 
 1.60000000e-01  2.05665216e-07  1.60000000e-01 
 1.70000000e-01  2.05228559e-07  1.70000000e-01 
 1.80000000e-01  2.04793307e-07  1.80000000e-01 
 1.90000000e-01  2.04359449e-07  1.90000000e-01 
 2.00000000e-01  2.03926960e-07  2.00000000e-01 
 2.10000000e-01  2.03495816e-07  2.10000000e-01 
 2.20000000e-01  2.03066004e-07  2.20000000e-01 
 2.30000000e-01  2.02637508e-07  2.30000000e-01 
 2.40000000e-01  2.02210297e-07  2.40000000e-01 
 2.50000000e-01  2.01784355e-07  2.50000000e-01 
 2.60000000e-01  2.01359667e-07  2.60000000e-01 
 2.70000000e-01  2.00936211e-07  2.70000000e-01 
 2.80000000e-01  2.00513981e-07  2.80000000e-01 
 2.90000000e-01  2.00092948e-07  2.90000000e-01 
 3.00000000e-01  1.99673107e-07  3.00000000e-01 
 3.10000000e-01  1.99254428e-07  3.10000000e-01 
 3.20000000e-01  1.98836895e-07  3.20000000e-01 
 3.30000000e-01  1.98420494e-07  3.30000000e-01 
 3.40000000e-01  1.98005229e-07  3.40000000e-01 
 3.50000000e-01  1.97591058e-07  3.50000000e-01 
 3.60000000e-01  1.97177989e-07  3.60000000e-01 
 3.70000000e-01  1.96765990e-07  3.70000000e-01 
 3.80000000e-01  1.96355062e-07  3.80000000e-01 
 3.90000000e-01  1.95945171e-07  3.90000000e-01 
 4.00000000e-01  1.95536340e-07  4.00000000e-01 
 4.10000000e-01  1.95128517e-07  4.10000000e-01 
 4.20000000e-01  1.94721709e-07  4.20000000e-01 
 4.30000000e-01  1.94315883e-07  4.30000000e-01 
 4.40000000e-01  1.93911065e-07  4.40000000e-01 
 4.50000000e-01  1.93507210e-07  4.50000000e-01 
 4.60000000e-01  1.93104337e-07  4.60000000e-01 
 4.70000000e-01  1.92702388e-07  4.70000000e-01 
 4.80000000e-01  1.92301398e-07  4.80000000e-01 
 4.90000000e-01  1.91901320e-07  4.90000000e-01 
 5.00000000e-01  1.91502179e-07  5.00000000e-01 
 5.10000000e-01  1.91103933e-07  5.10000000e-01 
 5.20000000e-01  1.90706586e-07  5.20000000e-01 
