 v-sweep         i(viout)        v(vout)        
 0.00000000e+00  7.13685014e-08  0.00000000e+00 
 1.00000000e-02  7.12227513e-08  1.00000000e-02 
 2.00000000e-02  7.10776150e-08  2.00000000e-02 
 3.00000000e-02  7.09326185e-08  3.00000000e-02 
 4.00000000e-02  7.07879175e-08  4.00000000e-02 
 5.00000000e-02  7.06435115e-08  5.00000000e-02 
 6.00000000e-02  7.04994033e-08  6.00000000e-02 
 7.00000000e-02  7.03555805e-08  7.00000000e-02 
 8.00000000e-02  7.02120486e-08  8.00000000e-02 
 9.00000000e-02  7.00688061e-08  9.00000000e-02 
 1.00000000e-01  6.99258360e-08  1.00000000e-01 
 1.10000000e-01  6.97831755e-08  1.10000000e-01 
 1.20000000e-01  6.96407656e-08  1.20000000e-01 
 1.30000000e-01  6.94986600e-08  1.30000000e-01 
 1.40000000e-01  6.93568195e-08  1.40000000e-01 
 1.50000000e-01  6.92152522e-08  1.50000000e-01 
 1.60000000e-01  6.90739648e-08  1.60000000e-01 
 1.70000000e-01  6.89329480e-08  1.70000000e-01 
 1.80000000e-01  6.87922035e-08  1.80000000e-01 
 1.90000000e-01  6.86517301e-08  1.90000000e-01 
 2.00000000e-01  6.85115240e-08  2.00000000e-01 
 2.10000000e-01  6.83715837e-08  2.10000000e-01 
 2.20000000e-01  6.82319121e-08  2.20000000e-01 
 2.30000000e-01  6.80924963e-08  2.30000000e-01 
 2.40000000e-01  6.79533327e-08  2.40000000e-01 
 2.50000000e-01  6.78144447e-08  2.50000000e-01 
 2.60000000e-01  6.76758118e-08  2.60000000e-01 
 2.70000000e-01  6.75374281e-08  2.70000000e-01 
 2.80000000e-01  6.73993090e-08  2.80000000e-01 
 2.90000000e-01  6.72614360e-08  2.90000000e-01 
 3.00000000e-01  6.71238163e-08  3.00000000e-01 
 3.10000000e-01  6.69864368e-08  3.10000000e-01 
 3.20000000e-01  6.68493225e-08  3.20000000e-01 
 3.30000000e-01  6.67124480e-08  3.30000000e-01 
 3.40000000e-01  6.65758195e-08  3.40000000e-01 
 3.50000000e-01  6.64394380e-08  3.50000000e-01 
 3.60000000e-01  6.63032931e-08  3.60000000e-01 
 3.70000000e-01  6.61673947e-08  3.70000000e-01 
 3.80000000e-01  6.60317272e-08  3.80000000e-01 
 3.90000000e-01  6.58963031e-08  3.90000000e-01 
 4.00000000e-01  6.57611170e-08  4.00000000e-01 
 4.10000000e-01  6.56261676e-08  4.10000000e-01 
 4.20000000e-01  6.54914492e-08  4.20000000e-01 
 4.30000000e-01  6.53569576e-08  4.30000000e-01 
 4.40000000e-01  6.52227086e-08  4.40000000e-01 
 4.50000000e-01  6.50886802e-08  4.50000000e-01 
 4.60000000e-01  6.49548793e-08  4.60000000e-01 
 4.70000000e-01  6.48213070e-08  4.70000000e-01 
 4.80000000e-01  6.46879528e-08  4.80000000e-01 
 4.90000000e-01  6.45548237e-08  4.90000000e-01 
 5.00000000e-01  6.44219234e-08  5.00000000e-01 
 5.10000000e-01  6.42892344e-08  5.10000000e-01 
 5.20000000e-01  6.41567741e-08  5.20000000e-01 
 5.30000000e-01  6.40245199e-08  5.30000000e-01 
 5.40000000e-01  6.38924851e-08  5.40000000e-01 
 5.50000000e-01  6.37606661e-08  5.50000000e-01 
 5.60000000e-01  6.36290594e-08  5.60000000e-01 
 5.70000000e-01  6.34976707e-08  5.70000000e-01 
 5.80000000e-01  6.33664810e-08  5.80000000e-01 
 5.90000000e-01  6.32355066e-08  5.90000000e-01 
 6.00000000e-01  6.31047339e-08  6.00000000e-01 
 6.10000000e-01  6.29741637e-08  6.10000000e-01 
 6.20000000e-01  6.28437959e-08  6.20000000e-01 
 6.30000000e-01  6.27136370e-08  6.30000000e-01 
 6.40000000e-01  6.25836769e-08  6.40000000e-01 
 6.50000000e-01  6.24539265e-08  6.50000000e-01 
 6.60000000e-01  6.23243448e-08  6.60000000e-01 
 6.70000000e-01  6.21949772e-08  6.70000000e-01 
 6.80000000e-01  6.20657987e-08  6.80000000e-01 
 6.90000000e-01  6.19368157e-08  6.90000000e-01 
 7.00000000e-01  6.18080165e-08  7.00000000e-01 
 7.10000000e-01  6.16794109e-08  7.10000000e-01 
 7.20000000e-01  6.15509874e-08  7.20000000e-01 
 7.30000000e-01  6.14227620e-08  7.30000000e-01 
 7.40000000e-01  6.12947115e-08  7.40000000e-01 
 7.50000000e-01  6.11668343e-08  7.50000000e-01 
 7.60000000e-01  6.10391471e-08  7.60000000e-01 
 7.70000000e-01  6.09116348e-08  7.70000000e-01 
 7.80000000e-01  6.07843020e-08  7.80000000e-01 
 7.90000000e-01  6.06571353e-08  7.90000000e-01 
 8.00000000e-01  6.05301427e-08  8.00000000e-01 
 8.10000000e-01  6.04033179e-08  8.10000000e-01 
 8.20000000e-01  6.02766761e-08  8.20000000e-01 
 8.30000000e-01  6.01501853e-08  8.30000000e-01 
 8.40000000e-01  6.00238677e-08  8.40000000e-01 
 8.50000000e-01  5.98977108e-08  8.50000000e-01 
 8.60000000e-01  5.97717138e-08  8.60000000e-01 
 8.70000000e-01  5.96458607e-08  8.70000000e-01 
 8.80000000e-01  5.95201870e-08  8.80000000e-01 
 8.90000000e-01  5.93946465e-08  8.90000000e-01 
 9.00000000e-01  5.92692624e-08  9.00000000e-01 
 9.10000000e-01  5.91440328e-08  9.10000000e-01 
 9.20000000e-01  5.90189462e-08  9.20000000e-01 
 9.30000000e-01  5.88939999e-08  9.30000000e-01 
 9.40000000e-01  5.87691913e-08  9.40000000e-01 
 9.50000000e-01  5.86445310e-08  9.50000000e-01 
 9.60000000e-01  5.85199968e-08  9.60000000e-01 
 9.70000000e-01  5.83955924e-08  9.70000000e-01 
 9.80000000e-01  5.82713318e-08  9.80000000e-01 
 9.90000000e-01  5.81471795e-08  9.90000000e-01 
 1.00000000e+00  5.80231676e-08  1.00000000e+00 
 1.01000000e+00  5.78992649e-08  1.01000000e+00 
 1.02000000e+00  5.77754715e-08  1.02000000e+00 
 1.03000000e+00  5.76518024e-08  1.03000000e+00 
 1.04000000e+00  5.75282453e-08  1.04000000e+00 
 1.05000000e+00  5.74047982e-08  1.05000000e+00 
 1.06000000e+00  5.72814329e-08  1.06000000e+00 
 1.07000000e+00  5.71581866e-08  1.07000000e+00 
 1.08000000e+00  5.70350194e-08  1.08000000e+00 
 1.09000000e+00  5.69119436e-08  1.09000000e+00 
 1.10000000e+00  5.67889629e-08  1.10000000e+00 
 1.11000000e+00  5.66660558e-08  1.11000000e+00 
 1.12000000e+00  5.65432163e-08  1.12000000e+00 
 1.13000000e+00  5.64204550e-08  1.13000000e+00 
 1.14000000e+00  5.62977585e-08  1.14000000e+00 
 1.15000000e+00  5.61751134e-08  1.15000000e+00 
 1.16000000e+00  5.60525208e-08  1.16000000e+00 
 1.17000000e+00  5.59299789e-08  1.17000000e+00 
 1.18000000e+00  5.58074671e-08  1.18000000e+00 
 1.19000000e+00  5.56849908e-08  1.19000000e+00 
 1.20000000e+00  5.55625377e-08  1.20000000e+00 
 1.21000000e+00  5.54401005e-08  1.21000000e+00 
 1.22000000e+00  5.53176669e-08  1.22000000e+00 
 1.23000000e+00  5.51952208e-08  1.23000000e+00 
 1.24000000e+00  5.50727766e-08  1.24000000e+00 
 1.25000000e+00  5.49502825e-08  1.25000000e+00 
 1.26000000e+00  5.48277637e-08  1.26000000e+00 
 1.27000000e+00  5.47051844e-08  1.27000000e+00 
 1.28000000e+00  5.45825500e-08  1.28000000e+00 
 1.29000000e+00  5.44598162e-08  1.29000000e+00 
 1.30000000e+00  5.43369776e-08  1.30000000e+00 
 1.31000000e+00  5.42140199e-08  1.31000000e+00 
 1.32000000e+00  5.40909113e-08  1.32000000e+00 
 1.33000000e+00  5.39676268e-08  1.33000000e+00 
 1.34000000e+00  5.38441309e-08  1.34000000e+00 
 1.35000000e+00  5.37203810e-08  1.35000000e+00 
 1.36000000e+00  5.35963487e-08  1.36000000e+00 
 1.37000000e+00  5.34719735e-08  1.37000000e+00 
 1.38000000e+00  5.33471844e-08  1.38000000e+00 
 1.39000000e+00  5.32219211e-08  1.39000000e+00 
 1.40000000e+00  5.30960662e-08  1.40000000e+00 
 1.41000000e+00  5.29694972e-08  1.41000000e+00 
 1.42000000e+00  5.28420561e-08  1.42000000e+00 
 1.43000000e+00  5.27135331e-08  1.43000000e+00 
 1.44000000e+00  5.25836157e-08  1.44000000e+00 
 1.45000000e+00  5.24519042e-08  1.45000000e+00 
 1.46000000e+00  5.23178105e-08  1.46000000e+00 
 1.47000000e+00  5.21804768e-08  1.47000000e+00 
 1.48000000e+00  5.20385726e-08  1.48000000e+00 
 1.49000000e+00  5.18900709e-08  1.49000000e+00 
 1.50000000e+00  5.17316270e-08  1.50000000e+00 
 1.51000000e+00  5.15576559e-08  1.51000000e+00 
 1.52000000e+00  5.13585139e-08  1.52000000e+00 
 1.53000000e+00  5.11173273e-08  1.53000000e+00 
 1.54000000e+00  5.08046050e-08  1.54000000e+00 
 1.55000000e+00  5.03712183e-08  1.55000000e+00 
 1.56000000e+00  4.97418391e-08  1.56000000e+00 
 1.57000000e+00  4.88123622e-08  1.57000000e+00 
 1.58000000e+00  4.74475517e-08  1.58000000e+00 
 1.59000000e+00  4.54702711e-08  1.59000000e+00 
 1.60000000e+00  4.27399485e-08  1.60000000e+00 
 1.61000000e+00  3.90066717e-08  1.61000000e+00 
 1.62000000e+00  3.44902329e-08  1.62000000e+00 
 1.63000000e+00  2.97579508e-08  1.63000000e+00 
 1.64000000e+00  2.52775685e-08  1.64000000e+00 
 1.65000000e+00  2.12425704e-08  1.65000000e+00 
 1.66000000e+00  1.76357773e-08  1.66000000e+00 
 1.67000000e+00  1.44191734e-08  1.67000000e+00 
