 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  5.08903776e-01  5.08903776e-01  5.08903776e-01  5.08903776e-01  5.08903776e-01  5.08903776e-01  5.08903776e-01  6.99032132e-07  8.06659914e-07  0.00000000e+00 
 1.00000000e-02  5.08903778e-01  5.08903777e-01  5.08903777e-01  5.08903778e-01  5.08903778e-01  5.08903778e-01  5.08903778e-01  6.99032135e-07  8.06648912e-07  1.00000000e-02 
 2.00000000e-02  5.08903773e-01  5.08903773e-01  5.08903773e-01  5.08903773e-01  5.08903773e-01  5.08903773e-01  5.08903773e-01  6.99032110e-07  8.06637864e-07  2.00000000e-02 
 3.00000000e-02  5.08903773e-01  5.08903773e-01  5.08903773e-01  5.08903773e-01  5.08903773e-01  5.08903773e-01  5.08903773e-01  6.99032118e-07  8.06626809e-07  3.00000000e-02 
 4.00000000e-02  5.08903772e-01  5.08903772e-01  5.08903772e-01  5.08903772e-01  5.08903772e-01  5.08903772e-01  5.08903772e-01  6.99032107e-07  8.06615706e-07  4.00000000e-02 
 5.00000000e-02  5.08903774e-01  5.08903774e-01  5.08903774e-01  5.08903774e-01  5.08903774e-01  5.08903774e-01  5.08903774e-01  6.99032121e-07  8.06604644e-07  5.00000000e-02 
 6.00000000e-02  5.08903776e-01  5.08903776e-01  5.08903776e-01  5.08903776e-01  5.08903776e-01  5.08903776e-01  5.08903776e-01  6.99032121e-07  8.06593514e-07  6.00000000e-02 
 7.00000000e-02  5.08903773e-01  5.08903773e-01  5.08903773e-01  5.08903773e-01  5.08903773e-01  5.08903773e-01  5.08903773e-01  6.99032110e-07  8.06582392e-07  7.00000000e-02 
 8.00000000e-02  5.08903771e-01  5.08903771e-01  5.08903771e-01  5.08903771e-01  5.08903771e-01  5.08903771e-01  5.08903771e-01  6.99032100e-07  8.06571151e-07  8.00000000e-02 
 9.00000000e-02  5.08903772e-01  5.08903772e-01  5.08903772e-01  5.08903772e-01  5.08903772e-01  5.08903772e-01  5.08903772e-01  6.99032107e-07  8.06560030e-07  9.00000000e-02 
 1.00000000e-01  5.08903774e-01  5.08903774e-01  5.08903774e-01  5.08903774e-01  5.08903774e-01  5.08903774e-01  5.08903774e-01  6.99032118e-07  8.06548911e-07  1.00000000e-01 
