 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 6.77290991e-07  3.23269551e-09  3.24779515e-09  3.28598473e-09  3.25192731e-09  3.28347945e-09  3.25346070e-09  3.22856706e-09  6.77290991e-07  3.53168588e-08  1.00000000e+00 
 6.77291776e-07  5.39543018e-01  3.24779516e-09  3.28598473e-09  3.25192731e-09  3.28347957e-09  3.25346070e-09  3.22856718e-09  6.77291776e-07  3.70567790e-08  1.00000000e+00 
 6.77291741e-07  3.23269551e-09  5.39543011e-01  3.28598473e-09  3.25192731e-09  3.28347946e-09  3.25346070e-09  3.22856718e-09  6.77291741e-07  3.93629378e-08  1.00000000e+00 
 6.77292537e-07  5.39543154e-01  5.39543153e-01  3.28598474e-09  3.25192731e-09  3.28347946e-09  3.25346070e-09  3.22856718e-09  6.77292537e-07  4.14669401e-08  1.00000000e+00 
 6.77291807e-07  3.23269551e-09  3.24779516e-09  5.39543023e-01  3.25192731e-09  3.28347946e-09  3.25346070e-09  3.22856718e-09  6.77291807e-07  4.43195063e-08  1.00000000e+00 
 6.77292588e-07  5.39543163e-01  3.24779516e-09  5.39543163e-01  3.25192731e-09  3.28347946e-09  3.25346070e-09  3.22856718e-09  6.77292588e-07  4.68209578e-08  1.00000000e+00 
 6.77292579e-07  3.23269551e-09  5.39543161e-01  5.39543161e-01  3.25192731e-09  3.28347946e-09  3.25346070e-09  3.22856707e-09  6.77292579e-07  4.99697492e-08  1.00000000e+00 
 6.77293345e-07  5.39543299e-01  5.39543299e-01  5.39543299e-01  3.25192732e-09  3.28347946e-09  3.25346071e-09  3.22856707e-09  6.77293345e-07  5.28099946e-08  1.00000000e+00 
 6.77291757e-07  3.23269551e-09  3.24779516e-09  3.28598485e-09  5.39543014e-01  3.28347945e-09  3.25346070e-09  3.22856707e-09  6.77291757e-07  5.45410046e-08  1.00000000e+00 
 6.77292549e-07  5.39543156e-01  3.24779516e-09  3.28598485e-09  5.39543156e-01  3.28347946e-09  3.25346070e-09  3.22856707e-09  6.77292549e-07  5.76820796e-08  1.00000000e+00 
 6.77292521e-07  3.23269552e-09  5.39543151e-01  3.28598474e-09  5.39543151e-01  3.28347946e-09  3.25346071e-09  3.22856707e-09  6.77292521e-07  6.16007654e-08  1.00000000e+00 
 6.77293308e-07  5.39543292e-01  5.39543292e-01  3.28598474e-09  5.39543292e-01  3.28347958e-09  3.25346071e-09  3.22856707e-09  6.77293308e-07  6.50179786e-08  1.00000000e+00 
 6.77292588e-07  3.23269551e-09  3.24779516e-09  5.39543163e-01  5.39543163e-01  3.28347957e-09  3.25346070e-09  3.22856707e-09  6.77292588e-07  6.91315947e-08  1.00000000e+00 
 6.77293363e-07  5.39543301e-01  3.24779517e-09  5.39543301e-01  5.39543301e-01  3.28347958e-09  3.25346071e-09  3.22856707e-09  6.77293363e-07  7.27051059e-08  1.00000000e+00 
 6.77293336e-07  3.23269552e-09  5.39543297e-01  5.39543297e-01  5.39543297e-01  3.28347958e-09  3.25346071e-09  3.22856707e-09  6.77293336e-07  7.69417454e-08  1.00000000e+00 
 6.77294127e-07  5.39543438e-01  5.39543438e-01  5.39543438e-01  5.39543438e-01  3.28347947e-09  3.25346071e-09  3.22856708e-09  6.77294127e-07  8.05698193e-08  1.00000000e+00 
 6.77291794e-07  3.23269551e-09  3.24779505e-09  3.28598485e-09  3.25192731e-09  5.39543021e-01  3.25346070e-09  3.22856707e-09  6.77291794e-07  1.02437149e-07  1.00000000e+00 
 6.77292588e-07  5.39543163e-01  3.24779516e-09  3.28598474e-09  3.25192731e-09  5.39543163e-01  3.25346070e-09  3.22856707e-09  6.77292588e-07  1.06208745e-07  1.00000000e+00 
 6.77292563e-07  3.23269551e-09  5.39543158e-01  3.28598485e-09  3.25192731e-09  5.39543158e-01  3.25346070e-09  3.22856707e-09  6.77292563e-07  1.10769157e-07  1.00000000e+00 
 6.77293345e-07  5.39543298e-01  5.39543298e-01  3.28598474e-09  3.25192732e-09  5.39543298e-01  3.25346071e-09  3.22856719e-09  6.77293345e-07  1.14607047e-07  1.00000000e+00 
 6.77292624e-07  3.23269551e-09  3.24779505e-09  5.39543169e-01  3.25192731e-09  5.39543169e-01  3.25346070e-09  3.22856707e-09  6.77292624e-07  1.19202994e-07  1.00000000e+00 
 6.77293391e-07  5.39543307e-01  3.24779505e-09  5.39543307e-01  3.25192732e-09  5.39543307e-01  3.25346071e-09  3.22856707e-09  6.77293391e-07  1.23058165e-07  1.00000000e+00 
 6.77293373e-07  3.23269552e-09  5.39543303e-01  5.39543303e-01  3.25192732e-09  5.39543303e-01  3.25346071e-09  3.22856708e-09  6.77293373e-07  1.27551203e-07  1.00000000e+00 
 6.77294160e-07  5.39543444e-01  5.39543444e-01  5.39543444e-01  3.25192732e-09  5.39543444e-01  3.25346071e-09  3.22856708e-09  6.77294160e-07  1.31336137e-07  1.00000000e+00 
 6.77292592e-07  3.23269551e-09  3.24779505e-09  3.28598474e-09  5.39543164e-01  5.39543164e-01  3.25346070e-09  3.22856707e-09  6.77292592e-07  1.32992554e-07  1.00000000e+00 
 6.77293372e-07  5.39543303e-01  3.24779505e-09  3.28598474e-09  5.39543303e-01  5.39543303e-01  3.25346071e-09  3.22856707e-09  6.77293372e-07  1.36820965e-07  1.00000000e+00 
 6.77293325e-07  3.23269552e-09  5.39543294e-01  3.28598474e-09  5.39543294e-01  5.39543294e-01  3.25346071e-09  3.22856707e-09  6.77293325e-07  1.41344159e-07  1.00000000e+00 
 6.77294125e-07  5.39543438e-01  5.39543437e-01  3.28598475e-09  5.39543438e-01  5.39543438e-01  3.25346071e-09  3.22856708e-09  6.77294125e-07  1.45165380e-07  1.00000000e+00 
 6.77293412e-07  3.23269552e-09  3.24779505e-09  5.39543310e-01  5.39543310e-01  5.39543310e-01  3.25346071e-09  3.22856707e-09  6.77293412e-07  1.49519181e-07  1.00000000e+00 
 6.77294182e-07  5.39543448e-01  3.24779505e-09  5.39543448e-01  5.39543448e-01  5.39543448e-01  3.25346071e-09  3.22856707e-09  6.77294182e-07  1.53282407e-07  1.00000000e+00 
 6.77294162e-07  3.23269552e-09  5.39543444e-01  5.39543445e-01  5.39543445e-01  5.39543444e-01  3.25346071e-09  3.22856708e-09  6.77294162e-07  1.57632932e-07  1.00000000e+00 
 6.77294938e-07  5.39543583e-01  5.39543583e-01  5.39543583e-01  5.39543583e-01  5.39543583e-01  3.25346071e-09  3.22856719e-09  6.77294938e-07  1.61321317e-07  1.00000000e+00 
