 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  3.25301917e-09  7.00533811e-07  4.47496317e-07  0.00000000e+00 
 1.00000000e-02  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  3.25301906e-09  7.00533814e-07  4.47460825e-07  1.00000000e-02 
 2.00000000e-02  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  3.25301906e-09  7.00533811e-07  4.47428969e-07  2.00000000e-02 
 3.00000000e-02  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  3.25301906e-09  7.00533814e-07  4.47397723e-07  3.00000000e-02 
 4.00000000e-02  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  3.25301917e-09  7.00533807e-07  4.47368180e-07  4.00000000e-02 
 5.00000000e-02  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  3.25301917e-09  7.00533825e-07  4.47340275e-07  5.00000000e-02 
 6.00000000e-02  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  3.25301906e-09  7.00533814e-07  4.47313754e-07  6.00000000e-02 
 7.00000000e-02  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125846e-01  5.16125847e-01  5.16125847e-01  3.25301918e-09  7.00533811e-07  4.47288647e-07  7.00000000e-02 
 8.00000000e-02  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  3.25301917e-09  7.00533811e-07  4.47265082e-07  8.00000000e-02 
 9.00000000e-02  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  3.25301917e-09  7.00533821e-07  4.47242675e-07  9.00000000e-02 
 1.00000000e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  3.25301906e-09  7.00533814e-07  4.47221508e-07  1.00000000e-01 
 1.10000000e-01  5.16125844e-01  5.16125844e-01  5.16125844e-01  5.16125844e-01  5.16125844e-01  5.16125844e-01  3.25301918e-09  7.00533796e-07  4.47201570e-07  1.10000000e-01 
 1.20000000e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  3.25301917e-09  7.00533821e-07  4.47182753e-07  1.20000000e-01 
 1.30000000e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  3.25301906e-09  7.00533825e-07  4.47165089e-07  1.30000000e-01 
 1.40000000e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  3.25301918e-09  7.00533818e-07  4.47148429e-07  1.40000000e-01 
 1.50000000e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  3.25301917e-09  7.00533825e-07  4.47132736e-07  1.50000000e-01 
 1.60000000e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  3.25301917e-09  7.00533818e-07  4.47117946e-07  1.60000000e-01 
 1.70000000e-01  5.16125848e-01  5.16125848e-01  5.16125849e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  3.25301906e-09  7.00533821e-07  4.47104060e-07  1.70000000e-01 
 1.80000000e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  5.16125849e-01  3.25301906e-09  7.00533825e-07  4.47091189e-07  1.80000000e-01 
 1.90000000e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  3.25301906e-09  7.00533811e-07  4.47078820e-07  1.90000000e-01 
 2.00000000e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  3.25301917e-09  7.00533814e-07  4.47067343e-07  2.00000000e-01 
 2.10000000e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  3.25301917e-09  7.00533821e-07  4.47056621e-07  2.10000000e-01 
 2.20000000e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  5.16125846e-01  3.25301917e-09  7.00533811e-07  4.47046567e-07  2.20000000e-01 
 2.30000000e-01  5.16125849e-01  5.16125848e-01  5.16125849e-01  5.16125848e-01  5.16125849e-01  5.16125849e-01  3.25301917e-09  7.00533821e-07  4.47037159e-07  2.30000000e-01 
 2.40000000e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  5.16125847e-01  3.25301906e-09  7.00533818e-07  4.47028309e-07  2.40000000e-01 
 2.50000000e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  5.16125848e-01  3.25301918e-09  7.00533821e-07  4.47020145e-07  2.50000000e-01 
 2.60000000e-01  5.16125845e-01  5.16125845e-01  5.16125845e-01  5.16125845e-01  5.16125845e-01  5.16125845e-01  3.25301905e-09  7.00533800e-07  4.47012340e-07  2.60000000e-01 
