 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.01768359e-11  3.26307383e-09  3.26307383e-09  3.26307372e-09  3.26307372e-09  3.26307372e-09  3.26307383e-09  3.26307372e-09  7.18753859e-07  8.38994296e-09  1.00000000e+00 
 5.85541660e-09  5.68791945e-01  3.26307383e-09  3.26307384e-09  3.26307384e-09  3.26307384e-09  3.26307383e-09  3.26307384e-09  7.18754579e-07  1.00728492e-08  1.00000000e+00 
 1.24961422e-08  3.26307383e-09  5.68791944e-01  3.26307383e-09  3.26307383e-09  3.26307383e-09  3.26307383e-09  3.26307383e-09  7.18754571e-07  1.28050210e-08  1.00000000e+00 
 1.85327829e-08  5.68792077e-01  5.68792077e-01  3.26307384e-09  3.26307384e-09  3.26307384e-09  3.26307384e-09  3.26307384e-09  7.18755317e-07  1.64545355e-08  1.00000000e+00 
 2.62367431e-08  3.26307383e-09  3.26307383e-09  5.68791946e-01  3.26307384e-09  3.26307384e-09  3.26307383e-09  3.26307384e-09  7.18754584e-07  2.28204442e-08  1.00000000e+00 
 3.23067159e-08  5.68792077e-01  3.26307384e-09  5.68792077e-01  3.26307384e-09  3.26307384e-09  3.26307384e-09  3.26307384e-09  7.18755317e-07  2.85875110e-08  1.00000000e+00 
 3.89589570e-08  3.26307384e-09  5.68792078e-01  5.68792078e-01  3.26307384e-09  3.26307384e-09  3.26307384e-09  3.26307384e-09  7.18755324e-07  3.51505314e-08  1.00000000e+00 
 4.49558706e-08  5.68792207e-01  5.68792207e-01  5.68792207e-01  3.26307384e-09  3.26307384e-09  3.26307384e-09  3.26307384e-09  7.18756045e-07  4.11244123e-08  1.00000000e+00 
 5.46553413e-08  3.26307383e-09  3.26307383e-09  3.26307383e-09  5.68791947e-01  3.26307383e-09  3.26307383e-09  3.26307383e-09  7.18754590e-07  5.07912681e-08  1.00000000e+00 
 6.07102262e-08  5.68792078e-01  3.26307384e-09  3.26307384e-09  5.68792078e-01  3.26307384e-09  3.26307384e-09  3.26307384e-09  7.18755324e-07  5.68119773e-08  1.00000000e+00 
 6.73980013e-08  3.26307384e-09  5.68792079e-01  3.26307384e-09  5.68792079e-01  3.26307384e-09  3.26307373e-09  3.26307384e-09  7.18755325e-07  6.34475761e-08  1.00000000e+00 
 7.34334867e-08  5.68792207e-01  5.68792207e-01  3.26307384e-09  5.68792207e-01  3.26307384e-09  3.26307384e-09  3.26307384e-09  7.18756047e-07  6.94241180e-08  1.00000000e+00 
 8.10228808e-08  3.26307384e-09  3.26307384e-09  5.68792078e-01  5.68792078e-01  3.26307384e-09  3.26307373e-09  3.26307384e-09  7.18755320e-07  7.69256765e-08  1.00000000e+00 
 8.70116209e-08  5.68792208e-01  3.26307384e-09  5.68792208e-01  5.68792208e-01  3.26307384e-09  3.26307384e-09  3.26307384e-09  7.18756051e-07  8.28360172e-08  1.00000000e+00 
 9.35970854e-08  3.26307384e-09  5.68792208e-01  5.68792208e-01  5.68792208e-01  3.26307384e-09  3.26307384e-09  3.26307384e-09  7.18756053e-07  8.93274290e-08  1.00000000e+00 
 9.95089502e-08  5.68792337e-01  5.68792337e-01  5.68792337e-01  5.68792337e-01  3.26307373e-09  3.26307384e-09  3.26307373e-09  7.18756772e-07  9.51488346e-08  1.00000000e+00 
 1.13253460e-07  3.26307383e-09  3.26307383e-09  3.26307383e-09  3.26307383e-09  5.68791947e-01  3.26307383e-09  3.26307383e-09  7.18754590e-07  1.08664882e-07  1.00000000e+00 
 1.19247952e-07  5.68792078e-01  3.26307373e-09  3.26307373e-09  3.26307373e-09  5.68792078e-01  3.26307384e-09  3.26307373e-09  7.18755322e-07  1.14552932e-07  1.00000000e+00 
 1.25914827e-07  3.26307384e-09  5.68792079e-01  3.26307373e-09  3.26307373e-09  5.68792079e-01  3.26307384e-09  3.26307373e-09  7.18755328e-07  1.21097223e-07  1.00000000e+00 
 1.31934089e-07  5.68792208e-01  5.68792208e-01  3.26307384e-09  3.26307384e-09  5.68792208e-01  3.26307384e-09  3.26307384e-09  7.18756055e-07  1.27002224e-07  1.00000000e+00 
 1.39573146e-07  3.26307384e-09  3.26307384e-09  5.68792077e-01  3.26307384e-09  5.68792077e-01  3.26307384e-09  3.26307384e-09  7.18755315e-07  1.34491781e-07  1.00000000e+00 
 1.45597605e-07  5.68792208e-01  3.26307384e-09  5.68792208e-01  3.26307384e-09  5.68792208e-01  3.26307384e-09  3.26307384e-09  7.18756050e-07  1.40394871e-07  1.00000000e+00 
 1.52185943e-07  3.26307384e-09  5.68792208e-01  5.68792208e-01  3.26307384e-09  5.68792208e-01  3.26307384e-09  3.26307384e-09  7.18756054e-07  1.46847089e-07  1.00000000e+00 
 1.58076775e-07  5.68792335e-01  5.68792335e-01  5.68792335e-01  3.26307384e-09  5.68792335e-01  3.26307373e-09  3.26307384e-09  7.18756764e-07  1.52613200e-07  1.00000000e+00 
 1.67538518e-07  3.26307372e-09  3.26307372e-09  3.26307372e-09  5.68792077e-01  5.68792077e-01  3.26307384e-09  3.26307372e-09  7.18755317e-07  1.61868620e-07  1.00000000e+00 
 1.73491683e-07  5.68792208e-01  3.26307384e-09  3.26307384e-09  5.68792208e-01  5.68792208e-01  3.26307384e-09  3.26307384e-09  7.18756053e-07  1.67688018e-07  1.00000000e+00 
 1.80042482e-07  3.26307384e-09  5.68792208e-01  3.26307384e-09  5.68792208e-01  5.68792208e-01  3.26307384e-09  3.26307384e-09  7.18756049e-07  1.74087933e-07  1.00000000e+00 
 1.85975939e-07  5.68792337e-01  5.68792337e-01  3.26307373e-09  5.68792337e-01  5.68792337e-01  3.26307384e-09  3.26307373e-09  7.18756773e-07  1.79881194e-07  1.00000000e+00 
 1.93468020e-07  3.26307384e-09  3.26307384e-09  5.68792207e-01  5.68792207e-01  5.68792207e-01  3.26307384e-09  3.26307384e-09  7.18756048e-07  1.87191112e-07  1.00000000e+00 
 1.99370726e-07  5.68792339e-01  3.26307384e-09  5.68792339e-01  5.68792339e-01  5.68792339e-01  3.26307384e-09  3.26307373e-09  7.18756786e-07  1.92945969e-07  1.00000000e+00 
 2.05819578e-07  3.26307384e-09  5.68792338e-01  5.68792338e-01  5.68792338e-01  5.68792338e-01  3.26307384e-09  3.26307373e-09  7.18756779e-07  1.99228563e-07  1.00000000e+00 
 2.11606464e-07  5.68792467e-01  5.68792467e-01  5.68792467e-01  5.68792467e-01  5.68792467e-01  3.26307373e-09  3.26307373e-09  7.18757502e-07  2.04861735e-07  1.00000000e+00 
