 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 6.68132930e-07  3.30141104e-09  3.29653663e-09  3.24247407e-09  3.23037478e-09  3.23680043e-09  3.33799545e-09  3.28813549e-09  6.68132930e-07  3.88506862e-08  1.00000000e+00 
 6.68133733e-07  5.28075468e-01  3.29653664e-09  3.24247409e-09  3.23037491e-09  3.23680045e-09  3.33799547e-09  3.28813539e-09  6.68133733e-07  4.22238600e-08  1.00000000e+00 
 6.68133776e-07  3.30141106e-09  5.28075477e-01  3.24247409e-09  3.23037491e-09  3.23680045e-09  3.33799547e-09  3.28813539e-09  6.68133776e-07  4.60881324e-08  1.00000000e+00 
 6.68134618e-07  5.28075632e-01  5.28075632e-01  3.24247409e-09  3.23037491e-09  3.23680045e-09  3.33799548e-09  3.28813540e-09  6.68134618e-07  5.03191018e-08  1.00000000e+00 
 6.68133715e-07  3.30141106e-09  3.29653664e-09  5.28075465e-01  3.23037480e-09  3.23680045e-09  3.33799547e-09  3.28813539e-09  6.68133715e-07  5.42309806e-08  1.00000000e+00 
 6.68134525e-07  5.28075615e-01  3.29653665e-09  5.28075615e-01  3.23037491e-09  3.23680045e-09  3.33799548e-09  3.28813540e-09  6.68134525e-07  5.97223107e-08  1.00000000e+00 
 6.68134593e-07  3.30141107e-09  5.28075627e-01  5.28075626e-01  3.23037480e-09  3.23680045e-09  3.33799548e-09  3.28813540e-09  6.68134593e-07  6.51779715e-08  1.00000000e+00 
 6.68135414e-07  5.28075779e-01  5.28075779e-01  5.28075779e-01  3.23037492e-09  3.23680046e-09  3.33799548e-09  3.28813551e-09  6.68135414e-07  7.06526180e-08  1.00000000e+00 
 6.68133730e-07  3.30141106e-09  3.29653664e-09  3.24247409e-09  5.28075468e-01  3.23680045e-09  3.33799547e-09  3.28813539e-09  6.68133730e-07  7.66986545e-08  1.00000000e+00 
 6.68134547e-07  5.28075619e-01  3.29653665e-09  3.24247409e-09  5.28075619e-01  3.23680045e-09  3.33799548e-09  3.28813540e-09  6.68134547e-07  8.35968024e-08  1.00000000e+00 
 6.68134582e-07  3.30141107e-09  5.28075625e-01  3.24247409e-09  5.28075625e-01  3.23680045e-09  3.33799548e-09  3.28813540e-09  6.68134582e-07  9.01780908e-08  1.00000000e+00 
 6.68135414e-07  5.28075778e-01  5.28075778e-01  3.24247410e-09  5.28075778e-01  3.23680046e-09  3.33799548e-09  3.28813551e-09  6.68135414e-07  9.64340927e-08  1.00000000e+00 
 6.68134522e-07  3.30141107e-09  3.29653665e-09  5.28075614e-01  5.28075614e-01  3.23680045e-09  3.33799548e-09  3.28813540e-09  6.68134522e-07  1.01175345e-07  1.00000000e+00 
 6.68135339e-07  5.28075764e-01  3.29653665e-09  5.28075764e-01  5.28075764e-01  3.23680046e-09  3.33799548e-09  3.28813551e-09  6.68135339e-07  1.07585763e-07  1.00000000e+00 
 6.68135382e-07  3.30141107e-09  5.28075772e-01  5.28075772e-01  5.28075772e-01  3.23680046e-09  3.33799548e-09  3.28813551e-09  6.68135382e-07  1.13333115e-07  1.00000000e+00 
 6.68136231e-07  5.28075929e-01  5.28075929e-01  5.28075929e-01  5.28075929e-01  3.23680046e-09  3.33799549e-09  3.28813551e-09  6.68136231e-07  1.18812494e-07  1.00000000e+00 
 6.68133723e-07  3.30141106e-09  3.29653664e-09  3.24247409e-09  3.23037480e-09  5.28075467e-01  3.33799547e-09  3.28813539e-09  6.68133723e-07  1.22382772e-07  1.00000000e+00 
 6.68134554e-07  5.28075620e-01  3.29653665e-09  3.24247409e-09  3.23037480e-09  5.28075620e-01  3.33799548e-09  3.28813540e-09  6.68134554e-07  1.29661842e-07  1.00000000e+00 
 6.68134597e-07  3.30141107e-09  5.28075627e-01  3.24247409e-09  3.23037480e-09  5.28075626e-01  3.33799548e-09  3.28813539e-09  6.68134597e-07  1.36612101e-07  1.00000000e+00 
