 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  5.69859871e-01  5.69859871e-01  5.69859871e-01  5.69859871e-01  5.69859871e-01  5.69859871e-01  5.69859871e-01  7.32356879e-07  8.22373561e-07  0.00000000e+00 
 1.00000000e-02  5.69859876e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  7.32356906e-07  8.22373297e-07  1.00000000e-02 
 2.00000000e-02  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  7.32356911e-07  8.22372918e-07  2.00000000e-02 
 3.00000000e-02  5.69859874e-01  5.69859874e-01  5.69859874e-01  5.69859874e-01  5.69859874e-01  5.69859874e-01  5.69859874e-01  7.32356897e-07  8.22372545e-07  3.00000000e-02 
 4.00000000e-02  5.69859875e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  7.32356902e-07  8.22372179e-07  4.00000000e-02 
 5.00000000e-02  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  7.32356909e-07  8.22371841e-07  5.00000000e-02 
 6.00000000e-02  5.69859876e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  7.32356908e-07  8.22371482e-07  6.00000000e-02 
 7.00000000e-02  5.69859870e-01  5.69859870e-01  5.69859870e-01  5.69859870e-01  5.69859870e-01  5.69859870e-01  5.69859870e-01  7.32356872e-07  8.22370997e-07  7.00000000e-02 
 8.00000000e-02  5.69859879e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  7.32356925e-07  8.22370766e-07  8.00000000e-02 
 9.00000000e-02  5.69859875e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  7.32356899e-07  8.22370354e-07  9.00000000e-02 
 1.00000000e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  5.69859876e-01  7.32356909e-07  8.22369969e-07  1.00000000e-01 
 1.10000000e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  5.69859875e-01  7.32356899e-07  8.22369550e-07  1.10000000e-01 
 1.20000000e-01  5.69859874e-01  5.69859874e-01  5.69859874e-01  5.69859874e-01  5.69859874e-01  5.69859874e-01  5.69859874e-01  7.32356895e-07  8.22369229e-07  1.20000000e-01 
 1.30000000e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  7.32356913e-07  8.22368925e-07  1.30000000e-01 
 1.40000000e-01  5.69859880e-01  5.69859880e-01  5.69859880e-01  5.69859880e-01  5.69859880e-01  5.69859880e-01  5.69859880e-01  7.32356929e-07  8.22368576e-07  1.40000000e-01 
 1.50000000e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  7.32356922e-07  8.22368165e-07  1.50000000e-01 
 1.60000000e-01  5.69859873e-01  5.69859873e-01  5.69859873e-01  5.69859873e-01  5.69859873e-01  5.69859873e-01  5.69859873e-01  7.32356893e-07  8.22367699e-07  1.60000000e-01 
 1.70000000e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  5.69859877e-01  7.32356915e-07  8.22367389e-07  1.70000000e-01 
 1.80000000e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  5.69859879e-01  7.32356925e-07  8.22367052e-07  1.80000000e-01 
