 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  3.27043577e-09  7.09146075e-07  4.27617644e-07  0.00000000e+00 
 1.00000000e-02  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146072e-07  4.27617345e-07  1.00000000e-02 
 2.00000000e-02  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  3.27043588e-09  7.09146079e-07  4.27617022e-07  2.00000000e-02 
 3.00000000e-02  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  3.27043588e-09  7.09146093e-07  4.27616787e-07  3.00000000e-02 
 4.00000000e-02  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040793e-01  5.47040793e-01  5.47040792e-01  3.27043588e-09  7.09146086e-07  4.27616513e-07  4.00000000e-02 
 5.00000000e-02  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146068e-07  4.27616219e-07  5.00000000e-02 
 6.00000000e-02  5.47040786e-01  5.47040786e-01  5.47040786e-01  5.47040786e-01  5.47040786e-01  5.47040786e-01  3.27043588e-09  7.09146050e-07  4.27615900e-07  6.00000000e-02 
 7.00000000e-02  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146072e-07  4.27615634e-07  7.00000000e-02 
 8.00000000e-02  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  3.27043588e-09  7.09146075e-07  4.27615403e-07  8.00000000e-02 
 9.00000000e-02  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146075e-07  4.27615076e-07  9.00000000e-02 
 1.00000000e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146079e-07  4.27614780e-07  1.00000000e-01 
 1.10000000e-01  5.47040793e-01  5.47040793e-01  5.47040793e-01  5.47040793e-01  5.47040793e-01  5.47040793e-01  3.27043588e-09  7.09146093e-07  4.27614553e-07  1.10000000e-01 
 1.20000000e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  3.27043588e-09  7.09146079e-07  4.27614258e-07  1.20000000e-01 
 1.30000000e-01  5.47040793e-01  5.47040793e-01  5.47040793e-01  5.47040793e-01  5.47040793e-01  5.47040793e-01  3.27043588e-09  7.09146089e-07  4.27614040e-07  1.30000000e-01 
 1.40000000e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  3.27043588e-09  7.09146079e-07  4.27613770e-07  1.40000000e-01 
 1.50000000e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040791e-01  5.47040791e-01  5.47040790e-01  3.27043588e-09  7.09146075e-07  4.27613422e-07  1.50000000e-01 
 1.60000000e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  3.27043588e-09  7.09146075e-07  4.27613125e-07  1.60000000e-01 
 1.70000000e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146072e-07  4.27612857e-07  1.70000000e-01 
 1.80000000e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  3.27043588e-09  7.09146075e-07  4.27612585e-07  1.80000000e-01 
 1.90000000e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146075e-07  4.27612296e-07  1.90000000e-01 
 2.00000000e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146079e-07  4.27612015e-07  2.00000000e-01 
 2.10000000e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  3.27043588e-09  7.09146097e-07  4.27611724e-07  2.10000000e-01 
 2.20000000e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146075e-07  4.27611436e-07  2.20000000e-01 
 2.30000000e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  3.27043588e-09  7.09146065e-07  4.27611143e-07  2.30000000e-01 
 2.40000000e-01  5.47040788e-01  5.47040788e-01  5.47040788e-01  5.47040788e-01  5.47040788e-01  5.47040788e-01  3.27043588e-09  7.09146061e-07  4.27610868e-07  2.40000000e-01 
 2.50000000e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  3.27043588e-09  7.09146079e-07  4.27610585e-07  2.50000000e-01 
 2.60000000e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040795e-01  5.47040795e-01  5.47040794e-01  3.27043588e-09  7.09146100e-07  4.27610274e-07  2.60000000e-01 
 2.70000000e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  3.27043588e-09  7.09146079e-07  4.27610029e-07  2.70000000e-01 
 2.80000000e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040791e-01  5.47040791e-01  5.47040790e-01  3.27043588e-09  7.09146075e-07  4.27609709e-07  2.80000000e-01 
 2.90000000e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  3.27043588e-09  7.09146068e-07  4.27609422e-07  2.90000000e-01 
 3.00000000e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146072e-07  4.27609145e-07  3.00000000e-01 
 3.10000000e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040793e-01  5.47040793e-01  5.47040792e-01  3.27043588e-09  7.09146086e-07  4.27608899e-07  3.10000000e-01 
 3.20000000e-01  5.47040793e-01  5.47040793e-01  5.47040793e-01  5.47040793e-01  5.47040793e-01  5.47040793e-01  3.27043588e-09  7.09146089e-07  4.27608580e-07  3.20000000e-01 
 3.30000000e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  3.27043588e-09  7.09146075e-07  4.27608303e-07  3.30000000e-01 
 3.40000000e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  3.27043588e-09  7.09146079e-07  4.27607951e-07  3.40000000e-01 
 3.50000000e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  3.27043588e-09  7.09146068e-07  4.27607720e-07  3.50000000e-01 
 3.60000000e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  3.27043588e-09  7.09146068e-07  4.27607347e-07  3.60000000e-01 
 3.70000000e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  3.27043588e-09  7.09146068e-07  4.27607084e-07  3.70000000e-01 
 3.80000000e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  3.27043588e-09  7.09146086e-07  4.27606842e-07  3.80000000e-01 
 3.90000000e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  3.27043588e-09  7.09146097e-07  4.27606544e-07  3.90000000e-01 
 4.00000000e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  5.47040794e-01  3.27043588e-09  7.09146093e-07  4.27606235e-07  4.00000000e-01 
 4.10000000e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146072e-07  4.27605901e-07  4.10000000e-01 
 4.20000000e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  3.27043588e-09  7.09146075e-07  4.27605670e-07  4.20000000e-01 
 4.30000000e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146075e-07  4.27605322e-07  4.30000000e-01 
 4.40000000e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  5.47040791e-01  3.27043576e-09  7.09146079e-07  4.27604984e-07  4.40000000e-01 
 4.50000000e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  3.27043588e-09  7.09146082e-07  4.27604760e-07  4.50000000e-01 
 4.60000000e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  5.47040789e-01  3.27043588e-09  7.09146068e-07  4.27604366e-07  4.60000000e-01 
 4.70000000e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  5.47040790e-01  3.27043588e-09  7.09146075e-07  4.27604142e-07  4.70000000e-01 
 4.80000000e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  3.27043588e-09  7.09146082e-07  4.27603762e-07  4.80000000e-01 
 4.90000000e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  3.27043588e-09  7.09146082e-07  4.27603513e-07  4.90000000e-01 
 5.00000000e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  5.47040792e-01  3.27043588e-09  7.09146089e-07  4.27603222e-07  5.00000000e-01 
