 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.57844977e-07  3.52350728e-09  3.30163064e-09  3.22304038e-09  3.29632537e-09  3.52483553e-09  3.45527818e-09  3.40396749e-09  1.57844977e-07  9.95740379e-10  1.00000000e+00 
 1.57846027e-07  4.50293910e-01  3.30163065e-09  3.22304043e-09  3.29632545e-09  3.52483565e-09  3.45527822e-09  3.40396751e-09  1.57846027e-07  1.60359548e-09  1.00000000e+00 
 1.57845978e-07  3.52350731e-09  4.50293889e-01  3.22304040e-09  3.29632548e-09  3.52483562e-09  3.45527825e-09  3.40396753e-09  1.57845978e-07  2.72777356e-09  1.00000000e+00 
 1.57847046e-07  4.50294691e-01  4.50294691e-01  3.22304046e-09  3.29632551e-09  3.52483574e-09  3.45527835e-09  3.40396755e-09  1.57847046e-07  4.26541646e-09  1.00000000e+00 
 1.57846055e-07  3.52350734e-09  3.30163066e-09  4.50293935e-01  3.29632546e-09  3.52483565e-09  3.45527828e-09  3.40396751e-09  1.57846055e-07  5.80395465e-09  1.00000000e+00 
 1.57847020e-07  4.50294668e-01  3.30163070e-09  4.50294668e-01  3.29632551e-09  3.52483573e-09  3.45527835e-09  3.40396755e-09  1.57847020e-07  7.38678807e-09  1.00000000e+00 
 1.57847118e-07  3.52350737e-09  4.50294729e-01  4.50294729e-01  3.29632551e-09  3.52483574e-09  3.45527830e-09  3.40396756e-09  1.57847118e-07  8.87089868e-09  1.00000000e+00 
 1.57847955e-07  4.50295346e-01  4.50295346e-01  4.50295346e-01  3.29632556e-09  3.52483582e-09  3.45527835e-09  3.40396759e-09  1.57847955e-07  1.04575975e-08  1.00000000e+00 
 1.57846120e-07  3.52350734e-09  3.30163072e-09  3.22304038e-09  4.50293974e-01  3.52483566e-09  3.45527828e-09  3.40396751e-09  1.57846120e-07  1.15897905e-08  1.00000000e+00 
 1.57847016e-07  4.50294680e-01  3.30163070e-09  3.22304040e-09  4.50294680e-01  3.52483573e-09  3.45527829e-09  3.40396756e-09  1.57847016e-07  1.31448274e-08  1.00000000e+00 
 1.57847049e-07  3.52350737e-09  4.50294688e-01  3.22304040e-09  4.50294688e-01  3.52483574e-09  3.45527835e-09  3.40396756e-09  1.57847049e-07  1.46217474e-08  1.00000000e+00 
 1.57848100e-07  4.50295450e-01  4.50295450e-01  3.22304048e-09  4.50295450e-01  3.52483583e-09  3.45527836e-09  3.40396759e-09  1.57848100e-07  1.62065987e-08  1.00000000e+00 
 1.57847006e-07  3.52350737e-09  3.30163070e-09  4.50294661e-01  4.50294661e-01  3.52483573e-09  3.45527835e-09  3.40396755e-09  1.57847006e-07  1.77093682e-08  1.00000000e+00 
 1.57847932e-07  4.50295355e-01  3.30163074e-09  4.50295355e-01  4.50295355e-01  3.52483582e-09  3.45527836e-09  3.40396759e-09  1.57847932e-07  1.92735286e-08  1.00000000e+00 
