 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.58196996e-07  3.32520530e-09  3.29510182e-09  3.25478895e-09  3.22460106e-09  3.26704891e-09  3.26178780e-09  3.27469306e-09  1.58196996e-07  1.04517994e-09  1.00000000e+00 
 1.58198016e-07  4.58278460e-01  3.29510186e-09  3.25478909e-09  3.22460097e-09  3.26704883e-09  3.26178772e-09  3.27469309e-09  1.58198016e-07  1.57916702e-09  1.00000000e+00 
 1.58197991e-07  3.32520522e-09  4.58278433e-01  3.25478898e-09  3.22460109e-09  3.26704894e-09  3.26178772e-09  3.27469309e-09  1.58197991e-07  2.71294454e-09  1.00000000e+00 
 1.58199040e-07  4.58279218e-01  4.58279218e-01  3.25478900e-09  3.22460098e-09  3.26704896e-09  3.26178774e-09  3.27469311e-09  1.58199040e-07  4.15906953e-09  1.00000000e+00 
 1.58197926e-07  3.32520533e-09  3.29510186e-09  4.58278400e-01  3.22460097e-09  3.26704894e-09  3.26178772e-09  3.27469309e-09  1.58197926e-07  5.49439250e-09  1.00000000e+00 
 1.58199019e-07  4.58279204e-01  3.29510188e-09  4.58279204e-01  3.22460099e-09  3.26704885e-09  3.26178785e-09  3.27469322e-09  1.58199019e-07  7.02814873e-09  1.00000000e+00 
 1.58198952e-07  3.32520536e-09  4.58279147e-01  4.58279147e-01  3.22460099e-09  3.26704885e-09  3.26178785e-09  3.27469322e-09  1.58198952e-07  8.68801209e-09  1.00000000e+00 
 1.58200000e-07  4.58279927e-01  4.58279927e-01  4.58279927e-01  3.22460100e-09  3.26704887e-09  3.26178787e-09  3.27469313e-09  1.58200000e-07  1.02254702e-08  1.00000000e+00 
 1.58197921e-07  3.32520522e-09  3.29510186e-09  3.25478898e-09  4.58278388e-01  3.26704894e-09  3.26178772e-09  3.27469320e-09  1.58197921e-07  1.15960574e-08  1.00000000e+00 
 1.58198966e-07  4.58279168e-01  3.29510188e-09  3.25478911e-09  4.58279168e-01  3.26704896e-09  3.26178785e-09  3.27469311e-09  1.58198966e-07  1.31022162e-08  1.00000000e+00 
 1.58198876e-07  3.32520525e-09  4.58279097e-01  3.25478911e-09  4.58279097e-01  3.26704885e-09  3.26178773e-09  3.27469311e-09  1.58198876e-07  1.47536170e-08  1.00000000e+00 
 1.58199926e-07  4.58279883e-01  4.58279883e-01  3.25478913e-09  4.58279883e-01  3.26704887e-09  3.26178775e-09  3.27469324e-09  1.58199926e-07  1.62864140e-08  1.00000000e+00 
