 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.56937629e-07  3.29172295e-09  3.25873381e-09  3.26643062e-09  3.31550627e-09  3.23997194e-09  3.26742588e-09  3.25305469e-09  1.56937629e-07  3.54717145e-09  1.00000000e+00 
 1.56938689e-07  4.48371196e-01  3.25873384e-09  3.26643064e-09  3.31550630e-09  3.23997185e-09  3.26742602e-09  3.25305461e-09  1.56938689e-07  5.68141445e-09  1.00000000e+00 
 1.56938642e-07  3.29172298e-09  4.48371175e-01  3.26643064e-09  3.31550630e-09  3.23997197e-09  3.26742602e-09  3.25305461e-09  1.56938642e-07  9.41818712e-09  1.00000000e+00 
 1.56939632e-07  4.48371922e-01  4.48371922e-01  3.26643067e-09  3.31550634e-09  3.23997199e-09  3.26742594e-09  3.25305464e-09  1.56939632e-07  1.48187667e-08  1.00000000e+00 
 1.56938480e-07  3.29172297e-09  3.25873372e-09  4.48371078e-01  3.31550630e-09  3.23997196e-09  3.26742602e-09  3.25305461e-09  1.56938480e-07  1.99063948e-08  1.00000000e+00 
 1.56939553e-07  4.48371920e-01  3.25873375e-09  4.48371920e-01  3.31550634e-09  3.23997199e-09  3.26742605e-09  3.25305464e-09  1.56939553e-07  2.55712962e-08  1.00000000e+00 
 1.56939598e-07  3.29172301e-09  4.48371943e-01  4.48371943e-01  3.31550634e-09  3.23997188e-09  3.26742594e-09  3.25305475e-09  1.56939598e-07  3.07510959e-08  1.00000000e+00 
 1.56940665e-07  4.48372700e-01  4.48372700e-01  4.48372700e-01  3.31550637e-09  3.23997201e-09  3.26742596e-09  3.25305466e-09  1.56940665e-07  3.64384221e-08  1.00000000e+00 
 1.56938762e-07  3.29172298e-09  3.25873373e-09  3.26643064e-09  4.48371259e-01  3.23997186e-09  3.26742591e-09  3.25305461e-09  1.56938762e-07  4.11019698e-08  1.00000000e+00 
 1.56939781e-07  4.48372037e-01  3.25873376e-09  3.26643067e-09  4.48372037e-01  3.23997188e-09  3.26742606e-09  3.25305464e-09  1.56939781e-07  4.66662300e-08  1.00000000e+00 
 1.56939598e-07  3.29172301e-09  4.48371918e-01  3.26643067e-09  4.48371918e-01  3.23997199e-09  3.26742594e-09  3.25305464e-09  1.56939598e-07  5.18213596e-08  1.00000000e+00 
 1.56940486e-07  4.48372576e-01  4.48372576e-01  3.26643068e-09  4.48372576e-01  3.23997189e-09  3.26742607e-09  3.25305466e-09  1.56940486e-07  5.74992214e-08  1.00000000e+00 
 1.56939573e-07  3.29172301e-09  3.25873375e-09  4.48371872e-01  4.48371872e-01  3.23997199e-09  3.26742605e-09  3.25305464e-09  1.56939573e-07  6.24846166e-08  1.00000000e+00 
 1.56940609e-07  4.48372682e-01  3.25873377e-09  4.48372682e-01  4.48372682e-01  3.23997201e-09  3.26742607e-09  3.25305466e-09  1.56940609e-07  6.80899745e-08  1.00000000e+00 
 1.56940645e-07  3.29172303e-09  4.48372682e-01  4.48372682e-01  4.48372682e-01  3.23997201e-09  3.26742607e-09  3.25305466e-09  1.56940645e-07  7.32546539e-08  1.00000000e+00 
 1.56941585e-07  4.48373390e-01  4.48373390e-01  4.48373390e-01  4.48373390e-01  3.23997191e-09  3.26742609e-09  3.25305468e-09  1.56941585e-07  7.89292756e-08  1.00000000e+00 
 1.56938639e-07  3.29172298e-09  3.25873373e-09  3.26643064e-09  3.31550630e-09  4.48371165e-01  3.26742602e-09  3.25305461e-09  1.56938639e-07  8.05026446e-08  1.00000000e+00 
 1.56939506e-07  4.48371860e-01  3.25873375e-09  3.26643066e-09  3.31550633e-09  4.48371860e-01  3.26742605e-09  3.25305464e-09  1.56939506e-07  8.59728573e-08  1.00000000e+00 
 1.56939561e-07  3.29172301e-09  4.48371881e-01  3.26643067e-09  3.31550634e-09  4.48371881e-01  3.26742605e-09  3.25305464e-09  1.56939561e-07  9.10759752e-08  1.00000000e+00 
 1.56940678e-07  4.48372695e-01  4.48372695e-01  3.26643068e-09  3.31550637e-09  4.48372695e-01  3.26742607e-09  3.25305466e-09  1.56940678e-07  9.67116591e-08  1.00000000e+00 
 1.56939570e-07  3.29172301e-09  3.25873375e-09  4.48371905e-01  3.31550634e-09  4.48371905e-01  3.26742605e-09  3.25305464e-09  1.56939570e-07  1.01723430e-07  1.00000000e+00 
 1.56940563e-07  4.48372624e-01  3.25873377e-09  4.48372624e-01  3.31550636e-09  4.48372624e-01  3.26742607e-09  3.25305466e-09  1.56940563e-07  1.07343737e-07  1.00000000e+00 
 1.56940468e-07  3.29172303e-09  4.48372583e-01  4.48372584e-01  3.31550636e-09  4.48372584e-01  3.26742596e-09  3.25305466e-09  1.56940468e-07  1.12497901e-07  1.00000000e+00 
 1.56941423e-07  4.48373265e-01  4.48373265e-01  4.48373265e-01  3.31550639e-09  4.48373265e-01  3.26742609e-09  3.25305468e-09  1.56941423e-07  1.18145579e-07  1.00000000e+00 
 1.56939583e-07  3.29172289e-09  3.25873375e-09  3.26643067e-09  4.48371906e-01  4.48371906e-01  3.26742605e-09  3.25305464e-09  1.56939583e-07  1.22614040e-07  1.00000000e+00 
 1.56940542e-07  4.48372635e-01  3.25873377e-09  3.26643057e-09  4.48372635e-01  4.48372635e-01  3.26742607e-09  3.25305466e-09  1.56940542e-07  1.28138254e-07  1.00000000e+00 
 1.56940531e-07  3.29172303e-09  4.48372628e-01  3.26643057e-09  4.48372628e-01  4.48372628e-01  3.26742607e-09  3.25305466e-09  1.56940531e-07  1.33255526e-07  1.00000000e+00 
 1.56941508e-07  4.48373362e-01  4.48373362e-01  3.26643059e-09  4.48373362e-01  4.48373362e-01  3.26742609e-09  3.25305468e-09  1.56941508e-07  1.38931085e-07  1.00000000e+00 
 1.56940550e-07  3.29172303e-09  3.25873377e-09  4.48372609e-01  4.48372609e-01  4.48372609e-01  3.26742607e-09  3.25305466e-09  1.56940550e-07  1.43923870e-07  1.00000000e+00 
 1.56941419e-07  4.48373288e-01  3.25873379e-09  4.48373288e-01  4.48373288e-01  4.48373288e-01  3.26742609e-09  3.25305468e-09  1.56941419e-07  1.49535509e-07  1.00000000e+00 
 1.56941528e-07  3.29172305e-09  4.48373353e-01  4.48373353e-01  4.48373353e-01  4.48373353e-01  3.26742609e-09  3.25305468e-09  1.56941528e-07  1.54686546e-07  1.00000000e+00 
 1.56942670e-07  4.48374227e-01  4.48374227e-01  4.48374227e-01  4.48374227e-01  4.48374227e-01  3.26742600e-09  3.25305471e-09  1.56942670e-07  1.60354574e-07  1.00000000e+00 
 1.56938636e-07  3.29172286e-09  3.25873384e-09  3.26643064e-09  3.31550630e-09  3.23997197e-09  4.48371194e-01  3.25305461e-09  1.56938636e-07  1.67078014e-07  1.00000000e+00 
 1.56939716e-07  4.48371988e-01  3.25873376e-09  3.26643055e-09  3.31550634e-09  3.23997199e-09  4.48371988e-01  3.25305464e-09  1.56939716e-07  1.72444942e-07  1.00000000e+00 
 1.56939571e-07  3.29172301e-09  4.48371891e-01  3.26643055e-09  3.31550634e-09  3.23997199e-09  4.48371891e-01  3.25305464e-09  1.56939571e-07  1.77486243e-07  1.00000000e+00 
 1.56940470e-07  4.48372593e-01  4.48372593e-01  3.26643068e-09  3.31550636e-09  3.23997189e-09  4.48372593e-01  3.25305466e-09  1.56940470e-07  1.83067755e-07  1.00000000e+00 
 1.56939669e-07  3.29172301e-09  3.25873376e-09  4.48371940e-01  3.31550634e-09  3.23997199e-09  4.48371940e-01  3.25305464e-09  1.56939669e-07  1.88038484e-07  1.00000000e+00 
 1.56940682e-07  4.48372671e-01  3.25873377e-09  4.48372671e-01  3.31550636e-09  3.23997189e-09  4.48372671e-01  3.25305466e-09  1.56940682e-07  1.93604791e-07  1.00000000e+00 
 1.56940571e-07  3.29172291e-09  4.48372629e-01  4.48372629e-01  3.31550636e-09  3.23997189e-09  4.48372629e-01  3.25305466e-09  1.56940571e-07  1.98730760e-07  1.00000000e+00 
 1.56941605e-07  4.48373403e-01  4.48373403e-01  4.48373403e-01  3.31550638e-09  3.23997201e-09  4.48373403e-01  3.25305478e-09  1.56941605e-07  2.04375681e-07  1.00000000e+00 
 1.56939530e-07  3.29172301e-09  3.25873375e-09  3.26643066e-09  4.48371873e-01  3.23997188e-09  4.48371873e-01  3.25305464e-09  1.56939530e-07  2.08891180e-07  1.00000000e+00 
 1.56940518e-07  4.48372617e-01  3.25873387e-09  3.26643067e-09  4.48372617e-01  3.23997199e-09  4.48372617e-01  3.25305465e-09  1.56940518e-07  2.14433811e-07  1.00000000e+00 
 1.56940619e-07  3.29172290e-09  4.48372656e-01  3.26643067e-09  4.48372656e-01  3.23997199e-09  4.48372656e-01  3.25305465e-09  1.56940619e-07  2.19560548e-07  1.00000000e+00 
