 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 9.72022463e-12  3.24262234e-09  3.25804366e-09  3.26854189e-09  3.27847481e-09  3.27660807e-09  3.23063742e-09  3.25055867e-09  7.12500654e-07  1.30597755e-11  5.00000000e-01 
 8.18678814e-09  5.27076354e-01  3.25804378e-09  3.26854189e-09  3.27847481e-09  3.27660807e-09  3.23063742e-09  3.25055867e-09  7.12501450e-07  8.33591685e-09  5.00000000e-01 
 1.50323842e-08  3.24262236e-09  5.27076351e-01  3.26854190e-09  3.27847482e-09  3.27660797e-09  3.23063732e-09  3.25055857e-09  7.12501432e-07  1.52855364e-08  5.00000000e-01 
 2.32272157e-08  5.27076486e-01  5.27076486e-01  3.26854191e-09  3.27847483e-09  3.27660809e-09  3.23063744e-09  3.25055857e-09  7.12502185e-07  2.35965558e-08  5.00000000e-01 
 3.18634932e-08  3.24262236e-09  3.25804368e-09  5.27076358e-01  3.27847482e-09  3.27660809e-09  3.23063744e-09  3.25055857e-09  7.12501475e-07  3.23503428e-08  5.00000000e-01 
 4.00886790e-08  5.27076494e-01  3.25804380e-09  5.27076494e-01  3.27847483e-09  3.27660809e-09  3.23063733e-09  3.25055857e-09  7.12502228e-07  4.06849665e-08  5.00000000e-01 
 4.68551775e-08  3.24262236e-09  5.27076493e-01  5.27076493e-01  3.27847483e-09  3.27660809e-09  3.23063733e-09  3.25055857e-09  7.12502228e-07  4.75406239e-08  5.00000000e-01 
 5.48550929e-08  5.27076633e-01  5.27076633e-01  5.27076633e-01  3.27847483e-09  3.27660798e-09  3.23063744e-09  3.25055857e-09  7.12502995e-07  5.56454154e-08  5.00000000e-01 
 6.19354807e-08  3.24262235e-09  3.25804378e-09  3.26854189e-09  5.27076355e-01  3.27660807e-09  3.23063742e-09  3.25055867e-09  7.12501457e-07  6.28183017e-08  5.00000000e-01 
 7.01421925e-08  5.27076492e-01  3.25804367e-09  3.26854189e-09  5.27076492e-01  3.27660807e-09  3.23063743e-09  3.25055856e-09  7.12502217e-07  7.11322343e-08  5.00000000e-01 
 7.69194912e-08  3.24262225e-09  5.27076489e-01  3.26854190e-09  5.27076489e-01  3.27660809e-09  3.23063744e-09  3.25055857e-09  7.12502199e-07  7.79980098e-08  5.00000000e-01 
 8.49703099e-08  5.27076631e-01  5.27076631e-01  3.26854202e-09  5.27076631e-01  3.27660798e-09  3.23063744e-09  3.25055858e-09  7.12502981e-07  8.61542446e-08  5.00000000e-01 
 9.34368813e-08  3.24262225e-09  3.25804380e-09  5.27076495e-01  5.27076495e-01  3.27660809e-09  3.23063744e-09  3.25055857e-09  7.12502235e-07  9.47319165e-08  5.00000000e-01 
 1.01428896e-07  5.27076638e-01  3.25804380e-09  5.27076638e-01  5.27076638e-01  3.27660809e-09  3.23063744e-09  3.25055858e-09  7.12503024e-07  1.02829105e-07  5.00000000e-01 
 1.08047743e-07  3.24262237e-09  5.27076635e-01  5.27076635e-01  5.27076635e-01  3.27660798e-09  3.23063744e-09  3.25055858e-09  7.12503009e-07  1.09535279e-07  5.00000000e-01 
 1.15830716e-07  5.27076768e-01  5.27076768e-01  5.27076768e-01  5.27076768e-01  3.27660808e-09  3.23063743e-09  3.25055868e-09  7.12503748e-07  1.17421251e-07  5.00000000e-01 
 1.22223867e-07  3.24262235e-09  3.25804378e-09  3.26854189e-09  3.27847481e-09  5.27076360e-01  3.23063742e-09  3.25055867e-09  7.12501485e-07  1.23899270e-07  5.00000000e-01 
 1.30387264e-07  5.27076491e-01  3.25804368e-09  3.26854190e-09  3.27847483e-09  5.27076491e-01  3.23063744e-09  3.25055869e-09  7.12502214e-07  1.32171337e-07  5.00000000e-01 
 1.37166893e-07  3.24262236e-09  5.27076487e-01  3.26854202e-09  3.27847483e-09  5.27076487e-01  3.23063744e-09  3.25055857e-09  7.12502192e-07  1.39041433e-07  5.00000000e-01 
 1.45235845e-07  5.27076632e-01  5.27076632e-01  3.26854202e-09  3.27847483e-09  5.27076632e-01  3.23063744e-09  3.25055858e-09  7.12502995e-07  1.47218501e-07  5.00000000e-01 
 1.53732884e-07  3.24262236e-09  3.25804368e-09  5.27076495e-01  3.27847483e-09  5.27076494e-01  3.23063744e-09  3.25055857e-09  7.12502228e-07  1.55829710e-07  5.00000000e-01 
 1.61792912e-07  5.27076636e-01  3.25804369e-09  5.27076637e-01  3.27847483e-09  5.27076636e-01  3.23063744e-09  3.25055858e-09  7.12503020e-07  1.63998379e-07  5.00000000e-01 
 1.68427533e-07  3.24262225e-09  5.27076635e-01  5.27076636e-01  3.27847483e-09  5.27076635e-01  3.23063744e-09  3.25055858e-09  7.12503013e-07  1.70722714e-07  5.00000000e-01 
 1.76213746e-07  5.27076769e-01  5.27076769e-01  5.27076769e-01  3.27847483e-09  5.27076769e-01  3.23063744e-09  3.25055858e-09  7.12503748e-07  1.78614499e-07  5.00000000e-01 
