 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  3.25309891e-09  6.74856061e-07  4.29700160e-07  0.00000000e+00 
 1.00000000e-02  5.21197967e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  3.25309901e-09  6.74856050e-07  4.29668277e-07  1.00000000e-02 
 2.00000000e-02  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  3.25309889e-09  6.74856068e-07  4.29636343e-07  2.00000000e-02 
 3.00000000e-02  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197969e-01  5.21197970e-01  3.25309890e-09  6.74856057e-07  4.29604308e-07  3.00000000e-02 
 4.00000000e-02  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  3.25309890e-09  6.74856064e-07  4.29572232e-07  4.00000000e-02 
 5.00000000e-02  5.21197972e-01  5.21197972e-01  5.21197972e-01  5.21197972e-01  5.21197972e-01  5.21197972e-01  3.25309890e-09  6.74856075e-07  4.29540133e-07  5.00000000e-02 
 6.00000000e-02  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  3.25309901e-09  6.74856064e-07  4.29507933e-07  6.00000000e-02 
 7.00000000e-02  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  3.25309900e-09  6.74856064e-07  4.29475650e-07  7.00000000e-02 
 8.00000000e-02  5.21197973e-01  5.21197973e-01  5.21197973e-01  5.21197973e-01  5.21197973e-01  5.21197973e-01  3.25309889e-09  6.74856082e-07  4.29443336e-07  8.00000000e-02 
 9.00000000e-02  5.21197969e-01  5.21197969e-01  5.21197969e-01  5.21197969e-01  5.21197969e-01  5.21197969e-01  3.25309890e-09  6.74856057e-07  4.29410917e-07  9.00000000e-02 
 1.00000000e-01  5.21197968e-01  5.21197968e-01  5.21197968e-01  5.21197968e-01  5.21197968e-01  5.21197968e-01  3.25309890e-09  6.74856047e-07  4.29378421e-07  1.00000000e-01 
 1.10000000e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  3.25309901e-09  6.74856054e-07  4.29345878e-07  1.10000000e-01 
 1.20000000e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  5.21197970e-01  3.25309900e-09  6.74856057e-07  4.29313324e-07  1.20000000e-01 
 1.30000000e-01  5.21197968e-01  5.21197968e-01  5.21197968e-01  5.21197968e-01  5.21197968e-01  5.21197968e-01  3.25309889e-09  6.74856054e-07  4.29280654e-07  1.30000000e-01 
 1.40000000e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  3.25309890e-09  6.74856068e-07  4.29247958e-07  1.40000000e-01 
 1.50000000e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  3.25309890e-09  6.74856047e-07  4.29215085e-07  1.50000000e-01 
 1.60000000e-01  5.21197973e-01  5.21197973e-01  5.21197973e-01  5.21197973e-01  5.21197973e-01  5.21197973e-01  3.25309901e-09  6.74856075e-07  4.29182258e-07  1.60000000e-01 
 1.70000000e-01  5.21197965e-01  5.21197965e-01  5.21197965e-01  5.21197965e-01  5.21197965e-01  5.21197965e-01  3.25309889e-09  6.74856032e-07  4.29149253e-07  1.70000000e-01 
 1.80000000e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  3.25309890e-09  6.74856071e-07  4.29116305e-07  1.80000000e-01 
 1.90000000e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  5.21197967e-01  3.25309890e-09  6.74856050e-07  4.29083165e-07  1.90000000e-01 
 2.00000000e-01  5.21197969e-01  5.21197969e-01  5.21197969e-01  5.21197969e-01  5.21197969e-01  5.21197969e-01  3.25309890e-09  6.74856057e-07  4.29050026e-07  2.00000000e-01 
 2.10000000e-01  5.21197972e-01  5.21197972e-01  5.21197972e-01  5.21197972e-01  5.21197972e-01  5.21197972e-01  3.25309890e-09  6.74856079e-07  4.29016779e-07  2.10000000e-01 
 2.20000000e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  5.21197971e-01  3.25309890e-09  6.74856068e-07  4.28983441e-07  2.20000000e-01 
