 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 9.81952527e-12  3.24904037e-09  3.26246503e-09  3.28462509e-09  3.23487071e-09  3.23797921e-09  3.27997802e-09  3.28240881e-09  6.57617139e-07  1.38129508e-11  5.00000000e-01 
 6.82175547e-09  5.20267272e-01  3.26246505e-09  3.28462499e-09  3.23487073e-09  3.23797923e-09  3.27997803e-09  3.28240883e-09  6.57618020e-07  6.59780142e-09  5.00000000e-01 
 1.49563630e-08  3.24904039e-09  5.20267263e-01  3.28462499e-09  3.23487073e-09  3.23797911e-09  3.27997814e-09  3.28240883e-09  6.57617967e-07  1.45068810e-08  5.00000000e-01 
 2.18071578e-08  5.20267420e-01  5.20267420e-01  3.28462500e-09  3.23487073e-09  3.23797912e-09  3.27997815e-09  3.28240883e-09  6.57618806e-07  2.11815916e-08  5.00000000e-01 
 2.90382156e-08  3.24904039e-09  3.26246517e-09  5.20267267e-01  3.23487073e-09  3.23797922e-09  3.27997814e-09  3.28240883e-09  6.57617992e-07  2.82341261e-08  5.00000000e-01 
 3.59039109e-08  5.20267421e-01  3.26246517e-09  5.20267421e-01  3.23487073e-09  3.23797912e-09  3.27997815e-09  3.28240883e-09  6.57618823e-07  3.49347431e-08  5.00000000e-01 
 4.39438891e-08  3.24904051e-09  5.20267421e-01  5.20267420e-01  3.23487073e-09  3.23797923e-09  3.27997803e-09  3.28240883e-09  6.57618816e-07  4.27851887e-08  5.00000000e-01 
 5.06405646e-08  5.20267581e-01  5.20267581e-01  5.20267581e-01  3.23487073e-09  3.23797923e-09  3.27997804e-09  3.28240873e-09  6.57619687e-07  4.93261894e-08  5.00000000e-01 
 5.51468659e-08  3.24904039e-09  3.26246516e-09  3.28462499e-09  5.20267275e-01  3.23797911e-09  3.27997803e-09  3.28240883e-09  6.57618035e-07  5.37284990e-08  5.00000000e-01 
 6.19770985e-08  5.20267424e-01  3.26246517e-09  3.28462500e-09  5.20267424e-01  3.23797912e-09  3.27997803e-09  3.28240883e-09  6.57618838e-07  6.04023995e-08  5.00000000e-01 
 7.00188242e-08  3.24904039e-09  5.20267419e-01  3.28462500e-09  5.20267419e-01  3.23797923e-09  3.27997803e-09  3.28240872e-09  6.57618806e-07  6.82611301e-08  5.00000000e-01 
 7.67450676e-08  5.20267585e-01  5.20267585e-01  3.28462500e-09  5.20267585e-01  3.23797912e-09  3.27997815e-09  3.28240873e-09  6.57619704e-07  7.48350715e-08  5.00000000e-01 
 8.38277773e-08  3.24904050e-09  3.26246517e-09  5.20267417e-01  5.20267417e-01  3.23797923e-09  3.27997803e-09  3.28240883e-09  6.57618799e-07  8.17579604e-08  5.00000000e-01 
 9.05129619e-08  5.20267584e-01  3.26246506e-09  5.20267584e-01  5.20267584e-01  3.23797912e-09  3.27997815e-09  3.28240873e-09  6.57619708e-07  8.82927225e-08  5.00000000e-01 
 9.83819271e-08  3.24904051e-09  5.20267576e-01  5.20267576e-01  5.20267576e-01  3.23797912e-09  3.27997815e-09  3.28240884e-09  6.57619665e-07  9.59849160e-08  5.00000000e-01 
 1.04907206e-07  5.20267743e-01  5.20267743e-01  5.20267743e-01  5.20267743e-01  3.23797923e-09  3.27997816e-09  3.28240884e-09  6.57620557e-07  1.02363828e-07  5.00000000e-01 
