 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  5.23065930e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  3.29204144e-09  6.83200252e-07  4.03342792e-07  0.00000000e+00 
 1.00000000e-02  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  3.29204154e-09  6.83200234e-07  4.03342125e-07  1.00000000e-02 
 2.00000000e-02  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  3.29204142e-09  6.83200248e-07  4.03341554e-07  2.00000000e-02 
 3.00000000e-02  5.23065927e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  3.29204154e-09  6.83200234e-07  4.03340881e-07  3.00000000e-02 
 4.00000000e-02  5.23065925e-01  5.23065925e-01  5.23065925e-01  5.23065925e-01  5.23065925e-01  5.23065925e-01  3.29204154e-09  6.83200224e-07  4.03340273e-07  4.00000000e-02 
 5.00000000e-02  5.23065927e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  3.29204154e-09  6.83200241e-07  4.03339657e-07  5.00000000e-02 
 6.00000000e-02  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  3.29204154e-09  6.83200238e-07  4.03338937e-07  6.00000000e-02 
 7.00000000e-02  5.23065927e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  3.29204154e-09  6.83200234e-07  4.03338301e-07  7.00000000e-02 
 8.00000000e-02  5.23065925e-01  5.23065925e-01  5.23065925e-01  5.23065925e-01  5.23065925e-01  5.23065925e-01  3.29204142e-09  6.83200224e-07  4.03337655e-07  8.00000000e-02 
 9.00000000e-02  5.23065931e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  3.29204154e-09  6.83200263e-07  4.03337030e-07  9.00000000e-02 
 1.00000000e-01  5.23065920e-01  5.23065920e-01  5.23065920e-01  5.23065920e-01  5.23065920e-01  5.23065920e-01  3.29204142e-09  6.83200195e-07  4.03336355e-07  1.00000000e-01 
 1.10000000e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  3.29204142e-09  6.83200255e-07  4.03335772e-07  1.10000000e-01 
 1.20000000e-01  5.23065924e-01  5.23065924e-01  5.23065924e-01  5.23065924e-01  5.23065924e-01  5.23065924e-01  3.29204154e-09  6.83200224e-07  4.03335015e-07  1.20000000e-01 
 1.30000000e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  3.29204142e-09  6.83200255e-07  4.03334464e-07  1.30000000e-01 
 1.40000000e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  3.29204154e-09  6.83200255e-07  4.03333807e-07  1.40000000e-01 
 1.50000000e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  3.29204154e-09  6.83200231e-07  4.03333075e-07  1.50000000e-01 
 1.60000000e-01  5.23065927e-01  5.23065927e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065927e-01  3.29204154e-09  6.83200238e-07  4.03332471e-07  1.60000000e-01 
 1.70000000e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  3.29204142e-09  6.83200255e-07  4.03331867e-07  1.70000000e-01 
 1.80000000e-01  5.23065919e-01  5.23065919e-01  5.23065919e-01  5.23065919e-01  5.23065919e-01  5.23065919e-01  3.29204142e-09  6.83200199e-07  4.03331093e-07  1.80000000e-01 
 1.90000000e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  3.29204142e-09  6.83200241e-07  4.03330489e-07  1.90000000e-01 
 2.00000000e-01  5.23065925e-01  5.23065925e-01  5.23065925e-01  5.23065925e-01  5.23065925e-01  5.23065925e-01  3.29204154e-09  6.83200224e-07  4.03329850e-07  2.00000000e-01 
 2.10000000e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  3.29204154e-09  6.83200248e-07  4.03329217e-07  2.10000000e-01 
 2.20000000e-01  5.23065923e-01  5.23065923e-01  5.23065923e-01  5.23065923e-01  5.23065923e-01  5.23065923e-01  3.29204142e-09  6.83200213e-07  4.03328478e-07  2.20000000e-01 
 2.30000000e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  3.29204154e-09  6.83200248e-07  4.03327888e-07  2.30000000e-01 
 2.40000000e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  5.23065926e-01  3.29204154e-09  6.83200231e-07  4.03327178e-07  2.40000000e-01 
 2.50000000e-01  5.23065928e-01  5.23065929e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065929e-01  3.29204142e-09  6.83200252e-07  4.03326538e-07  2.50000000e-01 
 2.60000000e-01  5.23065934e-01  5.23065934e-01  5.23065934e-01  5.23065934e-01  5.23065934e-01  5.23065934e-01  3.29204142e-09  6.83200273e-07  4.03325927e-07  2.60000000e-01 
 2.70000000e-01  5.23065920e-01  5.23065920e-01  5.23065920e-01  5.23065920e-01  5.23065920e-01  5.23065920e-01  3.29204142e-09  6.83200199e-07  4.03325153e-07  2.70000000e-01 
 2.80000000e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  3.29204154e-09  6.83200238e-07  4.03324442e-07  2.80000000e-01 
 2.90000000e-01  5.23065920e-01  5.23065920e-01  5.23065919e-01  5.23065919e-01  5.23065920e-01  5.23065920e-01  3.29204142e-09  6.83200195e-07  4.03323753e-07  2.90000000e-01 
 3.00000000e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  3.29204154e-09  6.83200248e-07  4.03323241e-07  3.00000000e-01 
 3.10000000e-01  5.23065922e-01  5.23065922e-01  5.23065922e-01  5.23065922e-01  5.23065922e-01  5.23065922e-01  3.29204142e-09  6.83200213e-07  4.03322431e-07  3.10000000e-01 
 3.20000000e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  3.29204142e-09  6.83200241e-07  4.03321863e-07  3.20000000e-01 
 3.30000000e-01  5.23065924e-01  5.23065924e-01  5.23065924e-01  5.23065924e-01  5.23065924e-01  5.23065924e-01  3.29204142e-09  6.83200216e-07  4.03321067e-07  3.30000000e-01 
 3.40000000e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  5.23065930e-01  3.29204142e-09  6.83200255e-07  4.03320470e-07  3.40000000e-01 
 3.50000000e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  3.29204142e-09  6.83200255e-07  4.03319802e-07  3.50000000e-01 
 3.60000000e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  5.23065928e-01  3.29204142e-09  6.83200245e-07  4.03319049e-07  3.60000000e-01 
 3.70000000e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  5.23065927e-01  3.29204142e-09  6.83200234e-07  4.03318410e-07  3.70000000e-01 
 3.80000000e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  5.23065929e-01  3.29204142e-09  6.83200248e-07  4.03317713e-07  3.80000000e-01 
 3.90000000e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  5.23065931e-01  3.29204142e-09  6.83200270e-07  4.03317046e-07  3.90000000e-01 
