 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.00612851e-11  3.21785876e-09  3.25952918e-09  3.25770249e-09  3.25913338e-09  3.24026822e-09  3.25484392e-09  3.24950283e-09  1.63416289e-07  1.32553168e-09  1.00000000e+00 
 1.58451030e-09  4.61441000e-01  3.25952920e-09  3.25770250e-09  3.25913351e-09  3.24026823e-09  3.25484405e-09  3.24950285e-09  1.63417202e-07  2.29346142e-09  1.00000000e+00 
 2.98751957e-09  3.21785890e-09  4.61441004e-01  3.25770240e-09  3.25913352e-09  3.24026814e-09  3.25484406e-09  3.24950287e-09  1.63417202e-07  3.56293128e-09  1.00000000e+00 
 4.61000127e-09  4.61441676e-01  4.61441676e-01  3.25770241e-09  3.25913353e-09  3.24026815e-09  3.25484408e-09  3.24950277e-09  1.63418115e-07  5.15670706e-09  1.00000000e+00 
 6.37203357e-09  3.21785890e-09  3.25952921e-09  4.61440978e-01  3.25913352e-09  3.24026814e-09  3.25484406e-09  3.24950287e-09  1.63417166e-07  6.90748436e-09  1.00000000e+00 
 7.99889222e-09  4.61441650e-01  3.25952922e-09  4.61441650e-01  3.25913353e-09  3.24026827e-09  3.25484408e-09  3.24950288e-09  1.63418079e-07  8.52477910e-09  1.00000000e+00 
 9.41810185e-09  3.21785880e-09  4.61441656e-01  4.61441656e-01  3.25913353e-09  3.24026827e-09  3.25484408e-09  3.24950288e-09  1.63418093e-07  9.93422589e-09  1.00000000e+00 
 1.10600240e-08  4.61442323e-01  4.61442323e-01  4.61442323e-01  3.25913343e-09  3.24026817e-09  3.25484398e-09  3.24950278e-09  1.63418992e-07  1.15635714e-08  1.00000000e+00 
 1.30742137e-08  3.21785889e-09  3.25952920e-09  3.25770250e-09  4.61441006e-01  3.24026824e-09  3.25484405e-09  3.24950285e-09  1.63417205e-07  1.35611060e-08  1.00000000e+00 
 1.46923185e-08  4.61441687e-01  3.25952922e-09  3.25770253e-09  4.61441687e-01  3.24026827e-09  3.25484397e-09  3.24950288e-09  1.63418129e-07  1.51649715e-08  1.00000000e+00 
 1.61185767e-08  3.21785891e-09  4.61441708e-01  3.25770242e-09  4.61441708e-01  3.24026827e-09  3.25484408e-09  3.24950277e-09  1.63418161e-07  1.65780847e-08  1.00000000e+00 
 1.77714696e-08  4.61442362e-01  4.61442362e-01  3.25770243e-09  4.61442362e-01  3.24026828e-09  3.25484410e-09  3.24950278e-09  1.63419049e-07  1.82156441e-08  1.00000000e+00 
 1.95258849e-08  3.21785880e-09  3.25952922e-09  4.61441657e-01  4.61441657e-01  3.24026827e-09  3.25484408e-09  3.24950288e-09  1.63418093e-07  1.99534327e-08  1.00000000e+00 
 2.11599627e-08  4.61442332e-01  3.25952924e-09  4.61442332e-01  4.61442332e-01  3.24026828e-09  3.25484410e-09  3.24950278e-09  1.63419010e-07  2.15717364e-08  1.00000000e+00 
 2.25906547e-08  3.21785892e-09  4.61442371e-01  4.61442371e-01  4.61442371e-01  3.24026828e-09  3.25484410e-09  3.24950278e-09  1.63419060e-07  2.29884165e-08  1.00000000e+00 
 2.42438887e-08  4.61443042e-01  4.61443042e-01  4.61443042e-01  4.61443042e-01  3.24026829e-09  3.25484412e-09  3.24950291e-09  1.63419973e-07  2.46255780e-08  1.00000000e+00 
 2.50584549e-08  3.21785879e-09  3.25952921e-09  3.25770251e-09  3.25913352e-09  4.61441001e-01  3.25484406e-09  3.24950286e-09  1.63417194e-07  2.54319730e-08  1.00000000e+00 
 2.66672373e-08  4.61441668e-01  3.25952922e-09  3.25770241e-09  3.25913353e-09  4.61441668e-01  3.25484408e-09  3.24950288e-09  1.63418100e-07  2.70249103e-08  1.00000000e+00 
 2.80930408e-08  3.21785880e-09  4.61441677e-01  3.25770241e-09  3.25913353e-09  4.61441677e-01  3.25484408e-09  3.24950288e-09  1.63418122e-07  2.84365029e-08  1.00000000e+00 
 2.97428073e-08  4.61442352e-01  4.61442352e-01  3.25770243e-09  3.25913355e-09  4.61442352e-01  3.25484399e-09  3.24950290e-09  1.63419035e-07  3.00699696e-08  1.00000000e+00 
 3.15148441e-08  3.21785891e-09  3.25952922e-09  4.61441656e-01  3.25913353e-09  4.61441656e-01  3.25484397e-09  3.24950288e-09  1.63418090e-07  3.18243281e-08  1.00000000e+00 
 3.31622232e-08  4.61442334e-01  3.25952924e-09  4.61442334e-01  3.25913343e-09  4.61442334e-01  3.25484398e-09  3.24950289e-09  1.63419010e-07  3.34553363e-08  1.00000000e+00 
 3.45983153e-08  3.21785880e-09  4.61442341e-01  4.61442341e-01  3.25913353e-09  4.61442341e-01  3.25484397e-09  3.24950288e-09  1.63419017e-07  3.48772176e-08  1.00000000e+00 
