 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  4.63555218e-01  4.63555218e-01  4.63555218e-01  4.63555218e-01  4.63555218e-01  4.63555218e-01  4.63555218e-01  1.64691027e-07  2.12812293e-07  0.00000000e+00 
 1.00000000e-02  4.63555199e-01  4.63555199e-01  4.63555199e-01  4.63555199e-01  4.63555199e-01  4.63555199e-01  4.63555199e-01  1.64691006e-07  2.12811976e-07  1.00000000e-02 
 2.00000000e-02  4.63555221e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  1.64691034e-07  2.12812002e-07  2.00000000e-02 
 3.00000000e-02  4.63555222e-01  4.63555222e-01  4.63555222e-01  4.63555222e-01  4.63555222e-01  4.63555222e-01  4.63555222e-01  1.64691041e-07  2.12811724e-07  3.00000000e-02 
 4.00000000e-02  4.63555221e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  1.64691041e-07  2.12811562e-07  4.00000000e-02 
 5.00000000e-02  4.63555208e-01  4.63555208e-01  4.63555208e-01  4.63555208e-01  4.63555208e-01  4.63555208e-01  4.63555208e-01  1.64691016e-07  2.12811281e-07  5.00000000e-02 
 6.00000000e-02  4.63555242e-01  4.63555242e-01  4.63555242e-01  4.63555242e-01  4.63555242e-01  4.63555242e-01  4.63555242e-01  1.64691066e-07  2.12811270e-07  6.00000000e-02 
 7.00000000e-02  4.63555208e-01  4.63555208e-01  4.63555208e-01  4.63555208e-01  4.63555208e-01  4.63555208e-01  4.63555208e-01  1.64691016e-07  2.12810891e-07  7.00000000e-02 
 8.00000000e-02  4.63555229e-01  4.63555229e-01  4.63555229e-01  4.63555229e-01  4.63555229e-01  4.63555229e-01  4.63555229e-01  1.64691045e-07  2.12810855e-07  8.00000000e-02 
 9.00000000e-02  4.63555200e-01  4.63555200e-01  4.63555200e-01  4.63555201e-01  4.63555200e-01  4.63555200e-01  4.63555201e-01  1.64691016e-07  2.12810574e-07  9.00000000e-02 
 1.00000000e-01  4.63555237e-01  4.63555237e-01  4.63555237e-01  4.63555237e-01  4.63555237e-01  4.63555237e-01  4.63555237e-01  1.64691059e-07  2.12810528e-07  1.00000000e-01 
 1.10000000e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  1.64691041e-07  2.12810264e-07  1.10000000e-01 
 1.20000000e-01  4.63555205e-01  4.63555205e-01  4.63555204e-01  4.63555205e-01  4.63555205e-01  4.63555205e-01  4.63555205e-01  1.64691016e-07  2.12809965e-07  1.20000000e-01 
 1.30000000e-01  4.63555247e-01  4.63555247e-01  4.63555247e-01  4.63555247e-01  4.63555247e-01  4.63555247e-01  4.63555247e-01  1.64691077e-07  2.12810040e-07  1.30000000e-01 
 1.40000000e-01  4.63555238e-01  4.63555238e-01  4.63555238e-01  4.63555238e-01  4.63555238e-01  4.63555238e-01  4.63555238e-01  1.64691059e-07  2.12809736e-07  1.40000000e-01 
 1.50000000e-01  4.63555205e-01  4.63555205e-01  4.63555205e-01  4.63555206e-01  4.63555205e-01  4.63555205e-01  4.63555206e-01  1.64691023e-07  2.12809343e-07  1.50000000e-01 
 1.60000000e-01  4.63555241e-01  4.63555241e-01  4.63555241e-01  4.63555241e-01  4.63555241e-01  4.63555241e-01  4.63555241e-01  1.64691066e-07  2.12809365e-07  1.60000000e-01 
 1.70000000e-01  4.63555207e-01  4.63555207e-01  4.63555207e-01  4.63555207e-01  4.63555207e-01  4.63555207e-01  4.63555207e-01  1.64691020e-07  2.12809024e-07  1.70000000e-01 
 1.80000000e-01  4.63555244e-01  4.63555244e-01  4.63555244e-01  4.63555244e-01  4.63555244e-01  4.63555244e-01  4.63555244e-01  1.64691066e-07  2.12809077e-07  1.80000000e-01 
 1.90000000e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  1.64691027e-07  2.12808686e-07  1.90000000e-01 
 2.00000000e-01  4.63555227e-01  4.63555227e-01  4.63555227e-01  4.63555227e-01  4.63555227e-01  4.63555227e-01  4.63555227e-01  1.64691045e-07  2.12808491e-07  2.00000000e-01 
 2.10000000e-01  4.63555217e-01  4.63555217e-01  4.63555217e-01  4.63555217e-01  4.63555217e-01  4.63555217e-01  4.63555217e-01  1.64691038e-07  2.12808263e-07  2.10000000e-01 
 2.20000000e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  1.64691023e-07  2.12808139e-07  2.20000000e-01 
 2.30000000e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  1.64691023e-07  2.12807933e-07  2.30000000e-01 
 2.40000000e-01  4.63555211e-01  4.63555211e-01  4.63555211e-01  4.63555211e-01  4.63555211e-01  4.63555211e-01  4.63555211e-01  1.64691023e-07  2.12807691e-07  2.40000000e-01 
 2.50000000e-01  4.63555216e-01  4.63555216e-01  4.63555216e-01  4.63555216e-01  4.63555216e-01  4.63555216e-01  4.63555217e-01  1.64691027e-07  2.12807549e-07  2.50000000e-01 
 2.60000000e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  1.64691031e-07  2.12807294e-07  2.60000000e-01 
 2.70000000e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  4.63555212e-01  1.64691027e-07  2.12807134e-07  2.70000000e-01 
 2.80000000e-01  4.63555222e-01  4.63555222e-01  4.63555222e-01  4.63555222e-01  4.63555222e-01  4.63555222e-01  4.63555223e-01  1.64691041e-07  2.12806956e-07  2.80000000e-01 
 2.90000000e-01  4.63555214e-01  4.63555215e-01  4.63555214e-01  4.63555215e-01  4.63555215e-01  4.63555215e-01  4.63555215e-01  1.64691031e-07  2.12806661e-07  2.90000000e-01 
 3.00000000e-01  4.63555210e-01  4.63555210e-01  4.63555210e-01  4.63555210e-01  4.63555210e-01  4.63555210e-01  4.63555210e-01  1.64691020e-07  2.12806519e-07  3.00000000e-01 
 3.10000000e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  1.64691027e-07  2.12806178e-07  3.10000000e-01 
 3.20000000e-01  4.63555192e-01  4.63555192e-01  4.63555192e-01  4.63555192e-01  4.63555192e-01  4.63555192e-01  4.63555192e-01  1.64690999e-07  2.12805944e-07  3.20000000e-01 
 3.30000000e-01  4.63555240e-01  4.63555240e-01  4.63555240e-01  4.63555240e-01  4.63555240e-01  4.63555240e-01  4.63555240e-01  1.64691066e-07  2.12806036e-07  3.30000000e-01 
 3.40000000e-01  4.63555232e-01  4.63555232e-01  4.63555232e-01  4.63555232e-01  4.63555232e-01  4.63555232e-01  4.63555232e-01  1.64691052e-07  2.12805816e-07  3.40000000e-01 
 3.50000000e-01  4.63555200e-01  4.63555200e-01  4.63555200e-01  4.63555200e-01  4.63555200e-01  4.63555200e-01  4.63555200e-01  1.64691013e-07  2.12805396e-07  3.50000000e-01 
 3.60000000e-01  4.63555231e-01  4.63555232e-01  4.63555231e-01  4.63555232e-01  4.63555232e-01  4.63555232e-01  4.63555232e-01  1.64691052e-07  2.12805382e-07  3.60000000e-01 
 3.70000000e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  1.64691038e-07  2.12805098e-07  3.70000000e-01 
 3.80000000e-01  4.63555212e-01  4.63555213e-01  4.63555212e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  1.64691031e-07  2.12804842e-07  3.80000000e-01 
 3.90000000e-01  4.63555218e-01  4.63555218e-01  4.63555218e-01  4.63555218e-01  4.63555218e-01  4.63555218e-01  4.63555218e-01  1.64691038e-07  2.12804764e-07  3.90000000e-01 
 4.00000000e-01  4.63555220e-01  4.63555220e-01  4.63555220e-01  4.63555220e-01  4.63555220e-01  4.63555220e-01  4.63555220e-01  1.64691041e-07  2.12804515e-07  4.00000000e-01 
 4.10000000e-01  4.63555215e-01  4.63555215e-01  4.63555215e-01  4.63555215e-01  4.63555215e-01  4.63555215e-01  4.63555215e-01  1.64691027e-07  2.12804288e-07  4.10000000e-01 
 4.20000000e-01  4.63555198e-01  4.63555199e-01  4.63555198e-01  4.63555199e-01  4.63555199e-01  4.63555199e-01  4.63555199e-01  1.64691009e-07  2.12803997e-07  4.20000000e-01 
 4.30000000e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  1.64691041e-07  2.12803954e-07  4.30000000e-01 
 4.40000000e-01  4.63555201e-01  4.63555201e-01  4.63555201e-01  4.63555201e-01  4.63555201e-01  4.63555201e-01  4.63555201e-01  1.64691016e-07  2.12803549e-07  4.40000000e-01 
 4.50000000e-01  4.63555249e-01  4.63555249e-01  4.63555249e-01  4.63555249e-01  4.63555249e-01  4.63555249e-01  4.63555249e-01  1.64691080e-07  2.12803585e-07  4.50000000e-01 
 4.60000000e-01  4.63555228e-01  4.63555228e-01  4.63555228e-01  4.63555228e-01  4.63555228e-01  4.63555228e-01  4.63555228e-01  1.64691045e-07  2.12803329e-07  4.60000000e-01 
 4.70000000e-01  4.63555209e-01  4.63555209e-01  4.63555209e-01  4.63555209e-01  4.63555209e-01  4.63555209e-01  4.63555209e-01  1.64691023e-07  2.12802973e-07  4.70000000e-01 
 4.80000000e-01  4.63555198e-01  4.63555199e-01  4.63555198e-01  4.63555199e-01  4.63555199e-01  4.63555199e-01  4.63555199e-01  1.64691009e-07  2.12802682e-07  4.80000000e-01 
 4.90000000e-01  4.63555235e-01  4.63555235e-01  4.63555235e-01  4.63555235e-01  4.63555235e-01  4.63555235e-01  4.63555235e-01  1.64691063e-07  2.12802703e-07  4.90000000e-01 
 5.00000000e-01  4.63555216e-01  4.63555217e-01  4.63555216e-01  4.63555217e-01  4.63555217e-01  4.63555217e-01  4.63555217e-01  1.64691034e-07  2.12802405e-07  5.00000000e-01 
 5.10000000e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  4.63555221e-01  1.64691041e-07  2.12802249e-07  5.10000000e-01 
 5.20000000e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  1.64691031e-07  2.12801950e-07  5.20000000e-01 
 5.30000000e-01  4.63555210e-01  4.63555210e-01  4.63555210e-01  4.63555210e-01  4.63555210e-01  4.63555210e-01  4.63555210e-01  1.64691020e-07  2.12801780e-07  5.30000000e-01 
 5.40000000e-01  4.63555219e-01  4.63555219e-01  4.63555219e-01  4.63555219e-01  4.63555219e-01  4.63555219e-01  4.63555219e-01  1.64691034e-07  2.12801559e-07  5.40000000e-01 
 5.50000000e-01  4.63555206e-01  4.63555206e-01  4.63555206e-01  4.63555206e-01  4.63555206e-01  4.63555206e-01  4.63555206e-01  1.64691016e-07  2.12801361e-07  5.50000000e-01 
 5.60000000e-01  4.63555237e-01  4.63555237e-01  4.63555237e-01  4.63555237e-01  4.63555237e-01  4.63555237e-01  4.63555237e-01  1.64691059e-07  2.12801247e-07  5.60000000e-01 
 5.70000000e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  4.63555224e-01  1.64691041e-07  2.12800998e-07  5.70000000e-01 
 5.80000000e-01  4.63555203e-01  4.63555203e-01  4.63555203e-01  4.63555203e-01  4.63555203e-01  4.63555203e-01  4.63555203e-01  1.64691016e-07  2.12800529e-07  5.80000000e-01 
 5.90000000e-01  4.63555251e-01  4.63555251e-01  4.63555251e-01  4.63555251e-01  4.63555251e-01  4.63555251e-01  4.63555251e-01  1.64691077e-07  2.12800629e-07  5.90000000e-01 
 6.00000000e-01  4.63555226e-01  4.63555226e-01  4.63555226e-01  4.63555226e-01  4.63555226e-01  4.63555226e-01  4.63555226e-01  1.64691041e-07  2.12800288e-07  6.00000000e-01 
 6.10000000e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  4.63555213e-01  1.64691020e-07  2.12799890e-07  6.10000000e-01 
 6.20000000e-01  4.63555214e-01  4.63555215e-01  4.63555214e-01  4.63555215e-01  4.63555215e-01  4.63555215e-01  4.63555215e-01  1.64691031e-07  2.12799804e-07  6.20000000e-01 
 6.30000000e-01  4.63555205e-01  4.63555205e-01  4.63555205e-01  4.63555205e-01  4.63555205e-01  4.63555205e-01  4.63555205e-01  1.64691013e-07  2.12799506e-07  6.30000000e-01 
 6.40000000e-01  4.63555231e-01  4.63555231e-01  4.63555231e-01  4.63555231e-01  4.63555231e-01  4.63555231e-01  4.63555231e-01  1.64691055e-07  2.12799364e-07  6.40000000e-01 
 6.50000000e-01  4.63555225e-01  4.63555226e-01  4.63555225e-01  4.63555226e-01  4.63555226e-01  4.63555226e-01  4.63555226e-01  1.64691048e-07  2.12799137e-07  6.50000000e-01 
 6.60000000e-01  4.63555209e-01  4.63555209e-01  4.63555209e-01  4.63555209e-01  4.63555209e-01  4.63555209e-01  4.63555209e-01  1.64691023e-07  2.12798810e-07  6.60000000e-01 
 6.70000000e-01  4.63555233e-01  4.63555234e-01  4.63555233e-01  4.63555234e-01  4.63555233e-01  4.63555234e-01  4.63555234e-01  1.64691052e-07  2.12798753e-07  6.70000000e-01 
 6.80000000e-01  4.63555217e-01  4.63555217e-01  4.63555217e-01  4.63555217e-01  4.63555217e-01  4.63555217e-01  4.63555217e-01  1.64691034e-07  2.12798497e-07  6.80000000e-01 
 6.90000000e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  4.63555214e-01  1.64691027e-07  2.12798156e-07  6.90000000e-01 
