 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  4.53957048e-01  4.53957048e-01  4.53957048e-01  4.53957048e-01  4.53957048e-01  4.53957048e-01  3.52240154e-09  1.66102893e-07  1.07494089e-07  0.00000000e+00 
 1.00000000e-02  4.53956990e-01  4.53956990e-01  4.53956990e-01  4.53956990e-01  4.53956990e-01  4.53956990e-01  3.52240159e-09  1.66102780e-07  1.07493218e-07  1.00000000e-02 
 2.00000000e-02  4.53957007e-01  4.53957007e-01  4.53957008e-01  4.53957007e-01  4.53957007e-01  4.53957007e-01  3.52240158e-09  1.66102780e-07  1.07492305e-07  2.00000000e-02 
 3.00000000e-02  4.53956914e-01  4.53956914e-01  4.53956914e-01  4.53956914e-01  4.53956914e-01  4.53956914e-01  3.52240153e-09  1.66102694e-07  1.07491310e-07  3.00000000e-02 
 4.00000000e-02  4.53957119e-01  4.53957119e-01  4.53957119e-01  4.53957119e-01  4.53957119e-01  4.53957119e-01  3.52240154e-09  1.66102978e-07  1.07491285e-07  4.00000000e-02 
 5.00000000e-02  4.53957026e-01  4.53957026e-01  4.53957026e-01  4.53957026e-01  4.53957026e-01  4.53957026e-01  3.52240153e-09  1.66102865e-07  1.07489978e-07  5.00000000e-02 
 6.00000000e-02  4.53957038e-01  4.53957038e-01  4.53957038e-01  4.53957038e-01  4.53957038e-01  4.53957038e-01  3.52240159e-09  1.66102865e-07  1.07489569e-07  6.00000000e-02 
 7.00000000e-02  4.53957029e-01  4.53957029e-01  4.53957029e-01  4.53957029e-01  4.53957029e-01  4.53957029e-01  3.52240152e-09  1.66102836e-07  1.07488901e-07  7.00000000e-02 
 8.00000000e-02  4.53957042e-01  4.53957042e-01  4.53957042e-01  4.53957042e-01  4.53957042e-01  4.53957042e-01  3.52240154e-09  1.66102893e-07  1.07488212e-07  8.00000000e-02 
 9.00000000e-02  4.53956969e-01  4.53956969e-01  4.53956970e-01  4.53956969e-01  4.53956970e-01  4.53956969e-01  3.52240159e-09  1.66102780e-07  1.07487509e-07  9.00000000e-02 
