 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 9.66338121e-12  3.26606218e-09  3.33759486e-09  3.27983728e-09  3.28191238e-09  3.29119753e-09  3.28428791e-09  3.26280494e-09  7.84147467e-08  6.19792218e-10  1.00000000e+00 
 8.34063485e-10  4.32097078e-01  3.33759493e-09  3.27983734e-09  3.28191244e-09  3.29119749e-09  3.28428785e-09  3.26280500e-09  7.84157344e-08  1.11629106e-09  1.00000000e+00 
 1.53642077e-09  3.26606223e-09  4.32097204e-01  3.27983734e-09  3.28191244e-09  3.29119760e-09  3.28428797e-09  3.26280500e-09  7.84158267e-08  1.73643855e-09  1.00000000e+00 
 2.38230768e-09  4.32098677e-01  4.32098677e-01  3.27983738e-09  3.28191249e-09  3.29119755e-09  3.28428790e-09  3.26280504e-09  7.84168144e-08  2.54902943e-09  1.00000000e+00 
 2.98814484e-09  3.26606223e-09  3.33759505e-09  4.32097142e-01  3.28191244e-09  3.29119749e-09  3.28428786e-09  3.26280489e-09  7.84157770e-08  3.13893622e-09  1.00000000e+00 
 3.83653287e-09  4.32098597e-01  3.33759511e-09  4.32098597e-01  3.28191249e-09  3.29119755e-09  3.28428802e-09  3.26280504e-09  7.84167646e-08  3.96627797e-09  1.00000000e+00 
 4.54497240e-09  3.26606226e-09  4.32098687e-01  4.32098687e-01  3.28191249e-09  3.29119755e-09  3.28428790e-09  3.26280504e-09  7.84168250e-08  4.65729499e-09  1.00000000e+00 
 5.40228484e-09  4.32100201e-01  4.32100201e-01  4.32100201e-01  3.28191254e-09  3.29119761e-09  3.28428795e-09  3.26280509e-09  7.84178340e-08  5.49316326e-09  1.00000000e+00 
 6.44052989e-09  3.26606211e-09  3.33759505e-09  3.27983734e-09  4.32097078e-01  3.29119749e-09  3.28428797e-09  3.26280499e-09  7.84157344e-08  6.50479137e-09  1.00000000e+00 
 7.28391569e-09  4.32098583e-01  3.33759511e-09  3.27983737e-09  4.32098582e-01  3.29119755e-09  3.28428802e-09  3.26280504e-09  7.84167504e-08  7.32654826e-09  1.00000000e+00 
 7.99695954e-09  3.26606226e-09  4.32098695e-01  3.27983738e-09  4.32098695e-01  3.29119755e-09  3.28428790e-09  3.26280504e-09  7.84168250e-08  8.02114641e-09  1.00000000e+00 
