 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 9.97602001e-12  3.36971935e-09  3.31533989e-09  3.40970010e-09  3.27531990e-09  3.58342362e-09  3.59031291e-09  3.11541685e-09  1.62707593e-07  1.20476784e-09  1.00000000e+00 
 1.72181558e-09  4.62146223e-01  3.31533998e-09  3.40970017e-09  3.27531994e-09  3.58342370e-09  3.59031308e-09  3.11541689e-09  1.62708517e-07  2.10556550e-09  1.00000000e+00 
 3.56649821e-09  3.36971941e-09  4.62146230e-01  3.40970017e-09  3.27532000e-09  3.58342370e-09  3.59031308e-09  3.11541683e-09  1.62708524e-07  3.74929243e-09  1.00000000e+00 
 5.32713784e-09  4.62146947e-01  4.62146947e-01  3.40970022e-09  3.27532002e-09  3.58342375e-09  3.59031323e-09  3.11541685e-09  1.62709490e-07  5.50275558e-09  1.00000000e+00 
 6.62549837e-09  3.36971941e-09  3.31533992e-09  4.62146229e-01  3.27532000e-09  3.58342364e-09  3.59031309e-09  3.11541683e-09  1.62708520e-07  6.80689993e-09  1.00000000e+00 
 8.39665404e-09  4.62146941e-01  3.31533998e-09  4.62146941e-01  3.27532002e-09  3.58342375e-09  3.59031323e-09  3.11541685e-09  1.62709483e-07  8.58383942e-09  1.00000000e+00 
 1.02614024e-08  3.36971944e-09  4.62146947e-01  4.62146947e-01  3.27532002e-09  3.58342375e-09  3.59031323e-09  3.11541685e-09  1.62709497e-07  1.04508331e-08  1.00000000e+00 
 1.20417383e-08  4.62147635e-01  4.62147635e-01  4.62147635e-01  3.27532004e-09  3.58342380e-09  3.59031337e-09  3.11541687e-09  1.62710428e-07  1.22302595e-08  1.00000000e+00 
 1.29960824e-08  3.36971941e-09  3.31533993e-09  3.40970017e-09  4.62146241e-01  3.58342364e-09  3.59031308e-09  3.11541683e-09  1.62708542e-07  1.31831399e-08  1.00000000e+00 
 1.47535673e-08  4.62146959e-01  3.31533999e-09  3.40970017e-09  4.62146960e-01  3.58342370e-09  3.59031324e-09  3.11541685e-09  1.62709512e-07  1.49368304e-08  1.00000000e+00 
 1.66289169e-08  3.36971944e-09  4.62146942e-01  3.40970022e-09  4.62146942e-01  3.58342370e-09  3.59031323e-09  3.11541685e-09  1.62709490e-07  1.68068794e-08  1.00000000e+00 
 1.84170972e-08  4.62147644e-01  4.62147644e-01  3.40970024e-09  4.62147644e-01  3.58342377e-09  3.59031341e-09  3.11541690e-09  1.62710442e-07  1.85889206e-08  1.00000000e+00 
 1.97090060e-08  3.36971944e-09  3.31534004e-09  4.62146935e-01  4.62146935e-01  3.58342375e-09  3.59031323e-09  3.11541691e-09  1.62709480e-07  1.98759835e-08  1.00000000e+00 
 2.14884039e-08  4.62147645e-01  3.31534005e-09  4.62147645e-01  4.62147645e-01  3.58342375e-09  3.59031338e-09  3.11541687e-09  1.62710442e-07  2.16485034e-08  1.00000000e+00 
 2.33683579e-08  3.36971947e-09  4.62147630e-01  4.62147630e-01  4.62147630e-01  3.58342375e-09  3.59031337e-09  3.11541687e-09  1.62710421e-07  2.35207835e-08  1.00000000e+00 
 2.51560834e-08  4.62148333e-01  4.62148333e-01  4.62148333e-01  4.62148333e-01  3.58342385e-09  3.59031352e-09  3.11541689e-09  1.62711377e-07  2.53010484e-08  1.00000000e+00 
 2.82143731e-08  3.36971941e-09  3.31533999e-09  3.40970018e-09  3.27531995e-09  4.62146277e-01  3.59031309e-09  3.11541689e-09  1.62708588e-07  2.83459229e-08  1.00000000e+00 
 2.99477563e-08  4.62146964e-01  3.31533999e-09  3.40970017e-09  3.27531996e-09  4.62146964e-01  3.59031324e-09  3.11541685e-09  1.62709512e-07  3.00715186e-08  1.00000000e+00 
 3.18099183e-08  3.36971944e-09  4.62146960e-01  3.40970022e-09  3.27532002e-09  4.62146960e-01  3.59031324e-09  3.11541685e-09  1.62709508e-07  3.19254951e-08  1.00000000e+00 
 3.35920447e-08  4.62147661e-01  4.62147661e-01  3.40970026e-09  3.27531998e-09  4.62147661e-01  3.59031338e-09  3.11541687e-09  1.62710464e-07  3.36997488e-08  1.00000000e+00 
 3.48922811e-08  3.36971944e-09  3.31533999e-09  4.62146971e-01  3.27532002e-09  4.62146971e-01  3.59031324e-09  3.11541685e-09  1.62709529e-07  3.49941587e-08  1.00000000e+00 
 3.66808308e-08  4.62147643e-01  3.31534005e-09  4.62147643e-01  3.27531998e-09  4.62147643e-01  3.59031338e-09  3.11541687e-09  1.62710442e-07  3.67747788e-08  1.00000000e+00 
 3.85620353e-08  3.36971947e-09  4.62147657e-01  4.62147657e-01  3.27531998e-09  4.62147657e-01  3.59031338e-09  3.11541687e-09  1.62710460e-07  3.86476415e-08  1.00000000e+00 
 4.03470324e-08  4.62148336e-01  4.62148336e-01  4.62148336e-01  3.27532000e-09  4.62148336e-01  3.59031352e-09  3.11541689e-09  1.62711384e-07  4.04247373e-08  1.00000000e+00 
 4.12532870e-08  3.36971944e-09  3.31534004e-09  3.40970022e-09  4.62146982e-01  4.62146982e-01  3.59031324e-09  3.11541691e-09  1.62709537e-07  4.13271692e-08  1.00000000e+00 
 4.30066507e-08  4.62147668e-01  3.31534005e-09  3.40970026e-09  4.62147668e-01  4.62147668e-01  3.59031338e-09  3.11541687e-09  1.62710471e-07  4.30728022e-08  1.00000000e+00 
 4.48733033e-08  3.36971947e-09  4.62147656e-01  3.40970026e-09  4.62147656e-01  4.62147656e-01  3.59031338e-09  3.11541687e-09  1.62710453e-07  4.49313404e-08  1.00000000e+00 
 4.66651500e-08  4.62148356e-01  4.62148356e-01  3.40970031e-09  4.62148356e-01  4.62148356e-01  3.59031352e-09  3.11541695e-09  1.62711405e-07  4.67156127e-08  1.00000000e+00 
 4.79630273e-08  3.36971947e-09  3.31534005e-09  4.62147670e-01  4.62147670e-01  4.62147670e-01  3.59031338e-09  3.11541687e-09  1.62710485e-07  4.80080899e-08  1.00000000e+00 
 4.97468591e-08  4.62148359e-01  3.31534017e-09  4.62148359e-01  4.62148360e-01  4.62148359e-01  3.59031353e-09  3.11541689e-09  1.62711409e-07  4.97844468e-08  1.00000000e+00 
 5.16218392e-08  3.36971950e-09  4.62148357e-01  4.62148357e-01  4.62148357e-01  4.62148357e-01  3.59031358e-09  3.11541689e-09  1.62711405e-07  5.16515541e-08  1.00000000e+00 
 5.34061542e-08  4.62149067e-01  4.62149067e-01  4.62149067e-01  4.62149067e-01  4.62149067e-01  3.59031367e-09  3.11541691e-09  1.62712372e-07  5.34286215e-08  1.00000000e+00 
 5.26902681e-08  3.36971944e-09  3.31533996e-09  3.40970015e-09  3.27531998e-09  3.58342368e-09  4.62146305e-01  3.11541687e-09  1.62708631e-07  5.27156487e-08  1.00000000e+00 
 5.43958834e-08  4.62147013e-01  3.31533999e-09  3.40970023e-09  3.27532002e-09  3.58342376e-09  4.62147013e-01  3.11541685e-09  1.62709583e-07  5.44141727e-08  1.00000000e+00 
 5.62430671e-08  3.36971944e-09  4.62147006e-01  3.40970023e-09  3.27531996e-09  3.58342376e-09  4.62147006e-01  3.11541691e-09  1.62709572e-07  5.62538958e-08  1.00000000e+00 
 5.80126027e-08  4.62147715e-01  4.62147715e-01  3.40970024e-09  3.27532002e-09  3.58342384e-09  4.62147715e-01  3.11541691e-09  1.62710535e-07  5.80163970e-08  1.00000000e+00 
 5.93033462e-08  3.36971939e-09  3.31534005e-09  4.62146993e-01  3.27532002e-09  3.58342376e-09  4.62146993e-01  3.11541691e-09  1.62709554e-07  5.93018683e-08  1.00000000e+00 
 6.10769746e-08  4.62147696e-01  3.31534005e-09  4.62147696e-01  3.27532004e-09  3.58342375e-09  4.62147696e-01  3.11541687e-09  1.62710510e-07  6.10685049e-08  1.00000000e+00 
 6.29498516e-08  3.36971947e-09  4.62147694e-01  4.62147694e-01  3.27532004e-09  3.58342380e-09  4.62147694e-01  3.11541693e-09  1.62710506e-07  6.29340917e-08  1.00000000e+00 
 6.47363834e-08  4.62148408e-01  4.62148408e-01  4.62148408e-01  3.27532006e-09  3.58342386e-09  4.62148408e-01  3.11541689e-09  1.62711473e-07  6.47137313e-08  1.00000000e+00 
 6.56577015e-08  3.36971948e-09  3.31533997e-09  3.40970020e-09  4.62147016e-01  3.58342373e-09  4.62147016e-01  3.11541689e-09  1.62709579e-07  6.56315109e-08  1.00000000e+00 
 6.74204728e-08  4.62147719e-01  3.31534005e-09  3.40970021e-09  4.62147719e-01  3.58342380e-09  4.62147719e-01  3.11541693e-09  1.62710545e-07  6.73874325e-08  1.00000000e+00 
 6.92962487e-08  3.36971948e-09  4.62147726e-01  3.40970021e-09  4.62147726e-01  3.58342381e-09  4.62147726e-01  3.11541693e-09  1.62710549e-07  6.92562310e-08  1.00000000e+00 
 7.10901134e-08  4.62148412e-01  4.62148412e-01  3.40970026e-09  4.62148412e-01  3.58342380e-09  4.62148412e-01  3.11541689e-09  1.62711483e-07  7.10434733e-08  1.00000000e+00 
