 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  4.64869077e-01  4.64869077e-01  4.64869077e-01  4.64869077e-01  4.64869077e-01  4.64869077e-01  3.25414975e-09  1.69429324e-07  1.14068267e-07  0.00000000e+00 
 1.00000000e-02  4.64869078e-01  4.64869078e-01  4.64869078e-01  4.64869078e-01  4.64869078e-01  4.64869078e-01  3.25414972e-09  1.69429327e-07  1.14068198e-07  1.00000000e-02 
 2.00000000e-02  4.64869075e-01  4.64869076e-01  4.64869075e-01  4.64869075e-01  4.64869075e-01  4.64869075e-01  3.25414972e-09  1.69429320e-07  1.14068170e-07  2.00000000e-02 
 3.00000000e-02  4.64869079e-01  4.64869079e-01  4.64869079e-01  4.64869079e-01  4.64869078e-01  4.64869079e-01  3.25414972e-09  1.69429327e-07  1.14067974e-07  3.00000000e-02 
 4.00000000e-02  4.64869070e-01  4.64869070e-01  4.64869070e-01  4.64869070e-01  4.64869070e-01  4.64869070e-01  3.25414972e-09  1.69429313e-07  1.14067923e-07  4.00000000e-02 
 5.00000000e-02  4.64869073e-01  4.64869073e-01  4.64869073e-01  4.64869073e-01  4.64869072e-01  4.64869073e-01  3.25414972e-09  1.69429313e-07  1.14067901e-07  5.00000000e-02 
 6.00000000e-02  4.64869072e-01  4.64869072e-01  4.64869072e-01  4.64869072e-01  4.64869072e-01  4.64869072e-01  3.25414966e-09  1.69429313e-07  1.14067743e-07  6.00000000e-02 
 7.00000000e-02  4.64869069e-01  4.64869069e-01  4.64869069e-01  4.64869069e-01  4.64869069e-01  4.64869069e-01  3.25414972e-09  1.69429313e-07  1.14067756e-07  7.00000000e-02 
 8.00000000e-02  4.64869072e-01  4.64869072e-01  4.64869072e-01  4.64869072e-01  4.64869072e-01  4.64869072e-01  3.25414972e-09  1.69429313e-07  1.14067689e-07  8.00000000e-02 
 9.00000000e-02  4.64869074e-01  4.64869074e-01  4.64869074e-01  4.64869074e-01  4.64869074e-01  4.64869074e-01  3.25414972e-09  1.69429320e-07  1.14067626e-07  9.00000000e-02 
 1.00000000e-01  4.64869076e-01  4.64869076e-01  4.64869076e-01  4.64869075e-01  4.64869075e-01  4.64869075e-01  3.25414972e-09  1.69429320e-07  1.14067641e-07  1.00000000e-01 
 1.10000000e-01  4.64869065e-01  4.64869065e-01  4.64869065e-01  4.64869065e-01  4.64869065e-01  4.64869065e-01  3.25414972e-09  1.69429306e-07  1.14067527e-07  1.10000000e-01 
 1.20000000e-01  4.64869072e-01  4.64869072e-01  4.64869072e-01  4.64869072e-01  4.64869072e-01  4.64869072e-01  3.25414972e-09  1.69429317e-07  1.14067459e-07  1.20000000e-01 
 1.30000000e-01  4.64869080e-01  4.64869080e-01  4.64869080e-01  4.64869080e-01  4.64869079e-01  4.64869079e-01  3.25414972e-09  1.69429324e-07  1.14067419e-07  1.30000000e-01 
 1.40000000e-01  4.64869070e-01  4.64869070e-01  4.64869070e-01  4.64869070e-01  4.64869070e-01  4.64869070e-01  3.25414972e-09  1.69429306e-07  1.14067371e-07  1.40000000e-01 
 1.50000000e-01  4.64869090e-01  4.64869090e-01  4.64869090e-01  4.64869090e-01  4.64869090e-01  4.64869090e-01  3.25414972e-09  1.69429345e-07  1.14067284e-07  1.50000000e-01 
 1.60000000e-01  4.64869065e-01  4.64869065e-01  4.64869065e-01  4.64869065e-01  4.64869065e-01  4.64869065e-01  3.25414972e-09  1.69429306e-07  1.14067301e-07  1.60000000e-01 
 1.70000000e-01  4.64869086e-01  4.64869086e-01  4.64869086e-01  4.64869086e-01  4.64869085e-01  4.64869085e-01  3.25414972e-09  1.69429331e-07  1.14067294e-07  1.70000000e-01 
