 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 9.42480229e-12  3.26736746e-09  3.28380792e-09  3.24001752e-09  3.28302687e-09  3.27315979e-09  3.27887413e-09  3.24432635e-09  7.63453731e-07  1.96109795e-11  1.00000000e+00 
 7.71816071e-09  5.85493183e-01  3.28380794e-09  3.24001754e-09  3.28302678e-09  3.27315981e-09  3.27887414e-09  3.24432625e-09  7.63454417e-07  8.98078767e-09  1.00000000e+00 
 1.82150412e-08  3.26736759e-09  5.85493180e-01  3.24001754e-09  3.28302689e-09  3.27315981e-09  3.27887414e-09  3.24432625e-09  7.63454402e-07  2.08151576e-08  1.00000000e+00 
 2.62966739e-08  5.85493300e-01  5.85493299e-01  3.24001754e-09  3.28302678e-09  3.27315981e-09  3.27887414e-09  3.24432626e-09  7.63455077e-07  2.97904705e-08  1.00000000e+00 
 3.48361166e-08  3.26736748e-09  3.28380782e-09  5.85493172e-01  3.28302678e-09  3.27315981e-09  3.27887414e-09  3.24432625e-09  7.63454356e-07  3.91795787e-08  1.00000000e+00 
 4.29718886e-08  5.85493293e-01  3.28380783e-09  5.85493293e-01  3.28302678e-09  3.27315981e-09  3.27887414e-09  3.24432626e-09  7.63455041e-07  4.80481361e-08  1.00000000e+00 
 5.33450079e-08  3.26736748e-09  5.85493290e-01  5.85493290e-01  3.28302678e-09  3.27315981e-09  3.27887414e-09  3.24432626e-09  7.63455021e-07  5.92595306e-08  1.00000000e+00 
 6.12332568e-08  5.85493413e-01  5.85493412e-01  5.85493412e-01  3.28302679e-09  3.27315981e-09  3.27887414e-09  3.24432626e-09  7.63455714e-07  6.77198884e-08  1.00000000e+00 
 5.70117742e-08  3.26736748e-09  3.28380782e-09  3.24001754e-09  5.85493182e-01  3.27315981e-09  3.27887414e-09  3.24432625e-09  7.63454412e-07  6.31989181e-08  1.00000000e+00 
 6.52996791e-08  5.85493305e-01  3.28380783e-09  3.24001754e-09  5.85493305e-01  3.27315981e-09  3.27887414e-09  3.24432626e-09  7.63455107e-07  7.20607680e-08  1.00000000e+00 
