 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00 -2.15860734e-20 -2.15860734e-20 -2.15860734e-20 -2.15860734e-20 -2.15860734e-20 -2.15860734e-20 -2.15860734e-20  8.94138151e-34  4.60990591e-30 -2.22096458e-18 
 1.00000000e-02  2.52835467e-03  2.52835467e-03  2.52835467e-03  2.52835467e-03  2.52835467e-03  2.52835467e-03  2.52835467e-03  8.08466019e-15  1.75207071e-14  1.65817979e-03 
 2.00000000e-02  5.11862781e-03  5.11862781e-03  5.11862781e-03  5.11862781e-03  5.11862781e-03  5.11862781e-03  5.11862781e-03  1.60822984e-14  3.49997809e-14  3.25121522e-03 
 3.00000000e-02  7.76455803e-03  7.76455803e-03  7.76455803e-03  7.76455803e-03  7.76455803e-03  7.76455803e-03  7.76455803e-03  2.40313441e-14  5.24580379e-14  4.78574823e-03 
 4.00000000e-02  1.04862252e-02  1.04862252e-02  1.04862252e-02  1.04862252e-02  1.04862252e-02  1.04862252e-02  1.04862252e-02  3.19632850e-14  6.99162950e-14  6.27168733e-03 
 5.00000000e-02  1.32817634e-02  1.32817634e-02  1.32817634e-02  1.32817634e-02  1.32817634e-02  1.32817634e-02  1.32817634e-02  3.98393254e-14  8.73745520e-14  7.70796607e-03 
 6.00000000e-02  1.61520384e-02  1.61520384e-02  1.61520384e-02  1.61520384e-02  1.61520384e-02  1.61520384e-02  1.61520384e-02  4.77102893e-14  1.04832809e-13  9.10657167e-03 
 7.00000000e-02  1.91165700e-02  1.91165700e-02  1.91165700e-02  1.91165700e-02  1.91165700e-02  1.91165700e-02  1.91165700e-02  5.55874926e-14  1.22346577e-13  1.04606350e-02 
 8.00000000e-02  2.21788881e-02  2.21788881e-02  2.21788881e-02  2.21788881e-02  2.21788881e-02  2.21788881e-02  2.21788881e-02  6.34411419e-14  1.39832590e-13  1.17823299e-02 
 9.00000000e-02  2.52942206e-02  2.52942206e-02  2.52942206e-02  2.52942206e-02  2.52942206e-02  2.52942206e-02  2.52942206e-02  7.12736369e-14  1.57429625e-13  1.30712942e-02 
 1.00000000e-01  2.85264005e-02  2.85264005e-02  2.85264005e-02  2.85264005e-02  2.85264005e-02  2.85264005e-02  2.85264005e-02  7.91497751e-14  1.74971149e-13  1.43315007e-02 
 1.10000000e-01  3.18234663e-02  3.18234663e-02  3.18234663e-02  3.18234663e-02  3.18234663e-02  3.18234663e-02  3.18234663e-02  8.70115400e-14  1.92623695e-13  1.55620249e-02 
 1.20000000e-01  3.51887594e-02  3.51887594e-02  3.51887594e-02  3.51887594e-02  3.51887594e-02  3.51887594e-02  3.51887594e-02  9.48433665e-14  2.10276241e-13  1.67624694e-02 
 1.30000000e-01  3.85677042e-02  3.85677042e-02  3.85677042e-02  3.85677042e-02  3.85677042e-02  3.85677042e-02  3.85677042e-02  1.02777461e-13  2.27984298e-13  1.79380061e-02 
 1.40000000e-01  4.20479780e-02  4.20479780e-02  4.20479780e-02  4.20479780e-02  4.20479780e-02  4.20479780e-02  4.20479780e-02  1.10660010e-13  2.45636844e-13  1.90923203e-02 
 1.50000000e-01  4.54960160e-02  4.54960160e-02  4.54960160e-02  4.54960160e-02  4.54960160e-02  4.54960160e-02  4.54960160e-02  1.18556016e-13  2.63344901e-13  2.02155338e-02 
 1.60000000e-01  4.90031447e-02  4.90031447e-02  4.90031447e-02  4.90031447e-02  4.90031447e-02  4.90031447e-02  4.90031447e-02  1.26503789e-13  2.81163981e-13  2.13251648e-02 
 1.70000000e-01  5.24131541e-02  5.24131541e-02  5.24131541e-02  5.24131541e-02  5.24131541e-02  5.24131541e-02  5.24131541e-02  1.34476638e-13  2.99149594e-13  2.24171003e-02 
 1.80000000e-01  5.58879804e-02  5.58879804e-02  5.58879804e-02  5.58879804e-02  5.58879804e-02  5.58879804e-02  5.58879804e-02  1.42374685e-13  3.17079696e-13  2.34814163e-02 
 1.90000000e-01  5.92526741e-02  5.92526741e-02  5.92526741e-02  5.92526741e-02  5.92526741e-02  5.92526741e-02  5.92526741e-02  1.50441205e-13  3.34954287e-13  2.45318341e-02 
 2.00000000e-01  6.26363052e-02  6.26363052e-02  6.26363052e-02  6.26363052e-02  6.26363052e-02  6.26363052e-02  6.26363052e-02  1.58466329e-13  3.52939900e-13  2.55536255e-02 
 2.10000000e-01  6.59595645e-02  6.59595645e-02  6.59595645e-02  6.59595645e-02  6.59595645e-02  6.59595645e-02  6.59595645e-02  1.66525145e-13  3.70814490e-13  2.65685740e-02 
 2.20000000e-01  6.90706504e-02  6.90706504e-02  6.90706504e-02  6.90706504e-02  6.90706504e-02  6.90706504e-02  6.90706504e-02  1.74639095e-13  3.88911126e-13  2.75621749e-02 
