 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  5.22515778e-01  5.22515779e-01  5.22515779e-01  5.22515778e-01  5.22515779e-01  5.22515779e-01  5.22515778e-01  6.73872940e-07  8.61525132e-07  0.00000000e+00 
 1.00000000e-02  5.22515780e-01  5.22515780e-01  5.22515780e-01  5.22515780e-01  5.22515780e-01  5.22515780e-01  5.22515780e-01  6.73872947e-07  8.61522506e-07  1.00000000e-02 
 2.00000000e-02  5.22515777e-01  5.22515777e-01  5.22515777e-01  5.22515777e-01  5.22515777e-01  5.22515777e-01  5.22515777e-01  6.73872929e-07  8.61519902e-07  2.00000000e-02 
 3.00000000e-02  5.22515779e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  6.73872947e-07  8.61517344e-07  3.00000000e-02 
 4.00000000e-02  5.22515779e-01  5.22515780e-01  5.22515780e-01  5.22515779e-01  5.22515780e-01  5.22515779e-01  5.22515779e-01  6.73872947e-07  8.61514704e-07  4.00000000e-02 
 5.00000000e-02  5.22515779e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  6.73872950e-07  8.61512061e-07  5.00000000e-02 
 6.00000000e-02  5.22515781e-01  5.22515781e-01  5.22515781e-01  5.22515781e-01  5.22515781e-01  5.22515781e-01  5.22515781e-01  6.73872961e-07  8.61509405e-07  6.00000000e-02 
 7.00000000e-02  5.22515780e-01  5.22515780e-01  5.22515780e-01  5.22515780e-01  5.22515780e-01  5.22515780e-01  5.22515779e-01  6.73872947e-07  8.61506857e-07  7.00000000e-02 
 8.00000000e-02  5.22515780e-01  5.22515781e-01  5.22515781e-01  5.22515780e-01  5.22515781e-01  5.22515780e-01  5.22515780e-01  6.73872954e-07  8.61504152e-07  8.00000000e-02 
 9.00000000e-02  5.22515778e-01  5.22515778e-01  5.22515778e-01  5.22515778e-01  5.22515778e-01  5.22515778e-01  5.22515778e-01  6.73872940e-07  8.61501416e-07  9.00000000e-02 
 1.00000000e-01  5.22515781e-01  5.22515781e-01  5.22515781e-01  5.22515781e-01  5.22515781e-01  5.22515781e-01  5.22515781e-01  6.73872961e-07  8.61498869e-07  1.00000000e-01 
 1.10000000e-01  5.22515777e-01  5.22515777e-01  5.22515777e-01  5.22515777e-01  5.22515777e-01  5.22515777e-01  5.22515777e-01  6.73872933e-07  8.61496080e-07  1.10000000e-01 
 1.20000000e-01  5.22515778e-01  5.22515779e-01  5.22515779e-01  5.22515778e-01  5.22515779e-01  5.22515779e-01  5.22515778e-01  6.73872940e-07  8.61493387e-07  1.20000000e-01 
 1.30000000e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  5.22515779e-01  6.73872943e-07  8.61490685e-07  1.30000000e-01 
