 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  5.49995562e-01  5.49995562e-01  5.49995562e-01  5.49995562e-01  5.49995562e-01  5.49995562e-01  3.33405216e-09  1.46487889e-06  3.45660593e-07  0.00000000e+00 
 1.00000000e-02  5.49995568e-01  5.49995568e-01  5.49995568e-01  5.49995568e-01  5.49995568e-01  5.49995568e-01  3.33405216e-09  1.46487898e-06  3.45524240e-07  1.00000000e-02 
 2.00000000e-02  5.49995563e-01  5.49995563e-01  5.49995563e-01  5.49995563e-01  5.49995563e-01  5.49995563e-01  3.33405214e-09  1.46487892e-06  3.45388164e-07  2.00000000e-02 
 3.00000000e-02  5.49995566e-01  5.49995566e-01  5.49995566e-01  5.49995566e-01  5.49995566e-01  5.49995566e-01  3.33405216e-09  1.46487895e-06  3.45251586e-07  3.00000000e-02 
 4.00000000e-02  5.49995555e-01  5.49995555e-01  5.49995555e-01  5.49995555e-01  5.49995555e-01  5.49995555e-01  3.33405220e-09  1.46487881e-06  3.45114529e-07  4.00000000e-02 
 5.00000000e-02  5.49995550e-01  5.49995550e-01  5.49995550e-01  5.49995550e-01  5.49995550e-01  5.49995550e-01  3.33405215e-09  1.46487875e-06  3.44978439e-07  5.00000000e-02 
 6.00000000e-02  5.49995550e-01  5.49995550e-01  5.49995550e-01  5.49995550e-01  5.49995550e-01  5.49995550e-01  3.33405216e-09  1.46487875e-06  3.44841816e-07  6.00000000e-02 
 7.00000000e-02  5.49995562e-01  5.49995562e-01  5.49995562e-01  5.49995562e-01  5.49995562e-01  5.49995562e-01  3.33405220e-09  1.46487889e-06  3.44705704e-07  7.00000000e-02 
 8.00000000e-02  5.49995560e-01  5.49995560e-01  5.49995560e-01  5.49995560e-01  5.49995560e-01  5.49995560e-01  3.33405221e-09  1.46487889e-06  3.44567475e-07  8.00000000e-02 
 9.00000000e-02  5.49995556e-01  5.49995556e-01  5.49995556e-01  5.49995556e-01  5.49995556e-01  5.49995556e-01  3.33405215e-09  1.46487886e-06  3.44431669e-07  9.00000000e-02 
 1.00000000e-01  5.49995563e-01  5.49995563e-01  5.49995563e-01  5.49995563e-01  5.49995563e-01  5.49995563e-01  3.33405222e-09  1.46487892e-06  3.44295024e-07  1.00000000e-01 
 1.10000000e-01  5.49995544e-01  5.49995544e-01  5.49995544e-01  5.49995544e-01  5.49995544e-01  5.49995544e-01  3.33405220e-09  1.46487866e-06  3.44158018e-07  1.10000000e-01 
 1.20000000e-01  5.49995571e-01  5.49995571e-01  5.49995571e-01  5.49995571e-01  5.49995571e-01  5.49995571e-01  3.33405215e-09  1.46487898e-06  3.44020606e-07  1.20000000e-01 
 1.30000000e-01  5.49995569e-01  5.49995569e-01  5.49995569e-01  5.49995569e-01  5.49995569e-01  5.49995569e-01  3.33405216e-09  1.46487901e-06  3.43883315e-07  1.30000000e-01 
 1.40000000e-01  5.49995556e-01  5.49995556e-01  5.49995556e-01  5.49995556e-01  5.49995556e-01  5.49995556e-01  3.33405220e-09  1.46487886e-06  3.43748070e-07  1.40000000e-01 
 1.50000000e-01  5.49995538e-01  5.49995538e-01  5.49995538e-01  5.49995538e-01  5.49995538e-01  5.49995538e-01  3.33405221e-09  1.46487864e-06  3.43609642e-07  1.50000000e-01 
 1.60000000e-01  5.49995553e-01  5.49995553e-01  5.49995553e-01  5.49995553e-01  5.49995553e-01  5.49995553e-01  3.33405221e-09  1.46487875e-06  3.43473431e-07  1.60000000e-01 
 1.70000000e-01  5.49995561e-01  5.49995561e-01  5.49995561e-01  5.49995561e-01  5.49995561e-01  5.49995561e-01  3.33405215e-09  1.46487889e-06  3.43335756e-07  1.70000000e-01 
 1.80000000e-01  5.49995551e-01  5.49995551e-01  5.49995551e-01  5.49995551e-01  5.49995551e-01  5.49995551e-01  3.33405216e-09  1.46487878e-06  3.43199545e-07  1.80000000e-01 
 1.90000000e-01  5.49995561e-01  5.49995561e-01  5.49995561e-01  5.49995561e-01  5.49995561e-01  5.49995561e-01  3.33405214e-09  1.46487892e-06  3.43061828e-07  1.90000000e-01 
 2.00000000e-01  5.49995552e-01  5.49995552e-01  5.49995552e-01  5.49995552e-01  5.49995552e-01  5.49995552e-01  3.33405216e-09  1.46487884e-06  3.42925432e-07  2.00000000e-01 
 2.10000000e-01  5.49995551e-01  5.49995551e-01  5.49995551e-01  5.49995551e-01  5.49995551e-01  5.49995551e-01  3.33405214e-09  1.46487875e-06  3.42787871e-07  2.10000000e-01 
