 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.60000000e+00  2.76577549e-09  4.58276398e-01  2.76577549e-09  2.76577549e-09  2.76577549e-09  4.58276398e-01  4.58276398e-01  1.58917164e-07  6.06844281e-08  8.00000000e-01 
 1.60500000e+00  2.77084979e-09  4.58276446e-01  2.77084979e-09  2.77084979e-09  2.77084979e-09  4.58276446e-01  4.58276446e-01  1.58917299e-07  6.33833821e-08  8.00000000e-01 
 1.61000000e+00  2.77663610e-09  4.58276492e-01  2.77663610e-09  2.77663610e-09  2.77663610e-09  4.58276492e-01  4.58276492e-01  1.58917433e-07  6.63163320e-08  8.00000000e-01 
 1.61500000e+00  2.78260904e-09  4.58276533e-01  2.78260904e-09  2.78260904e-09  2.78260904e-09  4.58276533e-01  4.58276533e-01  1.58917558e-07  6.93149644e-08  8.00000000e-01 
 1.62000000e+00  2.78895166e-09  4.58276568e-01  2.78895166e-09  2.78895166e-09  2.78895166e-09  4.58276568e-01  4.58276568e-01  1.58917660e-07  7.24431715e-08  8.00000000e-01 
 1.62500000e+00  2.79567013e-09  4.58276634e-01  2.79567019e-09  2.79567013e-09  2.79567013e-09  4.58276634e-01  4.58276634e-01  1.58917804e-07  7.57064100e-08  8.00000000e-01 
 1.63000000e+00  2.80277079e-09  4.58276688e-01  2.80277077e-09  2.80277079e-09  2.80277079e-09  4.58276688e-01  4.58276688e-01  1.58917944e-07  7.91108050e-08  8.00000000e-01 
 1.63500000e+00  2.81026007e-09  4.58276744e-01  2.81026007e-09  2.81026007e-09  2.81026007e-09  4.58276744e-01  4.58276744e-01  1.58918095e-07  8.26622113e-08  8.00000000e-01 
 1.64000000e+00  2.81814464e-09  4.58276770e-01  2.81814464e-09  2.81814464e-09  2.81814464e-09  4.58276770e-01  4.58276770e-01  1.58918163e-07  8.63687077e-08  8.00000000e-01 
 1.64500000e+00  2.82643135e-09  4.58276827e-01  2.82643141e-09  2.82643135e-09  2.82643135e-09  4.58276827e-01  4.58276827e-01  1.58918327e-07  9.02357584e-08  8.00000000e-01 
 1.65000000e+00  2.83512728e-09  4.58276875e-01  2.83512722e-09  2.83512728e-09  2.83512728e-09  4.58276875e-01  4.58276875e-01  1.58918464e-07  9.42714848e-08  8.00000000e-01 
 1.65500000e+00  2.84423949e-09  4.58276972e-01  2.84423949e-09  2.84423949e-09  2.84423949e-09  4.58276972e-01  4.58276972e-01  1.58918657e-07  9.84821824e-08  8.00000000e-01 
 1.66000000e+00  2.85377546e-09  4.58276948e-01  2.85377546e-09  2.85377546e-09  2.85377546e-09  4.58276948e-01  4.58276948e-01  1.58918679e-07  1.02877280e-07  8.00000000e-01 
 1.66500000e+00  2.86374274e-09  4.58277070e-01  2.86374274e-09  2.86374274e-09  2.86374274e-09  4.58277070e-01  4.58277070e-01  1.58918889e-07  1.07465056e-07  8.00000000e-01 
