 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  3.30699464e-09  3.27795008e-09  4.59319673e-01  4.59319673e-01  3.27298072e-09  3.29982207e-09  3.28934440e-09  1.60602126e-07  1.92256339e-08  0.00000000e+00 
 1.00000000e-02  3.30699474e-09  3.27795007e-09  4.59319691e-01  4.59319691e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602159e-07  1.92251652e-08  1.00000000e-02 
 2.00000000e-02  3.30699474e-09  3.27795007e-09  4.59319684e-01  4.59319684e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602141e-07  1.92248628e-08  2.00000000e-02 
 3.00000000e-02  3.30699474e-09  3.27795007e-09  4.59319688e-01  4.59319688e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602157e-07  1.92245031e-08  3.00000000e-02 
 4.00000000e-02  3.30699474e-09  3.27795007e-09  4.59319690e-01  4.59319690e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602136e-07  1.92241760e-08  4.00000000e-02 
 5.00000000e-02  3.30699474e-09  3.27795007e-09  4.59319694e-01  4.59319694e-01  3.27298081e-09  3.29982206e-09  3.28934438e-09  1.60602155e-07  1.92238541e-08  5.00000000e-02 
 6.00000000e-02  3.30699463e-09  3.27795007e-09  4.59319689e-01  4.59319689e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602143e-07  1.92235219e-08  6.00000000e-02 
 7.00000000e-02  3.30699474e-09  3.27795007e-09  4.59319687e-01  4.59319687e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602147e-07  1.92232554e-08  7.00000000e-02 
 8.00000000e-02  3.30699474e-09  3.27795007e-09  4.59319692e-01  4.59319692e-01  3.27298081e-09  3.29982206e-09  3.28934438e-09  1.60602156e-07  1.92229495e-08  8.00000000e-02 
 9.00000000e-02  3.30699463e-09  3.27795007e-09  4.59319679e-01  4.59319679e-01  3.27298082e-09  3.29982206e-09  3.28934438e-09  1.60602126e-07  1.92227105e-08  9.00000000e-02 
 1.00000000e-01  3.30699474e-09  3.27795007e-09  4.59319676e-01  4.59319676e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602120e-07  1.92224681e-08  1.00000000e-01 
 1.10000000e-01  3.30699463e-09  3.27795007e-09  4.59319665e-01  4.59319665e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602105e-07  1.92222167e-08  1.10000000e-01 
 1.20000000e-01  3.30699474e-09  3.27795007e-09  4.59319689e-01  4.59319689e-01  3.27298081e-09  3.29982206e-09  3.28934438e-09  1.60602149e-07  1.92219112e-08  1.20000000e-01 
 1.30000000e-01  3.30699474e-09  3.27795007e-09  4.59319693e-01  4.59319693e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602161e-07  1.92216856e-08  1.30000000e-01 
 1.40000000e-01  3.30699474e-09  3.27795007e-09  4.59319687e-01  4.59319687e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602156e-07  1.92215346e-08  1.40000000e-01 
 1.50000000e-01  3.30699474e-09  3.27795007e-09  4.59319666e-01  4.59319666e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602107e-07  1.92213445e-08  1.50000000e-01 
 1.60000000e-01  3.30699463e-09  3.27795007e-09  4.59319689e-01  4.59319689e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602154e-07  1.92211491e-08  1.60000000e-01 
 1.70000000e-01  3.30699474e-09  3.27795007e-09  4.59319699e-01  4.59319699e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602168e-07  1.92210265e-08  1.70000000e-01 
 1.80000000e-01  3.30699474e-09  3.27795007e-09  4.59319670e-01  4.59319670e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602134e-07  1.92207885e-08  1.80000000e-01 
 1.90000000e-01  3.30699474e-09  3.27795007e-09  4.59319687e-01  4.59319687e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602140e-07  1.92206091e-08  1.90000000e-01 
 2.00000000e-01  3.30699474e-09  3.27795007e-09  4.59319675e-01  4.59319675e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602121e-07  1.92205771e-08  2.00000000e-01 
 2.10000000e-01  3.30699463e-09  3.27795007e-09  4.59319680e-01  4.59319680e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602138e-07  1.92203462e-08  2.10000000e-01 
 2.20000000e-01  3.30699474e-09  3.27795007e-09  4.59319669e-01  4.59319669e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602103e-07  1.92202361e-08  2.20000000e-01 
 2.30000000e-01  3.30699474e-09  3.27795007e-09  4.59319697e-01  4.59319697e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602162e-07  1.92200353e-08  2.30000000e-01 
 2.40000000e-01  3.30699474e-09  3.27795007e-09  4.59319715e-01  4.59319715e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602188e-07  1.92199678e-08  2.40000000e-01 
 2.50000000e-01  3.30699474e-09  3.27795007e-09  4.59319672e-01  4.59319672e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602145e-07  1.92198772e-08  2.50000000e-01 
 2.60000000e-01  3.30699474e-09  3.27795007e-09  4.59319683e-01  4.59319683e-01  3.27298082e-09  3.29982206e-09  3.28934438e-09  1.60602153e-07  1.92197849e-08  2.60000000e-01 
 2.70000000e-01  3.30699474e-09  3.27795007e-09  4.59319700e-01  4.59319700e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602151e-07  1.92196623e-08  2.70000000e-01 
 2.80000000e-01  3.30699474e-09  3.27795007e-09  4.59319699e-01  4.59319699e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602164e-07  1.92195007e-08  2.80000000e-01 
 2.90000000e-01  3.30699474e-09  3.27795007e-09  4.59319681e-01  4.59319681e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602123e-07  1.92193639e-08  2.90000000e-01 
 3.00000000e-01  3.30699474e-09  3.27795007e-09  4.59319707e-01  4.59319707e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602184e-07  1.92193568e-08  3.00000000e-01 
 3.10000000e-01  3.30699474e-09  3.27795007e-09  4.59319681e-01  4.59319681e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602131e-07  1.92192608e-08  3.10000000e-01 
 3.20000000e-01  3.30699474e-09  3.27795007e-09  4.59319704e-01  4.59319704e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602164e-07  1.92192395e-08  3.20000000e-01 
 3.30000000e-01  3.30699463e-09  3.27795007e-09  4.59319664e-01  4.59319664e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602122e-07  1.92191045e-08  3.30000000e-01 
 3.40000000e-01  3.30699474e-09  3.27795007e-09  4.59319693e-01  4.59319693e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602148e-07  1.92190797e-08  3.40000000e-01 
 3.50000000e-01  3.30699474e-09  3.27795007e-09  4.59319683e-01  4.59319683e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602135e-07  1.92189091e-08  3.50000000e-01 
 3.60000000e-01  3.30699474e-09  3.27795007e-09  4.59319686e-01  4.59319686e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602156e-07  1.92186782e-08  3.60000000e-01 
 3.70000000e-01  3.30699474e-09  3.27795007e-09  4.59319677e-01  4.59319677e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602124e-07  1.92187777e-08  3.70000000e-01 
 3.80000000e-01  3.30699463e-09  3.27795007e-09  4.59319700e-01  4.59319700e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602167e-07  1.92187208e-08  3.80000000e-01 
 3.90000000e-01  3.30699474e-09  3.27795007e-09  4.59319693e-01  4.59319693e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602159e-07  1.92185787e-08  3.90000000e-01 
 4.00000000e-01  3.30699463e-09  3.27795007e-09  4.59319688e-01  4.59319688e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602138e-07  1.92183585e-08  4.00000000e-01 
 4.10000000e-01  3.30699474e-09  3.27795007e-09  4.59319685e-01  4.59319685e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602143e-07  1.92184970e-08  4.10000000e-01 
 4.20000000e-01  3.30699474e-09  3.27795007e-09  4.59319683e-01  4.59319683e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602148e-07  1.92183194e-08  4.20000000e-01 
 4.30000000e-01  3.30699474e-09  3.27795007e-09  4.59319680e-01  4.59319680e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602133e-07  1.92182981e-08  4.30000000e-01 
 4.40000000e-01  3.30699463e-09  3.27795007e-09  4.59319685e-01  4.59319685e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602144e-07  1.92182270e-08  4.40000000e-01 
 4.50000000e-01  3.30699463e-09  3.27795007e-09  4.59319682e-01  4.59319682e-01  3.27298081e-09  3.29982206e-09  3.28934438e-09  1.60602128e-07  1.92180067e-08  4.50000000e-01 
 4.60000000e-01  3.30699474e-09  3.27795007e-09  4.59319691e-01  4.59319691e-01  3.27298082e-09  3.29982206e-09  3.28934438e-09  1.60602150e-07  1.92180991e-08  4.60000000e-01 
 4.70000000e-01  3.30699463e-09  3.27795007e-09  4.59319690e-01  4.59319690e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602146e-07  1.92179463e-08  4.70000000e-01 
 4.80000000e-01  3.30699474e-09  3.27795007e-09  4.59319699e-01  4.59319699e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602163e-07  1.92180316e-08  4.80000000e-01 
 4.90000000e-01  3.30699463e-09  3.27795007e-09  4.59319690e-01  4.59319690e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602151e-07  1.92177438e-08  4.90000000e-01 
 5.00000000e-01  3.30699474e-09  3.27795007e-09  4.59319690e-01  4.59319690e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602156e-07  1.92178433e-08  5.00000000e-01 
 5.10000000e-01  3.30699474e-09  3.27795007e-09  4.59319682e-01  4.59319682e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602136e-07  1.92178149e-08  5.10000000e-01 
 5.20000000e-01  3.30699474e-09  3.27795007e-09  4.59319692e-01  4.59319692e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602152e-07  1.92177794e-08  5.20000000e-01 
 5.30000000e-01  3.30699474e-09  3.27795007e-09  4.59319685e-01  4.59319685e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602134e-07  1.92176870e-08  5.30000000e-01 
 5.40000000e-01  3.30699474e-09  3.27795007e-09  4.59319690e-01  4.59319690e-01  3.27298071e-09  3.29982206e-09  3.28934438e-09  1.60602158e-07  1.92175804e-08  5.40000000e-01 
 5.50000000e-01  3.30699474e-09  3.27795007e-09  4.59319682e-01  4.59319682e-01  3.27298081e-09  3.29982206e-09  3.28934438e-09  1.60602140e-07  1.92174738e-08  5.50000000e-01 
 5.60000000e-01  3.30699474e-09  3.27795007e-09  4.59319685e-01  4.59319685e-01  3.27298082e-09  3.29982206e-09  3.28934438e-09  1.60602148e-07  1.92174525e-08  5.60000000e-01 
 5.70000000e-01  3.30699463e-09  3.27795007e-09  4.59319692e-01  4.59319692e-01  3.27298070e-09  3.29982206e-09  3.28934438e-09  1.60602137e-07  1.92174170e-08  5.70000000e-01 
