 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 9.59815338e-10  3.75374791e-09  3.20501017e-09  3.26677714e-09  3.40983288e-09  3.31434906e-09  3.15553306e-09  3.30527084e-09  1.56087521e-07  9.59815338e-10  1.00000000e+00 
 1.54810209e-09  4.56293434e-01  3.20501019e-09  3.26677716e-09  3.40983291e-09  3.31434909e-09  3.15553310e-09  3.30527080e-09  1.56088509e-07  1.54810209e-09  1.00000000e+00 
 2.69687916e-09  3.75374796e-09  4.56293407e-01  3.26677716e-09  3.40983291e-09  3.31434909e-09  3.15553310e-09  3.30527080e-09  1.56088469e-07  2.69687916e-09  1.00000000e+00 
 4.17821155e-09  4.56294164e-01  4.56294164e-01  3.26677718e-09  3.40983294e-09  3.31434917e-09  3.15553314e-09  3.30527081e-09  1.56089487e-07  4.17821155e-09  1.00000000e+00 
 5.66588199e-09  3.75374796e-09  3.20501020e-09  4.56293406e-01  3.40983291e-09  3.31434909e-09  3.15553310e-09  3.30527085e-09  1.56088486e-07  5.66588199e-09  1.00000000e+00 
 7.19484916e-09  4.56294158e-01  3.20501023e-09  4.56294158e-01  3.40983294e-09  3.31434917e-09  3.15553314e-09  3.30527081e-09  1.56089474e-07  7.19484916e-09  1.00000000e+00 
 8.72050521e-09  3.75374801e-09  4.56294166e-01  4.56294166e-01  3.40983300e-09  3.31434911e-09  3.15553314e-09  3.30527087e-09  1.56089501e-07  8.72050521e-09  1.00000000e+00 
 1.02498277e-08  4.56294923e-01  4.56294923e-01  4.56294923e-01  3.40983298e-09  3.31434915e-09  3.15553318e-09  3.30527083e-09  1.56090512e-07  1.02498277e-08  1.00000000e+00 
 1.16416956e-08  3.75374796e-09  3.20501020e-09  3.26677716e-09  4.56293443e-01  3.31434909e-09  3.15553310e-09  3.30527080e-09  1.56088523e-07  1.16416956e-08  1.00000000e+00 
 1.31454314e-08  4.56294183e-01  3.20501022e-09  3.26677718e-09  4.56294183e-01  3.31434911e-09  3.15553314e-09  3.30527087e-09  1.56089526e-07  1.31454314e-08  1.00000000e+00 
 1.46636339e-08  3.75374801e-09  4.56294154e-01  3.26677718e-09  4.56294154e-01  3.31434911e-09  3.15553314e-09  3.30527087e-09  1.56089473e-07  1.46636339e-08  1.00000000e+00 
 1.61914571e-08  4.56294902e-01  4.56294902e-01  3.26677721e-09  4.56294902e-01  3.31434915e-09  3.15553318e-09  3.30527083e-09  1.56090456e-07  1.61914571e-08  1.00000000e+00 
 1.76448367e-08  3.75374801e-09  3.20501022e-09  4.56294157e-01  4.56294157e-01  3.31434911e-09  3.15553314e-09  3.30527087e-09  1.56089488e-07  1.76448367e-08  1.00000000e+00 
 1.91538092e-08  4.56294894e-01  3.20501025e-09  4.56294894e-01  4.56294894e-01  3.31434914e-09  3.15553318e-09  3.30527089e-09  1.56090463e-07  1.91538092e-08  1.00000000e+00 
 2.06715143e-08  3.75374806e-09  4.56294879e-01  4.56294879e-01  4.56294879e-01  3.31434914e-09  3.15553318e-09  3.30527089e-09  1.56090433e-07  2.06715143e-08  1.00000000e+00 
 2.21945839e-08  4.56295639e-01  4.56295639e-01  4.56295639e-01  4.56295639e-01  3.31434917e-09  3.15553322e-09  3.30527085e-09  1.56091462e-07  2.21945839e-08  1.00000000e+00 
 2.42742573e-08  3.75374795e-09  3.20501020e-09  3.26677716e-09  3.40983296e-09  4.56293386e-01  3.15553310e-09  3.30527080e-09  1.56088455e-07  2.42742573e-08  1.00000000e+00 
 2.57518806e-08  4.56294165e-01  3.20501022e-09  3.26677718e-09  3.40983300e-09  4.56294165e-01  3.15553314e-09  3.30527087e-09  1.56089500e-07  2.57518806e-08  1.00000000e+00 
 2.72561422e-08  3.75374801e-09  4.56294133e-01  3.26677718e-09  3.40983300e-09  4.56294133e-01  3.15553314e-09  3.30527087e-09  1.56089456e-07  2.72561422e-08  1.00000000e+00 
 2.87724049e-08  4.56294869e-01  4.56294869e-01  3.26677722e-09  3.40983298e-09  4.56294869e-01  3.15553318e-09  3.30527083e-09  1.56090441e-07  2.87724049e-08  1.00000000e+00 
 3.02315328e-08  3.75374801e-09  3.20501022e-09  4.56294125e-01  3.40983300e-09  4.56294125e-01  3.15553314e-09  3.30527087e-09  1.56089460e-07  3.02315328e-08  1.00000000e+00 
 3.17453015e-08  4.56294877e-01  3.20501025e-09  4.56294877e-01  3.40983303e-09  4.56294877e-01  3.15553318e-09  3.30527089e-09  1.56090450e-07  3.17453015e-08  1.00000000e+00 
