 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.57125334e-07  3.22411964e-09  3.35532162e-09  3.18245269e-09  3.63888479e-09  3.32237897e-09  3.15087946e-09  3.53818673e-09  1.57125334e-07  4.68457984e-09  1.00000000e+00 
 1.57126249e-07  4.58718871e-01  3.35532159e-09  3.18245274e-09  3.63888493e-09  3.32237906e-09  3.15087952e-09  3.53818675e-09  1.57126249e-07  7.44114459e-09  1.00000000e+00 
 1.57126244e-07  3.22411968e-09  4.58718860e-01  3.18245274e-09  3.63888493e-09  3.32237906e-09  3.15087946e-09  3.53818675e-09  1.57126244e-07  1.25619977e-08  1.00000000e+00 
 1.57127184e-07  4.58719561e-01  4.58719561e-01  3.18245279e-09  3.63888501e-09  3.32237909e-09  3.15087956e-09  3.53818681e-09  1.57127184e-07  1.97106829e-08  1.00000000e+00 
 1.57126287e-07  3.22411968e-09  3.35532159e-09  4.58718892e-01  3.63888493e-09  3.32237900e-09  3.15087952e-09  3.53818675e-09  1.57126287e-07  2.58721684e-08  1.00000000e+00 
 1.57127279e-07  4.58719628e-01  3.35532161e-09  4.58719628e-01  3.63888502e-09  3.32237909e-09  3.15087957e-09  3.53818676e-09  1.57127279e-07  3.33376136e-08  1.00000000e+00 
 1.57127196e-07  3.22411972e-09  4.58719576e-01  4.58719576e-01  3.63888502e-09  3.32237904e-09  3.15087957e-09  3.53818676e-09  1.57127196e-07  4.04020284e-08  1.00000000e+00 
 1.57128154e-07  4.58720296e-01  4.58720296e-01  4.58720296e-01  3.63888509e-09  3.32237906e-09  3.15087961e-09  3.53818677e-09  1.57128154e-07  4.78628692e-08  1.00000000e+00 
 1.57126319e-07  3.22411968e-09  3.35532165e-09  3.18245275e-09  4.58718912e-01  3.32237907e-09  3.15087947e-09  3.53818675e-09  1.57126319e-07  5.28603152e-08  1.00000000e+00 
 1.57127245e-07  4.58719610e-01  3.35532161e-09  3.18245286e-09  4.58719610e-01  3.32237904e-09  3.15087957e-09  3.53818682e-09  1.57127245e-07  6.01913825e-08  1.00000000e+00 
