 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 9.98468863e-10  3.32529110e-09  3.40856132e-09  3.64325016e-09  3.27871582e-09  3.40116132e-09  3.45750576e-09  3.40363652e-09  1.59368519e-07  9.98468863e-10  1.00000000e+00 
 1.59290181e-09  4.58160292e-01  3.40856137e-09  3.64325024e-09  3.27871591e-09  3.40116135e-09  3.45750584e-09  3.40363654e-09  1.59369601e-07  1.59290181e-09  1.00000000e+00 
 2.69133693e-09  3.32529118e-09  4.58160261e-01  3.64325019e-09  3.27871591e-09  3.40116135e-09  3.45750584e-09  3.40363654e-09  1.59369537e-07  2.69133693e-09  1.00000000e+00 
 4.31795399e-09  4.58161002e-01  4.58161002e-01  3.64325027e-09  3.27871599e-09  3.40116137e-09  3.45750585e-09  3.40363657e-09  1.59370554e-07  4.31795399e-09  1.00000000e+00 
 6.01468031e-09  3.32529112e-09  3.40856137e-09  4.58160262e-01  3.27871591e-09  3.40116135e-09  3.45750584e-09  3.40363654e-09  1.59369539e-07  6.01468031e-09  1.00000000e+00 
 7.72564590e-09  4.58160994e-01  3.40856141e-09  4.58160994e-01  3.27871599e-09  3.40116137e-09  3.45750585e-09  3.40363657e-09  1.59370534e-07  7.72564590e-09  1.00000000e+00 
 9.29978938e-09  3.32529125e-09  4.58160993e-01  4.58160993e-01  3.27871599e-09  3.40116137e-09  3.45750585e-09  3.40363657e-09  1.59370552e-07  9.29978938e-09  1.00000000e+00 
 1.10081757e-08  4.58161732e-01  4.58161732e-01  4.58161732e-01  3.27871609e-09  3.40116141e-09  3.45750588e-09  3.40363660e-09  1.59371524e-07  1.10081757e-08  1.00000000e+00 
 1.26475683e-08  3.32529113e-09  3.40856137e-09  3.64325025e-09  4.58160295e-01  3.40116135e-09  3.45750584e-09  3.40363654e-09  1.59369599e-07  1.26475683e-08  1.00000000e+00 
 1.43244705e-08  4.58161023e-01  3.40856141e-09  3.64325022e-09  4.58161023e-01  3.40116137e-09  3.45750585e-09  3.40363657e-09  1.59370585e-07  1.43244705e-08  1.00000000e+00 
 1.58873235e-08  3.32529125e-09  4.58161004e-01  3.64325022e-09  4.58161004e-01  3.40116137e-09  3.45750585e-09  3.40363657e-09  1.59370572e-07  1.58873235e-08  1.00000000e+00 
 1.75913968e-08  4.58161742e-01  4.58161743e-01  3.64325031e-09  4.58161743e-01  3.40116147e-09  3.45750588e-09  3.40363654e-09  1.59371544e-07  1.75913968e-08  1.00000000e+00 
 1.92493772e-08  3.32529125e-09  3.40856141e-09  4.58160989e-01  4.58160989e-01  3.40116137e-09  3.45750585e-09  3.40363657e-09  1.59370525e-07  1.92493772e-08  1.00000000e+00 
 2.09332569e-08  4.58161748e-01  3.40856146e-09  4.58161749e-01  4.58161748e-01  3.40116147e-09  3.45750588e-09  3.40363660e-09  1.59371535e-07  2.09332569e-08  1.00000000e+00 
 2.24949943e-08  3.32529127e-09  4.58161728e-01  4.58161728e-01  4.58161728e-01  3.40116146e-09  3.45750588e-09  3.40363660e-09  1.59371512e-07  2.24949943e-08  1.00000000e+00 
 2.41929499e-08  4.58162485e-01  4.58162485e-01  4.58162485e-01  4.58162485e-01  3.40116144e-09  3.45750584e-09  3.40363663e-09  1.59372527e-07  2.41929499e-08  1.00000000e+00 
 2.52869796e-08  3.32529112e-09  3.40856136e-09  3.64325025e-09  3.27871591e-09  4.58160247e-01  3.45750584e-09  3.40363654e-09  1.59369533e-07  2.52869796e-08  1.00000000e+00 
 2.69368385e-08  4.58160964e-01  3.40856141e-09  3.64325022e-09  3.27871599e-09  4.58160964e-01  3.45750585e-09  3.40363657e-09  1.59370498e-07  2.69368385e-08  1.00000000e+00 
 2.84864541e-08  3.32529125e-09  4.58160957e-01  3.64325022e-09  3.27871599e-09  4.58160957e-01  3.45750585e-09  3.40363657e-09  1.59370491e-07  2.84864541e-08  1.00000000e+00 
 3.01764516e-08  4.58161692e-01  4.58161692e-01  3.64325025e-09  3.27871608e-09  4.58161692e-01  3.45750588e-09  3.40363654e-09  1.59371460e-07  3.01764516e-08  1.00000000e+00 
 3.18395124e-08  3.32529125e-09  3.40856141e-09  4.58160962e-01  3.27871599e-09  4.58160962e-01  3.45750585e-09  3.40363657e-09  1.59370493e-07  3.18395124e-08  1.00000000e+00 
 3.35285932e-08  4.58161703e-01  3.40856146e-09  4.58161703e-01  3.27871608e-09  4.58161703e-01  3.45750588e-09  3.40363660e-09  1.59371481e-07  3.35285932e-08  1.00000000e+00 
 3.50883695e-08  3.32529132e-09  4.58161701e-01  4.58161701e-01  3.27871608e-09  4.58161701e-01  3.45750581e-09  3.40363659e-09  1.59371482e-07  3.50883695e-08  1.00000000e+00 
 3.67788928e-08  4.58162443e-01  4.58162443e-01  4.58162443e-01  3.27871617e-09  4.58162443e-01  3.45750589e-09  3.40363663e-09  1.59372477e-07  3.67788928e-08  1.00000000e+00 
