 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.01465503e-11  3.39956987e-09  3.52732978e-09  3.43473641e-09  3.29442306e-09  3.24400117e-09  3.35170675e-09  3.19902232e-09  1.74464191e-07  1.37441702e-09  1.00000000e+00 
 1.89734806e-09  4.65902898e-01  3.52732981e-09  3.43473650e-09  3.29442311e-09  3.24400118e-09  3.35170676e-09  3.19902232e-09  1.74465040e-07  2.35309017e-09  1.00000000e+00 
 3.83383281e-09  3.39956990e-09  4.65902936e-01  3.43473644e-09  3.29442311e-09  3.24400118e-09  3.35170676e-09  3.19902232e-09  1.74465093e-07  4.04176603e-09  1.00000000e+00 
 5.77381343e-09  4.65903553e-01  4.65903553e-01  3.43473655e-09  3.29442315e-09  3.24400122e-09  3.35170674e-09  3.19902240e-09  1.74465949e-07  5.94960170e-09  1.00000000e+00 
 7.79357379e-09  3.39956990e-09  3.52732981e-09  4.65902912e-01  3.29442311e-09  3.24400118e-09  3.35170670e-09  3.19902232e-09  1.74465058e-07  7.95820654e-09  1.00000000e+00 
 9.73727765e-09  4.65903529e-01  3.52732987e-09  4.65903529e-01  3.29442315e-09  3.24400122e-09  3.35170674e-09  3.19902240e-09  1.74465910e-07  9.88899274e-09  1.00000000e+00 
 1.16917249e-08  3.39956991e-09  4.65903552e-01  4.65903552e-01  3.29442315e-09  3.24400122e-09  3.35170674e-09  3.19902240e-09  1.74465942e-07  1.18265149e-08  1.00000000e+00 
 1.36475364e-08  4.65904189e-01  4.65904189e-01  4.65904189e-01  3.29442318e-09  3.24400126e-09  3.35170683e-09  3.19902237e-09  1.74466827e-07  1.37628007e-08  1.00000000e+00 
 1.44329704e-08  3.39956996e-09  3.52732981e-09  3.43473644e-09  4.65902897e-01  3.24400118e-09  3.35170676e-09  3.19902232e-09  1.74465040e-07  1.45396370e-08  1.00000000e+00 
 1.63682046e-08  4.65903529e-01  3.52732987e-09  3.43473655e-09  4.65903529e-01  3.24400122e-09  3.35170674e-09  3.19902240e-09  1.74465914e-07  1.64527592e-08  1.00000000e+00 
 1.83333100e-08  3.39956991e-09  4.65903529e-01  3.43473655e-09  4.65903529e-01  3.24400122e-09  3.35170673e-09  3.19902235e-09  1.74465917e-07  1.83940472e-08  1.00000000e+00 
 2.03012291e-08  4.65904184e-01  4.65904184e-01  3.43473660e-09  4.65904184e-01  3.24400126e-09  3.35170683e-09  3.19902237e-09  1.74466823e-07  2.03369837e-08  1.00000000e+00 
 2.23082566e-08  3.39956991e-09  3.52732987e-09  4.65903531e-01  4.65903531e-01  3.24400122e-09  3.35170673e-09  3.19902235e-09  1.74465924e-07  2.23179057e-08  1.00000000e+00 
 2.42569058e-08  4.65904163e-01  3.52732998e-09  4.65904163e-01  4.65904163e-01  3.24400125e-09  3.35170683e-09  3.19902236e-09  1.74466791e-07  2.42406770e-08  1.00000000e+00 
 2.62236597e-08  3.39956993e-09  4.65904185e-01  4.65904184e-01  4.65904184e-01  3.24400126e-09  3.35170683e-09  3.19902237e-09  1.74466823e-07  2.61810555e-08  1.00000000e+00 
 2.81864914e-08  4.65904822e-01  4.65904822e-01  4.65904822e-01  4.65904822e-01  3.24400129e-09  3.35170681e-09  3.19902239e-09  1.74467697e-07  2.81168582e-08  1.00000000e+00 
 2.96982989e-08  3.39956990e-09  3.52732981e-09  3.43473650e-09  3.29442311e-09  4.65902933e-01  3.35170676e-09  3.19902232e-09  1.74465089e-07  2.96078468e-08  1.00000000e+00 
 3.16082378e-08  4.65903545e-01  3.52732987e-09  3.43473655e-09  3.29442315e-09  4.65903544e-01  3.35170680e-09  3.19902235e-09  1.74465931e-07  3.14912825e-08  1.00000000e+00 
 3.35616335e-08  3.39956992e-09  4.65903565e-01  3.43473650e-09  3.29442315e-09  4.65903565e-01  3.35170674e-09  3.19902235e-09  1.74465963e-07  3.34174075e-08  1.00000000e+00 
 3.55233851e-08  4.65904201e-01  4.65904200e-01  3.43473660e-09  3.29442318e-09  4.65904200e-01  3.35170683e-09  3.19902237e-09  1.74466841e-07  3.53515617e-08  1.00000000e+00 
 3.75448792e-08  3.39956997e-09  3.52732987e-09  4.65903552e-01  3.29442315e-09  4.65903552e-01  3.35170680e-09  3.19902235e-09  1.74465946e-07  3.73445062e-08  1.00000000e+00 
 3.95023960e-08  4.65904194e-01  3.52732998e-09  4.65904194e-01  3.29442318e-09  4.65904194e-01  3.35170683e-09  3.19902237e-09  1.74466834e-07  3.92741697e-08  1.00000000e+00 
 4.14692067e-08  3.39956998e-09  4.65904229e-01  4.65904229e-01  3.29442318e-09  4.65904229e-01  3.35170684e-09  3.19902237e-09  1.74466877e-07  4.12130987e-08  1.00000000e+00 
 4.34265246e-08  4.65904844e-01  4.65904844e-01  4.65904844e-01  3.29442324e-09  4.65904844e-01  3.35170684e-09  3.19902242e-09  1.74467733e-07  4.31424638e-08  1.00000000e+00 
 4.41672512e-08  3.39956997e-09  3.52732987e-09  3.43473650e-09  4.65903543e-01  4.65903543e-01  3.35170679e-09  3.19902234e-09  1.74465931e-07  4.38723902e-08  1.00000000e+00 
 4.60961758e-08  4.65904176e-01  3.52732998e-09  3.43473660e-09  4.65904176e-01  4.65904176e-01  3.35170683e-09  3.19902237e-09  1.74466813e-07  4.57738452e-08  1.00000000e+00 
 4.80522715e-08  3.39956996e-09  4.65904209e-01  3.43473657e-09  4.65904209e-01  4.65904209e-01  3.35170680e-09  3.19902240e-09  1.74466862e-07  4.77018034e-08  1.00000000e+00 
