 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.00328634e-11  3.29596179e-09  3.23325250e-09  3.21905384e-09  3.41790677e-09  3.62656642e-09  3.16815798e-09  3.23863635e-09  1.63565094e-07  1.27118938e-09  1.00000000e+00 
 1.73233161e-09  4.64405233e-01  3.23325251e-09  3.21905389e-09  3.41790684e-09  3.62656641e-09  3.16815797e-09  3.23863641e-09  1.63565950e-07  2.18447838e-09  1.00000000e+00 
 3.65832875e-09  3.29596179e-09  4.64405277e-01  3.21905389e-09  3.41790684e-09  3.62656641e-09  3.16815803e-09  3.23863642e-09  1.63566011e-07  3.90244281e-09  1.00000000e+00 
 5.43181500e-09  4.64405899e-01  4.64405899e-01  3.21905391e-09  3.41790688e-09  3.62656644e-09  3.16815805e-09  3.23863645e-09  1.63566860e-07  5.67057157e-09  1.00000000e+00 
 7.14035764e-09  3.29596173e-09  3.23325251e-09  4.64405256e-01  3.41790684e-09  3.62656641e-09  3.16815797e-09  3.23863642e-09  1.63565982e-07  7.38825179e-09  1.00000000e+00 
 8.91373020e-09  4.64405883e-01  3.23325260e-09  4.64405883e-01  3.41790688e-09  3.62656644e-09  3.16815799e-09  3.23863645e-09  1.63566838e-07  9.16871556e-09  1.00000000e+00 
 1.08567519e-08  3.29596182e-09  4.64405907e-01  4.64405907e-01  3.41790688e-09  3.62656644e-09  3.16815799e-09  3.23863645e-09  1.63566870e-07  1.11152474e-08  1.00000000e+00 
 1.26449606e-08  4.64406554e-01  4.64406554e-01  4.64406554e-01  3.41790693e-09  3.62656646e-09  3.16815802e-09  3.23863649e-09  1.63567744e-07  1.29038256e-08  1.00000000e+00 
 1.40574059e-08  3.29596179e-09  3.23325257e-09  3.21905389e-09  4.64405268e-01  3.62656641e-09  3.16815803e-09  3.23863642e-09  1.63565993e-07  1.43150771e-08  1.00000000e+00 
 1.58181592e-08  4.64405864e-01  3.23325261e-09  3.21905391e-09  4.64405864e-01  3.62656644e-09  3.16815805e-09  3.23863645e-09  1.63566810e-07  1.60732583e-08  1.00000000e+00 
 1.77682296e-08  3.29596181e-09  4.64405899e-01  3.21905391e-09  4.64405899e-01  3.62656644e-09  3.16815799e-09  3.23863646e-09  1.63566856e-07  1.80190511e-08  1.00000000e+00 
 1.95643679e-08  4.64406549e-01  4.64406549e-01  3.21905394e-09  4.64406549e-01  3.62656646e-09  3.16815802e-09  3.23863649e-09  1.63567734e-07  1.98104146e-08  1.00000000e+00 
 2.12554312e-08  3.29596181e-09  3.23325261e-09  4.64405873e-01  4.64405873e-01  3.62656644e-09  3.16815799e-09  3.23863646e-09  1.63566821e-07  2.14962483e-08  1.00000000e+00 
 2.30302533e-08  4.64406545e-01  3.23325258e-09  4.64406546e-01  4.64406545e-01  3.62656646e-09  3.16815802e-09  3.23863649e-09  1.63567726e-07  2.32655282e-08  1.00000000e+00 
 2.49835352e-08  3.29596184e-09  4.64406550e-01  4.64406550e-01  4.64406550e-01  3.62656646e-09  3.16815802e-09  3.23863649e-09  1.63567741e-07  2.52120174e-08  1.00000000e+00 
 2.67752398e-08  4.64407204e-01  4.64407204e-01  4.64407204e-01  4.64407204e-01  3.62656648e-09  3.16815804e-09  3.23863653e-09  1.63568629e-07  2.69973413e-08  1.00000000e+00 
 2.73209366e-08  3.29596179e-09  3.23325251e-09  3.21905389e-09  3.41790684e-09  4.64405226e-01  3.16815797e-09  3.23863642e-09  1.63565947e-07  2.75408354e-08  1.00000000e+00 
 2.90683886e-08  4.64405863e-01  3.23325260e-09  3.21905391e-09  3.41790688e-09  4.64405863e-01  3.16815799e-09  3.23863645e-09  1.63566806e-07  2.92818640e-08  1.00000000e+00 
 3.10142525e-08  3.29596181e-09  4.64405886e-01  3.21905391e-09  3.41790688e-09  4.64405886e-01  3.16815799e-09  3.23863652e-09  1.63566838e-07  3.12202957e-08  1.00000000e+00 
 3.28078897e-08  4.64406546e-01  4.64406546e-01  3.21905394e-09  3.41790693e-09  4.64406547e-01  3.16815802e-09  3.23863649e-09  1.63567734e-07  3.30069128e-08  1.00000000e+00 
 3.45148408e-08  3.29596181e-09  3.23325255e-09  4.64405872e-01  3.41790688e-09  4.64405872e-01  3.16815799e-09  3.23863651e-09  1.63566821e-07  3.47070284e-08  1.00000000e+00 
 3.63018842e-08  4.64406514e-01  3.23325258e-09  4.64406514e-01  3.41790692e-09  4.64406514e-01  3.16815802e-09  3.23863649e-09  1.63567687e-07  3.64870800e-08  1.00000000e+00 
 3.82591168e-08  3.29596178e-09  4.64406543e-01  4.64406544e-01  3.41790693e-09  4.64406544e-01  3.16815802e-09  3.23863649e-09  1.63567726e-07  3.84364398e-08  1.00000000e+00 
 4.00494571e-08  4.64407196e-01  4.64407196e-01  4.64407196e-01  3.41790697e-09  4.64407196e-01  3.16815804e-09  3.23863653e-09  1.63568615e-07  4.02195610e-08  1.00000000e+00 
 4.14136139e-08  3.29596181e-09  3.23325255e-09  3.21905391e-09  4.64405871e-01  4.64405871e-01  3.16815799e-09  3.23863645e-09  1.63566813e-07  4.15782466e-08  1.00000000e+00 
 4.31701892e-08  4.64406535e-01  3.23325264e-09  3.21905394e-09  4.64406536e-01  4.64406536e-01  3.16815802e-09  3.23863649e-09  1.63567716e-07  4.33275034e-08  1.00000000e+00 
 4.51131257e-08  3.29596181e-09  4.64406546e-01  3.21905392e-09  4.64406546e-01  4.64406546e-01  3.16815805e-09  3.23863653e-09  1.63567726e-07  4.52626239e-08  1.00000000e+00 
 4.69120494e-08  4.64407206e-01  4.64407206e-01  3.21905397e-09  4.64407206e-01  4.64407206e-01  3.16815804e-09  3.23863653e-09  1.63568636e-07  4.70541437e-08  1.00000000e+00 
 4.86082286e-08  3.29596178e-09  3.23325264e-09  4.64406539e-01  4.64406539e-01  4.64406539e-01  3.16815802e-09  3.23863649e-09  1.63567719e-07  4.87436012e-08  1.00000000e+00 
 5.03863475e-08  4.64407191e-01  3.23325267e-09  4.64407191e-01  4.64407191e-01  4.64407191e-01  3.16815804e-09  3.23863653e-09  1.63568608e-07  5.05143447e-08  1.00000000e+00 
 5.23343147e-08  3.29596181e-09  4.64407205e-01  4.64407205e-01  4.64407205e-01  4.64407205e-01  3.16815804e-09  3.23863653e-09  1.63568629e-07  5.24544674e-08  1.00000000e+00 
 5.41224949e-08  4.64407833e-01  4.64407833e-01  4.64407833e-01  4.64407833e-01  4.64407833e-01  3.16815812e-09  3.23863657e-09  1.63569482e-07  5.42354570e-08  1.00000000e+00 
 5.55926647e-08  3.29596176e-09  3.23325254e-09  3.21905392e-09  3.41790682e-09  3.62656644e-09  4.64405246e-01  3.23863639e-09  1.63565968e-07  5.56994735e-08  1.00000000e+00 
 5.73087107e-08  4.64405872e-01  3.23325255e-09  3.21905391e-09  3.41790688e-09  3.62656644e-09  4.64405872e-01  3.23863646e-09  1.63566821e-07  5.74085988e-08  1.00000000e+00 
 5.92318372e-08  3.29596182e-09  4.64405910e-01  3.21905391e-09  3.41790688e-09  3.62656644e-09  4.64405911e-01  3.23863645e-09  1.63566870e-07  5.93238809e-08  1.00000000e+00 
 6.10122015e-08  4.64406569e-01  4.64406569e-01  3.21905392e-09  3.41790695e-09  3.62656649e-09  4.64406569e-01  3.23863647e-09  1.63567766e-07  6.10970687e-08  1.00000000e+00 
 6.27085797e-08  3.29596181e-09  3.23325261e-09  4.64405891e-01  3.41790688e-09  3.62656644e-09  4.64405891e-01  3.23863646e-09  1.63566853e-07  6.27865404e-08  1.00000000e+00 
 6.44829186e-08  4.64406542e-01  3.23325264e-09  4.64406542e-01  3.41790692e-09  3.62656646e-09  4.64406542e-01  3.23863649e-09  1.63567723e-07  6.45537170e-08  1.00000000e+00 
 6.64334152e-08  3.29596184e-09  4.64406567e-01  4.64406567e-01  3.41790693e-09  3.62656646e-09  4.64406567e-01  3.23863649e-09  1.63567758e-07  6.64963125e-08  1.00000000e+00 
 6.82263988e-08  4.64407198e-01  4.64407198e-01  4.64407198e-01  3.41790697e-09  3.62656648e-09  4.64407198e-01  3.23863653e-09  1.63568618e-07  6.82821053e-08  1.00000000e+00 
 6.96055906e-08  3.29596185e-09  3.23325258e-09  3.21905389e-09  4.64405885e-01  3.62656641e-09  4.64405885e-01  3.23863649e-09  1.63566838e-07  6.96556839e-08  1.00000000e+00 
 7.13706072e-08  4.64406529e-01  3.23325264e-09  3.21905394e-09  4.64406529e-01  3.62656646e-09  4.64406529e-01  3.23863649e-09  1.63567709e-07  7.14135808e-08  1.00000000e+00 
 7.33199954e-08  3.29596178e-09  4.64406547e-01  3.21905394e-09  4.64406547e-01  3.62656646e-09  4.64406547e-01  3.23863649e-09  1.63567734e-07  7.33551531e-08  1.00000000e+00 
 7.51205675e-08  4.64407213e-01  4.64407213e-01  3.21905397e-09  4.64407213e-01  3.62656648e-09  4.64407213e-01  3.23863653e-09  1.63568640e-07  7.51485629e-08  1.00000000e+00 
 7.68133646e-08  3.29596184e-09  3.23325264e-09  4.64406546e-01  4.64406546e-01  3.62656646e-09  4.64406546e-01  3.23863655e-09  1.63567734e-07  7.68344393e-08  1.00000000e+00 
 7.85853729e-08  4.64407172e-01  3.23325267e-09  4.64407172e-01  4.64407172e-01  3.62656648e-09  4.64407172e-01  3.23863653e-09  1.63568586e-07  7.85992995e-08  1.00000000e+00 
 8.05281672e-08  3.29596187e-09  4.64407201e-01  4.64407201e-01  4.64407201e-01  3.62656648e-09  4.64407201e-01  3.23863653e-09  1.63568622e-07  8.05342637e-08  1.00000000e+00 
 8.23120274e-08  4.64407861e-01  4.64407861e-01  4.64407861e-01  4.64407861e-01  3.62656651e-09  4.64407861e-01  3.23863657e-09  1.63569517e-07  8.23109900e-08  1.00000000e+00 
 8.27843962e-08  3.29596176e-09  3.23325255e-09  3.21905391e-09  3.41790688e-09  4.64405886e-01  4.64405886e-01  3.23863646e-09  1.63566838e-07  8.27814119e-08  1.00000000e+00 
 8.45166142e-08  4.64406535e-01  3.23325264e-09  3.21905394e-09  3.41790692e-09  4.64406535e-01  4.64406536e-01  3.23863649e-09  1.63567716e-07  8.45066666e-08  1.00000000e+00 
 8.64510810e-08  3.29596184e-09  4.64406560e-01  3.21905394e-09  3.41790693e-09  4.64406560e-01  4.64406560e-01  3.23863649e-09  1.63567751e-07  8.64331611e-08  1.00000000e+00 
 8.82356233e-08  4.64407207e-01  4.64407207e-01  3.21905397e-09  3.41790697e-09  4.64407207e-01  4.64407207e-01  3.23863653e-09  1.63568629e-07  8.82106974e-08  1.00000000e+00 
