 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.75000000e+00  3.10738742e-09  4.58279313e-01  4.58279313e-01  3.10738742e-09  4.58279313e-01  4.58279313e-01  4.58279313e-01  1.58922949e-07  1.75711676e-07  8.00000000e-01 
 1.75500000e+00  3.12632024e-09  4.58279402e-01  4.58279402e-01  3.12632024e-09  4.58279402e-01  4.58279402e-01  4.58279402e-01  1.58923120e-07  1.75910181e-07  8.00000000e-01 
 1.76000000e+00  3.14646695e-09  4.58279463e-01  4.58279463e-01  3.14646695e-09  4.58279463e-01  4.58279463e-01  4.58279463e-01  1.58923252e-07  1.76063480e-07  8.00000000e-01 
 1.76500000e+00  3.16693418e-09  4.58279495e-01  4.58279495e-01  3.16693418e-09  4.58279495e-01  4.58279495e-01  4.58279495e-01  1.58923368e-07  1.76208339e-07  8.00000000e-01 
 1.77000000e+00  3.18803517e-09  4.58279585e-01  4.58279585e-01  3.18803517e-09  4.58279585e-01  4.58279585e-01  4.58279585e-01  1.58923523e-07  1.76335696e-07  8.00000000e-01 
 1.77500000e+00  3.20978179e-09  4.58279591e-01  4.58279591e-01  3.20978179e-09  4.58279591e-01  4.58279591e-01  4.58279591e-01  1.58923627e-07  1.76446619e-07  8.00000000e-01 
 1.78000000e+00  3.23218606e-09  4.58279651e-01  4.58279651e-01  3.23218606e-09  4.58279651e-01  4.58279651e-01  4.58279651e-01  1.58923752e-07  1.76542784e-07  8.00000000e-01 
 1.78500000e+00  3.25526035e-09  4.58279706e-01  4.58279706e-01  3.25526035e-09  4.58279706e-01  4.58279706e-01  4.58279706e-01  1.58923867e-07  1.76624994e-07  8.00000000e-01 
 1.79000000e+00  3.27901714e-09  4.58279844e-01  4.58279844e-01  3.27901714e-09  4.58279844e-01  4.58279844e-01  4.58279844e-01  1.58924130e-07  1.76695124e-07  8.00000000e-01 
 1.79500000e+00  3.30346901e-09  4.58279848e-01  4.58279848e-01  3.30346901e-09  4.58279848e-01  4.58279848e-01  4.58279848e-01  1.58924183e-07  1.76753247e-07  8.00000000e-01 
 1.80000000e+00  3.32862910e-09  4.58279915e-01  4.58279915e-01  3.32862910e-09  4.58279915e-01  4.58279915e-01  4.58279915e-01  1.58924340e-07  1.76801251e-07  8.00000000e-01 
 1.80500000e+00  3.35451048e-09  4.58280061e-01  4.58280061e-01  3.35451048e-09  4.58280061e-01  4.58280061e-01  4.58280061e-01  1.58924575e-07  1.76840743e-07  8.00000000e-01 
 1.81000000e+00  3.38112653e-09  4.58280026e-01  4.58280026e-01  3.38112653e-09  4.58280026e-01  4.58280026e-01  4.58280026e-01  1.58924611e-07  1.76871694e-07  8.00000000e-01 
 1.81500000e+00  3.40849090e-09  4.58280054e-01  4.58280054e-01  3.40849090e-09  4.58280054e-01  4.58280054e-01  4.58280054e-01  1.58924698e-07  1.76896393e-07  8.00000000e-01 
 1.82000000e+00  3.43661744e-09  4.58280137e-01  4.58280137e-01  3.43661744e-09  4.58280137e-01  4.58280137e-01  4.58280137e-01  1.58924879e-07  1.76916117e-07  8.00000000e-01 
 1.82500000e+00  3.46552012e-09  4.58280212e-01  4.58280212e-01  3.46552012e-09  4.58280212e-01  4.58280212e-01  4.58280212e-01  1.58925033e-07  1.76931422e-07  8.00000000e-01 
 1.83000000e+00  3.49521338e-09  4.58280273e-01  4.58280273e-01  3.49521338e-09  4.58280273e-01  4.58280273e-01  4.58280273e-01  1.58925147e-07  1.76943374e-07  8.00000000e-01 
 1.83500000e+00  3.52571167e-09  4.58280299e-01  4.58280299e-01  3.52571167e-09  4.58280299e-01  4.58280299e-01  4.58280299e-01  1.58925243e-07  1.76952504e-07  8.00000000e-01 
 1.84000000e+00  3.55702982e-09  4.58280410e-01  4.58280410e-01  3.55702982e-09  4.58280410e-01  4.58280410e-01  4.58280410e-01  1.58925446e-07  1.76959773e-07  8.00000000e-01 
 1.84500000e+00  3.58918272e-09  4.58280456e-01  4.58280456e-01  3.58918272e-09  4.58280456e-01  4.58280456e-01  4.58280456e-01  1.58925601e-07  1.76965344e-07  8.00000000e-01 
 1.85000000e+00  3.62218571e-09  4.58280517e-01  4.58280517e-01  3.62218571e-09  4.58280517e-01  4.58280517e-01  4.58280517e-01  1.58925713e-07  1.76969792e-07  8.00000000e-01 
