 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  4.58586311e-01  3.41908675e-09  3.23362806e-09  4.58586311e-01  3.10222773e-09  3.24353916e-09  3.30590594e-09  1.59488751e-07  1.43112251e-08  0.00000000e+00 
 1.00000000e-02  4.58586310e-01  3.41908679e-09  3.23362810e-09  4.58586310e-01  3.10222777e-09  3.24353920e-09  3.30590598e-09  1.59488754e-07  1.43108655e-08  1.00000000e-02 
 2.00000000e-02  4.58586323e-01  3.41908678e-09  3.23362809e-09  4.58586324e-01  3.10222777e-09  3.24353920e-09  3.30590598e-09  1.59488779e-07  1.43102892e-08  2.00000000e-02 
 3.00000000e-02  4.58586306e-01  3.41908673e-09  3.23362809e-09  4.58586306e-01  3.10222777e-09  3.24353920e-09  3.30590598e-09  1.59488748e-07  1.43100420e-08  3.00000000e-02 
 4.00000000e-02  4.58586327e-01  3.41908680e-09  3.23362809e-09  4.58586327e-01  3.10222771e-09  3.24353920e-09  3.30590598e-09  1.59488781e-07  1.43096983e-08  4.00000000e-02 
 5.00000000e-02  4.58586304e-01  3.41908678e-09  3.23362809e-09  4.58586304e-01  3.10222771e-09  3.24353920e-09  3.30590598e-09  1.59488742e-07  1.43094026e-08  5.00000000e-02 
 6.00000000e-02  4.58586315e-01  3.41908673e-09  3.23362809e-09  4.58586315e-01  3.10222777e-09  3.24353920e-09  3.30590598e-09  1.59488761e-07  1.43089620e-08  6.00000000e-02 
 7.00000000e-02  4.58586337e-01  3.41908680e-09  3.23362804e-09  4.58586337e-01  3.10222777e-09  3.24353920e-09  3.30590598e-09  1.59488797e-07  1.43087728e-08  7.00000000e-02 
 8.00000000e-02  4.58586322e-01  3.41908672e-09  3.23362810e-09  4.58586322e-01  3.10222771e-09  3.24353914e-09  3.30590592e-09  1.59488774e-07  1.43083847e-08  8.00000000e-02 
 9.00000000e-02  4.58586321e-01  3.41908680e-09  3.23362809e-09  4.58586321e-01  3.10222777e-09  3.24353920e-09  3.30590598e-09  1.59488755e-07  1.43082266e-08  9.00000000e-02 
 1.00000000e-01  4.58586316e-01  3.41908678e-09  3.23362803e-09  4.58586316e-01  3.10222777e-09  3.24353914e-09  3.30590598e-09  1.59488757e-07  1.43080703e-08  1.00000000e-01 
 1.10000000e-01  4.58586338e-01  3.41908673e-09  3.23362811e-09  4.58586338e-01  3.10222777e-09  3.24353915e-09  3.30590598e-09  1.59488789e-07  1.43076697e-08  1.10000000e-01 
 1.20000000e-01  4.58586304e-01  3.41908674e-09  3.23362803e-09  4.58586304e-01  3.10222777e-09  3.24353920e-09  3.30590598e-09  1.59488753e-07  1.43075205e-08  1.20000000e-01 
 1.30000000e-01  4.58586287e-01  3.41908679e-09  3.23362805e-09  4.58586287e-01  3.10222776e-09  3.24353920e-09  3.30590598e-09  1.59488708e-07  1.43072176e-08  1.30000000e-01 
 1.40000000e-01  4.58586311e-01  3.41908678e-09  3.23362804e-09  4.58586311e-01  3.10222777e-09  3.24353920e-09  3.30590592e-09  1.59488757e-07  1.43071093e-08  1.40000000e-01 
 1.50000000e-01  4.58586304e-01  3.41908673e-09  3.23362810e-09  4.58586304e-01  3.10222771e-09  3.24353920e-09  3.30590598e-09  1.59488750e-07  1.43068668e-08  1.50000000e-01 
 1.60000000e-01  4.58586303e-01  3.41908674e-09  3.23362809e-09  4.58586303e-01  3.10222771e-09  3.24353920e-09  3.30590598e-09  1.59488742e-07  1.43066714e-08  1.60000000e-01 
 1.70000000e-01  4.58586315e-01  3.41908679e-09  3.23362809e-09  4.58586315e-01  3.10222771e-09  3.24353920e-09  3.30590592e-09  1.59488769e-07  1.43065417e-08  1.70000000e-01 
